Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2015-06-09,7,2,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,1,0,1,0,0,1,4,0,1,0,1,0,0,0,0,1,1,4,0,2,0,1,0,1,0,4,0,0,5,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,1,1,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,6,0,0,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,2,0,0,1,3,0,0,1,0,5,0,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1,0,0,2,0,1,1,0,4,0,2,0,3,0,24,0,2,2,0,0,2,1,4,0,2,1,2,2,0,5,1,0,1,1,3,0,8,2,7,1,3,4,1,5,0,0,3,1,1,12,1,0,0,4,0,0,0,0,5,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,3,1,0,1,0,1,0,0,0,0,1,1,3,0,0,4,0,3,0,15,1,7,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-06-10,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,8,1,0,4,0,1,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,6,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,2,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,1,1,0,0,0,0,3,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,3,1,2,0,5,2,19,1,0,3,1,1,1,0,5,0,3,1,0,9,0,0,0,0,1,2,1,1,4,1,7,2,1,2,2,2,3,1,4,0,1,11,1,0,0,2,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,3,1,0,1,0,0,1,7,5,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2015-06-11,10,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,4,4,1,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,1,4,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,2,0,0,0,1,0,5,0,0,0,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,3,0,0,0,1,0,2,0,0,2,2,0,1,1,0,0,1,23,0,0,5,0,0,2,0,10,1,0,0,1,4,0,2,0,0,2,1,3,0,8,1,4,1,3,7,1,5,3,0,6,0,3,9,1,0,2,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,2,3,2,0,5,0,3,0,6,2,5,0,0,6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
2015-06-12,7,2,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,1,0,2,1,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,8,0,0,0,0,3,3,0,0,1,0,6,0,1,1,4,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,16,0,3,5,0,3,3,0,1,1,3,1,0,8,0,1,1,4,2,1,1,0,9,1,5,0,4,1,3,4,0,1,6,0,3,11,3,0,2,4,0,0,0,0,3,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,1,2,0,1,1,0,2,3,2,3,0,8,1,8,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2015-06-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,0,12,0,0,8,1,2,3,0,6,0,2,1,1,5,0,1,1,1,2,2,4,0,8,0,3,2,3,2,3,1,0,1,4,0,2,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,13,0,0,3,2,0,4,0,1,0,1,1,0,8,0,2,1,0,0,1,5,0,6,2,6,1,2,2,1,3,1,0,3,0,3,9,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,7,2,0,0,0,0,0,1,6,0,0,0,0,1,0,3,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,10,1,2,1,0,3,1,1,2,1,7,1,0,0,0,2,0,1,4,0,1,0,18,0,1,0,1,0,0,1,5,1,0,13,0,1,6,0,0,0,0,0,4,0,0,1,3,1,0,0,0,1,1,0,1,0,1,0,0,5,1,0,1,1,0,0,0,26,0,0,0,5,1,3,2,1,0,0,1,1,3,0,0,0,0,2,0,1,1,1,1,0,0,0,0,1,2,0,0,0,16,1,0,4,1,3,6,0,2,0,0,0,1,0,2,0,1,1,0,0,1,4,0,11,0,3,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,2,1,0,9,0,0,0,0,8,3,0,0,2,0,10,0,0,0,10,0,0,0,6,1,0,0,0,0,1,0,2,1,1,1,15,2,0,0,0,0,2,0,0,4,2,2,2,0,0,1,1,22,0,1,9,3,4,2,1,6,1,2,0,2,5,0,5,0,0,3,0,2,1,10,2,10,0,6,1,3,10,3,1,3,0,5,13,2,0,2,4,1,0,0,0,6,1,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,1,0,7,8,1,0,7,1,3,0,26,2,16,0,1,13,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0
2015-06-16,4,4,0,0,0,0,1,2,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,1,1,0,0,0,2,1,1,7,0,0,1,0,1,0,0,1,0,1,0,4,0,0,0,1,0,0,0,1,1,0,6,0,1,4,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,9,1,0,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,6,0,0,0,0,3,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,2,0,2,1,2,0,25,0,1,4,1,0,4,0,10,1,1,0,0,5,0,3,0,1,1,1,4,0,6,0,6,2,2,1,0,2,1,1,4,0,0,11,0,1,2,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,6,2,0,1,3,1,3,0,9,4,6,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2015-06-17,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,1,0,1,0,0,5,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,9,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,9,2,0,0,2,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,1,1,1,0,4,0,2,2,25,0,0,4,0,0,1,1,4,0,1,0,1,5,0,5,0,0,1,1,3,0,6,2,5,0,1,5,1,5,2,1,8,0,1,10,0,0,0,3,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,2,0,0,5,0,1,1,7,3,5,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-06-18,6,4,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,8,0,0,8,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,3,0,0,0,0,1,0,0,0,5,1,1,1,1,0,2,1,29,0,2,2,1,2,3,0,8,0,0,0,0,2,0,1,0,1,0,2,2,0,8,1,5,2,1,2,1,9,1,1,6,1,2,13,3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,2,0,0,1,4,1,0,0,2,0,5,0,8,1,7,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0
2015-06-19,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,12,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,5,0,2,0,2,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,6,0,0,0,0,2,1,1,0,0,0,11,0,0,0,4,0,3,3,1,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,2,0,0,2,0,0,1,2,1,1,2,18,1,3,7,2,2,1,2,6,1,0,0,0,6,0,5,0,0,3,2,8,1,8,2,4,2,2,4,0,2,1,0,4,1,2,13,3,0,1,5,0,0,0,0,4,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,1,1,2,1,0,0,1,0,1,0,0,2,3,1,0,3,1,3,0,4,3,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,13,0,1,8,1,1,1,0,7,0,1,2,1,7,0,0,0,0,0,0,3,0,7,1,7,0,3,2,1,3,2,0,5,0,2,9,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,18,0,3,5,1,1,2,0,3,0,0,1,0,3,0,0,1,0,1,0,4,0,9,0,3,2,4,2,1,4,1,1,3,0,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,10,4,0,0,0,0,1,1,13,0,0,0,0,0,0,5,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,1,3,0,0,2,24,0,6,1,0,2,0,3,1,0,12,4,2,0,0,2,0,0,4,0,0,1,18,0,3,1,1,0,0,0,10,0,0,15,0,0,3,0,0,0,2,1,6,3,0,1,0,2,0,0,1,0,0,1,0,2,1,0,0,1,1,0,0,2,2,0,0,19,0,1,1,4,1,2,1,1,0,1,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,22,4,0,5,1,2,2,1,3,0,0,2,2,0,1,2,0,1,1,0,0,7,0,7,1,1,0,0,0,0,2,0,1,1,0,0,0,1,1,0,4,0,0,1,1,0,2,9,0,1,1,0,7,2,1,0,1,0,9,0,0,0,10,0,0,2,2,0,0,0,0,0,1,0,0,1,1,0,9,1,0,0,0,0,2,0,1,2,2,5,0,1,0,4,0,26,1,6,5,1,1,7,0,8,1,1,0,1,6,0,9,0,0,1,5,5,0,9,2,11,1,3,3,4,3,2,1,10,0,5,17,1,0,3,6,0,0,0,0,6,0,0,0,0,3,0,1,0,2,0,2,0,0,0,0,0,4,3,0,2,1,0,0,0,0,1,1,7,6,0,0,8,0,3,0,25,3,21,0,3,22,0,0,2,1,0,0,0,0,1,0,1,0,2,1,0,1,0,1,0
2015-06-23,11,2,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,6,0,1,0,0,2,0,1,0,0,7,0,1,0,0,1,0,0,1,0,2,1,6,0,1,0,0,1,0,0,2,1,0,8,0,0,2,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,14,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,6,0,1,0,0,4,2,0,1,2,0,5,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,9,0,0,0,0,0,2,0,0,1,0,2,1,2,0,4,1,25,0,2,9,0,2,0,0,4,1,1,2,2,7,0,1,0,0,1,0,5,0,6,1,3,3,2,6,1,5,1,0,9,0,4,16,1,0,1,7,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,4,1,2,0,10,3,12,0,1,6,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
2015-06-24,4,4,0,0,0,0,0,0,7,0,0,0,0,0,1,4,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,0,0,4,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,6,2,0,2,0,0,3,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,2,0,1,0,0,0,0,10,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,1,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,3,1,2,1,3,0,3,0,12,1,4,5,2,0,3,0,6,0,1,3,1,2,0,3,3,1,3,2,4,1,10,2,7,1,4,2,3,4,2,0,10,0,2,13,1,0,2,7,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,3,0,10,1,12,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
