Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20
Valparaiso,05,Calle Larga,05302,16482,0,0,0,0,0,0,0,2,3,1,0,3,1,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,3,5,5,0,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,1,0,1,1,0,0,0,1,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,5,1,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,4,3,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,1,2,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,6,2,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,5,0,0
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,1,1,0
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,5,11,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,3,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,3,7,3,6,1,4,2,4,0
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,8,7,4,4,10,12,3,0
Valparaiso,05,Quintero,05107,36135,0,0,0,0,0,3,1,0,0,6,2,2,2,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,10,22,35,51,10,0
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,3,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,2,6,0
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,1,5,11,1,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,1,0,6,4,4,4,4,0,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,10,15,12,17,13,28,62,30,0
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,5,18,7,0
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,27,21,12,18,21,52,22,0
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Total,,1960170,0,0,0,4,15,71,101,97,81,98,150,263,118,0
,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,4,17,8,14,15,18,45,31,0
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,4,3,0
Metropolitana,13,Cerrillos,13102,88956,0,0,0,1,2,4,10,13,19,20,64,172,24,0
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,9,12,12,12,36,40,76,146,44,0
Metropolitana,13,Colina,13301,180353,0,0,0,4,6,27,16,18,16,18,29,67,88,0
Metropolitana,13,Conchali,13104,139195,0,0,0,0,1,14,12,17,31,61,105,157,72,0
Metropolitana,13,Curacavi,13503,36430,0,0,0,0,1,2,4,4,4,0,4,10,6,0
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,2,14,21,27,45,44,78,150,58,0
Metropolitana,13,El Monte,13602,40014,0,0,0,0,0,1,1,6,4,0,7,10,0,0
Metropolitana,13,Estacion Central,13106,206792,0,0,0,1,2,11,27,33,38,75,162,253,77,0
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,4,19,7,16,17,28,37,93,42,0
Metropolitana,13,Independencia,13108,142065,0,0,1,1,3,14,9,22,43,136,278,350,135,0
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,3,5,1,0
Metropolitana,13,La Cisterna,13109,100434,0,0,0,0,0,10,11,15,18,23,53,83,38,0
Metropolitana,13,La Florida,13110,402433,0,0,0,2,12,28,57,57,62,91,164,370,228,0
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,6,13,28,20,15,60,148,57,0
Metropolitana,13,La Pintana,13112,189335,0,0,0,0,3,6,17,27,44,80,129,174,81,0
Metropolitana,13,La Reina,13113,100252,0,0,1,0,12,14,11,14,7,10,36,58,32,0
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,14,11,17,38,65,31,0
Metropolitana,13,Las Condes,13114,330759,0,1,0,18,59,121,66,37,29,24,62,185,136,0
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,52,27,16,34,34,63,114,65,0
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,4,7,22,26,21,52,89,36,0
Metropolitana,13,Lo Prado,13117,104403,0,0,0,1,2,5,19,12,20,29,93,107,41,0
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,13,21,17,12,15,65,130,59,0
Metropolitana,13,Maipu,13119,578605,0,0,0,0,13,46,66,75,74,110,123,226,111,0
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,4,5,5,8,21,30,50,11,0
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,26,52,37,46,45,62,62,102,46,0
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,11,7,15,33,10,0
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,2,0,4,4,3,5,20,16,0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,3,4,14,22,44,32,70,115,45,0
Metropolitana,13,Penaflor,13605,101058,0,0,0,1,4,3,9,5,7,14,24,26,9,0
Metropolitana,13,Penalolen,13122,266798,0,0,0,3,9,25,33,37,50,62,108,268,184,0
Metropolitana,13,Pirque,13202,30433,0,0,0,0,3,1,3,1,5,3,15,22,5,0
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,62,20,21,30,31,31,76,69,0
Metropolitana,13,Pudahuel,13124,253139,0,0,1,1,2,19,22,30,35,37,118,161,65,0
Metropolitana,13,Puente Alto,13201,645909,0,0,1,2,7,55,95,159,171,226,243,503,196,0
Metropolitana,13,Quilicura,13125,254694,0,0,0,4,3,20,24,42,40,127,240,251,75,0
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,4,13,24,35,47,44,88,160,42,0
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,15,18,31,46,98,249,405,161,0
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,7,30,59,99,159,42,0
Metropolitana,13,San Bernardo,13401,334836,0,0,1,2,6,20,35,65,71,117,138,234,84,0
Metropolitana,13,San Joaquin,13129,103485,0,0,0,0,1,14,22,14,36,38,72,170,108,0
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,1,1,4,17,14,0
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,24,21,24,43,42,66,116,66,0
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,9,4,0,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,2,11,8,11,40,86,158,64,0
Metropolitana,13,Santiago,13101,503147,0,0,2,2,27,94,94,133,153,164,333,626,245,0
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,7,7,4,10,6,21,9,0
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,2,1,0
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,31,45,28,13,5,5,13,45,59,0
Metropolitana,13,Total,,8125072,0,2,8,62,321,934,1013,1235,1526,2157,3929,6955,3122,0
,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,3,2,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,2,6,9,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,0,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,0,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,3,2,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,1,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,0,0,0,8,4,6,3,6,8,20,26,1
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,2,4,1,2,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,1,0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,0,1,0,0,1,2,0,0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,2,5,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,0,0,1,20,14,10,10,14,39,50,56,1
,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,0,0
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,0,3,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,0,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,0,0
Maule,07,Curico,07301,163626,0,0,0,1,2,3,6,3,12,9,9,7,4,0
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,4,0
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,1,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,5,12,2,0,1,0
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,2,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,0,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,1,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Maule,07,Retiro,07405,21071,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,0,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,5,4,0
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,7,4,7,3,3,1,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,2,3,0
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Maule,07,Total,,1131939,0,0,1,4,11,26,51,48,65,158,45,32,27,0
,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,5,8,6,0
Nuble,16,Chillan,16101,198624,0,1,0,1,27,116,116,74,33,24,16,11,11,0
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,13,3,1,0,2,0
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,3,3,4,6,12,12,2,0,0
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,0,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,1,0
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Quillon,16107,18777,0,0,0,0,1,8,9,8,1,0,3,2,1,0
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,3,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,6,10,9,2,3,3,2,5,0
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,2,0,0
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,5,4,4,0,0,0,0,0
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,4,15,21,3,4,6,2,0,0
Nuble,16,Total,,511551,0,1,0,1,35,167,218,162,73,59,49,30,30,0
,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,0
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,3,0
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Chiguayante,08103,91180,0,0,0,0,5,5,9,16,11,10,10,6,3,0
Biobio,08,Concepcion,08101,238092,0,0,1,1,6,28,28,22,21,18,13,16,17,0
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Coronel,08102,125829,0,0,0,0,1,6,6,4,1,0,5,1,6,0
Biobio,08,Curanilahue,08205,33892,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Biobio,08,Florida,08104,11841,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Biobio,08,Hualpen,08112,97273,0,0,0,0,3,23,33,27,17,8,2,5,5,0
Biobio,08,Hualqui,08105,26201,0,0,0,0,1,1,2,3,4,9,0,0,1,0
Biobio,08,Laja,08304,23873,0,0,0,1,1,0,3,1,1,1,5,1,10,0
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Biobio,08,Los Alamos,08206,22524,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Biobio,08,Los Angeles,08301,218515,0,0,0,0,3,6,9,6,5,3,0,1,12,0
Biobio,08,Lota,08106,45750,0,0,0,0,0,1,0,0,0,0,0,1,11,0
Biobio,08,Mulchen,08305,31041,0,0,0,0,0,1,4,0,0,0,0,2,2,0
Biobio,08,Nacimiento,08306,27944,0,0,0,0,0,2,3,3,2,0,1,3,6,0
Biobio,08,Negrete,08307,10429,0,0,0,0,0,0,0,2,0,0,0,0,3,0
Biobio,08,Penco,08107,49865,0,0,0,0,0,1,3,3,3,8,0,2,1,0
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Quilleco,08309,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,San Pedro de la Paz,08108,145906,0,0,0,0,6,34,17,24,8,11,3,2,7,0
Biobio,08,San Rosendo,08310,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Santa Barbara,08311,14592,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Biobio,08,Santa Juana,08109,14779,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Biobio,08,Talcahuano,08110,158345,0,0,0,0,1,16,16,17,14,14,20,17,12,0
Biobio,08,Tirua,08207,11019,0,0,0,0,0,1,2,1,0,0,0,0,0,0
Biobio,08,Tome,08111,58729,0,0,0,0,0,9,11,12,7,9,1,3,11,0
Biobio,08,Tucapel,08312,15205,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Biobio,08,Yumbel,08313,22132,0,0,0,0,0,0,5,0,1,1,1,2,4,0
Biobio,08,Total,,1663696,0,0,1,2,28,138,157,149,99,99,63,72,122,0
,,,,,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,0,0,0,1,1,3,10,10,15,34,27,11,6,0
La Araucania,09,Carahue,09102,25486,0,0,0,0,0,0,3,10,9,7,5,2,0,0
La Araucania,09,Cholchol,09121,12341,0,0,0,0,0,1,2,0,0,1,0,0,0,0
La Araucania,09,Collipulli,09202,26148,0,0,0,0,0,0,0,1,1,1,3,0,0,0
La Araucania,09,Cunco,09103,18055,0,0,0,0,0,0,3,2,0,0,0,0,1,0
La Araucania,09,Curacautin,09203,18178,0,0,0,0,0,2,0,2,0,0,2,0,1,0
La Araucania,09,Curarrehue,09104,7802,0,0,0,0,1,1,2,0,0,0,0,0,0,0
La Araucania,09,Ercilla,09204,8458,0,0,0,0,0,0,0,4,1,4,1,1,0,0
La Araucania,09,Freire,09105,25446,0,0,0,0,0,2,3,0,0,2,0,0,2,0
La Araucania,09,Galvarino,09106,12633,0,0,0,0,0,1,1,1,0,0,0,1,0,0
La Araucania,09,Gorbea,09107,15148,0,0,0,0,1,4,4,1,0,2,0,0,1,0
La Araucania,09,Lautaro,09108,40746,0,0,1,0,0,6,3,14,6,6,2,7,8,0
