Grupo de edad,Sexo,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-02,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
60 - 79 años,F,5.0,12.0,17.0,25.0,32.0,32.0,37.0,45.0,52.0,54.0,65.0,74.0,81.0,84.0,92.0,108.0,123.0,138.0,151.0,161.0,163.0,172.0,190.0,208.0,215.0,216.0,218.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 y más años,F,1.0,2.0,2.0,3.0,5.0,6.0,7.0,7.0,10.0,11.0,14.0,16.0,16.0,19.0,22.0,27.0,33.0,39.0,45.0,48.0,50.0,50.0,52.0,58.0,63.0,64.0,65.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 - 5 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,12.0,12.0,12.0,13.0,14.0,17.0,20.0,22.0,28.0,50.0,67.0,80.0,95.0,100.0,131.0,131.0,139.0,152.0,184.0,200.0,211.0,242.0,252.0,260.0,266.0,273.0,279.0,292.0,296.0,301.0,303.0,305.0,318.0,322.0,332.0,342.0,348.0,355.0
5 - 17 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,17.0,19.0,23.0,38.0,43.0,49.0,62.0,72.0,88.0,88.0,95.0,101.0,140.0,163.0,180.0,196.0,202.0,206.0,218.0,221.0,230.0,246.0,251.0,258.0,261.0,263.0,275.0,282.0,290.0,296.0,306.0,312.0
18 - 49 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,392.0,396.0,402.0,403.0,406.0,409.0,488.0,497.0,519.0,567.0,809.0,969.0,1089.0,1284.0,1495.0,1770.0,1770.0,1895.0,2084.0,2287.0,2651.0,2778.0,2957.0,3045.0,3161.0,3293.0,3397.0,3486.0,3641.0,3722.0,3799.0,3826.0,3971.0,4436.0,4881.0,5133.0,5617.0,5711.0,5794.0
50 - 59 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,205.0,210.0,216.0,220.0,221.0,225.0,282.0,295.0,315.0,348.0,491.0,649.0,741.0,880.0,1031.0,1191.0,1191.0,1387.0,1715.0,1885.0,2066.0,2186.0,2332.0,2395.0,2509.0,2631.0,2737.0,2815.0,2977.0,3030.0,3084.0,3131.0,3213.0,3427.0,3969.0,4319.0,4589.0,4644.0,4761.0
60 - 69 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,177.0,182.0,187.0,187.0,197.0,201.0,268.0,286.0,296.0,341.0,482.0,636.0,740.0,873.0,1036.0,1206.0,1206.0,1357.0,1599.0,1803.0,2014.0,2170.0,2354.0,2432.0,2541.0,2673.0,2777.0,2870.0,3078.0,3142.0,3208.0,3271.0,3411.0,3749.0,4203.0,4430.0,4656.0,4741.0,4871.0
70 - 79 años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,157.0,158.0,159.0,162.0,164.0,167.0,216.0,227.0,241.0,253.0,384.0,484.0,571.0,678.0,791.0,931.0,931.0,1052.0,1244.0,1389.0,1577.0,1720.0,1876.0,1954.0,2049.0,2180.0,2252.0,2319.0,2493.0,2570.0,2617.0,2670.0,2771.0,2971.0,3179.0,3236.0,3396.0,3475.0,3578.0
80 y más años,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,80.0,81.0,87.0,89.0,93.0,101.0,125.0,136.0,144.0,149.0,207.0,266.0,333.0,402.0,459.0,545.0,545.0,619.0,741.0,796.0,938.0,1022.0,1108.0,1164.0,1237.0,1306.0,1354.0,1409.0,1505.0,1545.0,1583.0,1615.0,1695.0,1778.0,1882.0,1931.0,2022.0,2071.0,2145.0
00 - 5 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,11.0,15.0,16.0,16.0,16.0,20.0,20.0,22.0,24.0,47.0,65.0,73.0,90.0,102.0,126.0,126.0,132.0,146.0,187.0,209.0,221.0,246.0,248.0,265.0,268.0,269.0,271.0,281.0,283.0,285.0,285.0,287.0,299.0,303.0,313.0,320.0,330.0,331.0
5 - 17 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,16.0,15.0,16.0,19.0,22.0,33.0,42.0,50.0,66.0,75.0,91.0,91.0,95.0,110.0,138.0,172.0,191.0,206.0,214.0,228.0,237.0,242.0,251.0,264.0,268.0,272.0,273.0,279.0,294.0,301.0,307.0,313.0,323.0,335.0
18 - 49 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,311.0,316.0,321.0,325.0,330.0,340.0,404.0,414.0,438.0,489.0,692.0,831.0,953.0,1138.0,1325.0,1547.0,1547.0,1631.0,1840.0,2009.0,2328.0,2446.0,2623.0,2695.0,2797.0,2960.0,3053.0,3113.0,3256.0,3330.0,3386.0,3433.0,3533.0,3876.0,4210.0,4426.0,4827.0,4919.0,4993.0
50 - 59 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,164.0,168.0,172.0,176.0,177.0,184.0,214.0,217.0,221.0,232.0,319.0,405.0,467.0,534.0,629.0,759.0,759.0,877.0,1031.0,1132.0,1254.0,1306.0,1397.0,1431.0,1492.0,1548.0,1606.0,1652.0,1749.0,1784.0,1824.0,1841.0,1874.0,1987.0,2250.0,2459.0,2619.0,2648.0,2714.0
60 - 69 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,128.0,130.0,134.0,137.0,138.0,142.0,192.0,202.0,217.0,233.0,313.0,422.0,494.0,572.0,666.0,770.0,770.0,852.0,1044.0,1193.0,1335.0,1436.0,1546.0,1592.0,1685.0,1806.0,1890.0,1947.0,2088.0,2125.0,2189.0,2223.0,2301.0,2498.0,2794.0,2950.0,3103.0,3162.0,3240.0
70 - 79 años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,123.0,123.0,125.0,129.0,131.0,135.0,172.0,189.0,201.0,219.0,290.0,384.0,457.0,533.0,609.0,713.0,713.0,796.0,954.0,1068.0,1241.0,1335.0,1438.0,1477.0,1555.0,1647.0,1713.0,1763.0,1902.0,1956.0,2010.0,2047.0,2131.0,2271.0,2445.0,2493.0,2606.0,2670.0,2755.0
80 y más años,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,82.0,89.0,96.0,97.0,97.0,102.0,124.0,129.0,140.0,157.0,221.0,285.0,343.0,432.0,485.0,564.0,564.0,648.0,806.0,863.0,1010.0,1083.0,1181.0,1238.0,1301.0,1375.0,1411.0,1459.0,1590.0,1637.0,1691.0,1743.0,1845.0,1935.0,2032.0,2076.0,2173.0,2215.0,2291.0
