Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29,SE30,SE31
Atacama,03,Diego de Almagro,03202,14358.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,4.0,9.0,4.0,2.0,10.0,4.0,1.0,2.0,0.0
Atacama,03,Freirina,03303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,10.0,23.0,3.0,1.0,0.0
Atacama,03,Huasco,03304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,6.0,3.0,0.0,0.0,3.0,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,1.0,10.0,15.0,11.0,5.0,14.0,22.0,21.0,21.0,0.0
Atacama,03,Vallenar,03301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,11.0,10.0,13.0,2.0,6.0,15.0,27.0,53.0,66.0,53.0,73.0,60.0,31.0,19.0,0.0
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Total,,314709.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,8.0,9.0,25.0,46.0,53.0,23.0,37.0,85.0,168.0,213.0,250.0,235.0,292.0,312.0,335.0,259.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,6.0,6.0,0.0,5.0,7.0,3.0,3.0,3.0,1.0,0.0
Coquimbo,04,Canela,04202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,6.0,5.0,0.0,4.0,1.0,0.0
Coquimbo,04,Combarbala,04302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0
Coquimbo,04,Coquimbo,04102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,1.0,1.0,6.0,7.0,16.0,79.0,82.0,62.0,136.0,132.0,146.0,165.0,230.0,226.0,321.0,333.0,125.0,0.0
Coquimbo,04,Illapel,04201,32801.0,0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,19.0,14.0,17.0,20.0,40.0,42.0,63.0,7.0,4.0,0.0
Coquimbo,04,La Higuera,04104,4450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,9.0,24.0,3.0,0.0
Coquimbo,04,La Serena,04101,249656.0,0,0.0,0.0,1.0,0.0,3.0,6.0,4.0,3.0,3.0,5.0,14.0,51.0,46.0,66.0,96.0,110.0,124.0,180.0,154.0,188.0,233.0,254.0,154.0,0.0
Coquimbo,04,Los Vilos,04203,23374.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,7.0,12.0,25.0,10.0,12.0,17.0,6.0,0.0
Coquimbo,04,Monte Patria,04303,32527.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,18.0,25.0,25.0,23.0,39.0,20.0,25.0,23.0,11.0,13.0,4.0,0.0
Coquimbo,04,Ovalle,04301,121269.0,0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,5.0,1.0,13.0,25.0,45.0,55.0,105.0,153.0,147.0,105.0,85.0,56.0,53.0,44.0,24.0,0.0
Coquimbo,04,Paiguano,04105,4675.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Coquimbo,04,Punitaqui,04304,12165.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,4.0,14.0,2.0,7.0,5.0,7.0,4.0,13.0,15.0,2.0,0.0
Coquimbo,04,Rio Hurtado,04305,4372.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,6.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0
Coquimbo,04,Salamanca,04204,29110.0,0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,14.0,13.0,3.0,2.0,3.0,7.0,11.0,15.0,16.0,0.0
Coquimbo,04,Vicuna,04106,29741.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,1.0,7.0,9.0,27.0,30.0,4.0,0.0
Coquimbo,04,Desconocido Coquimbo,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Coquimbo,04,Total,,836096.0,0.0,0.0,0.0,2.0,6.0,21.0,19.0,15.0,13.0,16.0,15.0,60.0,185.0,206.0,239.0,437.0,476.0,495.0,523.0,589.0,585.0,761.0,761.0,345.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174.0,0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,13.0,9.0,7.0,17.0,16.0,7.0,4.0,2.0,2.0,2.0,0.0,0.0
Valparaiso,05,Cabildo,05402,20663.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,7.0,7.0,12.0,15.0,33.0,33.0,33.0,23.0,23.0,8.0,3.0,0.0
Valparaiso,05,Calera,05502,53591.0,0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,7.0,2.0,2.0,7.0,18.0,21.0,22.0,45.0,51.0,63.0,76.0,91.0,80.0,92.0,28.0,0.0
Valparaiso,05,Calle Larga,05302,16482.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,3.0,8.0,28.0,25.0,27.0,23.0,19.0,19.0,14.0,5.0,6.0,5.0,0.0
Valparaiso,05,Cartagena,05603,25357.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,12.0,8.0,16.0,11.0,13.0,18.0,18.0,14.0,16.0,9.0,13.0,2.0,0.0
Valparaiso,05,Casablanca,05102,29170.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,8.0,13.0,19.0,11.0,10.0,14.0,13.0,11.0,13.0,12.0,0.0
Valparaiso,05,Catemu,05702,15213.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,14.0,14.0,12.0,4.0,11.0,6.0,10.0,8.0,5.0,0.0
Valparaiso,05,Concon,05103,45889.0,0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,0.0,11.0,6.0,9.0,16.0,18.0,23.0,34.0,39.0,41.0,46.0,45.0,35.0,20.0,2.0,0.0
Valparaiso,05,El Quisco,05604,17742.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,5.0,9.0,14.0,15.0,15.0,18.0,10.0,7.0,11.0,19.0,8.0,8.0,3.0,0.0
Valparaiso,05,El Tabo,05605,14338.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,3.0,4.0,7.0,6.0,16.0,21.0,12.0,14.0,10.0,17.0,8.0,6.0,7.0,5.0,0.0
Valparaiso,05,Hijuelas,05503,19099.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,14.0,10.0,10.0,15.0,22.0,19.0,28.0,22.0,4.0,0.0
Valparaiso,05,Isla de Pascua,05201,8277.0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Juan Fernandez,05104,1033.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,La Cruz,05504,25321.0,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,8.0,7.0,4.0,5.0,11.0,15.0,9.0,9.0,22.0,12.0,16.0,22.0,14.0,0.0
Valparaiso,05,La Ligua,05401,37739.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,10.0,16.0,27.0,26.0,34.0,22.0,29.0,31.0,27.0,29.0,14.0,0.0
Valparaiso,05,Limache,05802,49931.0,0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,9.0,6.0,1.0,7.0,24.0,33.0,24.0,32.0,56.0,60.0,68.0,52.0,45.0,42.0,40.0,15.0,0.0
Valparaiso,05,Llaillay,05703,26533.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,30.0,23.0,21.0,28.0,17.0,20.0,16.0,17.0,24.0,10.0,3.0,0.0
Valparaiso,05,Los Andes,05301,68093.0,0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,9.0,20.0,56.0,80.0,84.0,125.0,93.0,87.0,74.0,69.0,53.0,58.0,29.0,0.0
Valparaiso,05,Nogales,05506,23490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,7.0,8.0,15.0,14.0,12.0,19.0,17.0,30.0,12.0,0.0
Valparaiso,05,Olmue,05803,19266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,11.0,6.0,12.0,15.0,13.0,6.0,15.0,12.0,16.0,8.0,0.0
Valparaiso,05,Panquehue,05704,7633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,3.0,8.0,4.0,9.0,7.0,7.0,15.0,22.0,8.0,0.0
Valparaiso,05,Papudo,05403,6201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,12.0,11.0,10.0,7.0,3.0,4.0,3.0,2.0,3.0,0.0
Valparaiso,05,Petorca,05404,10558.0,0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,9.0,4.0,5.0,10.0,9.0,3.0,5.0,6.0,3.0,0.0
Valparaiso,05,Puchuncavi,05105,20071.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,5.0,8.0,25.0,18.0,20.0,12.0,8.0,8.0,3.0,2.0,0.0
Valparaiso,05,Putaendo,05705,17645.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,7.0,7.0,7.0,14.0,26.0,25.0,25.0,19.0,20.0,16.0,6.0,12.0,0.0
Valparaiso,05,Quillota,05501,97572.0,0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,8.0,1.0,5.0,3.0,18.0,20.0,38.0,57.0,135.0,116.0,134.0,133.0,127.0,76.0,70.0,27.0,0.0
Valparaiso,05,Quilpue,05801,167085.0,0,0.0,0.0,1.0,3.0,4.0,9.0,6.0,4.0,6.0,12.0,19.0,45.0,76.0,76.0,77.0,102.0,93.0,131.0,121.0,130.0,72.0,56.0,24.0,0.0
Valparaiso,05,Quintero,05107,36135.0,0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,2.0,3.0,23.0,23.0,28.0,38.0,46.0,32.0,30.0,30.0,13.0,19.0,17.0,6.0,0.0
Valparaiso,05,Rinconada,05303,11263.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,15.0,17.0,15.0,17.0,19.0,12.0,7.0,6.0,10.0,11.0,2.0,0.0
Valparaiso,05,San Antonio,05601,96761.0,0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,22.0,37.0,69.0,61.0,101.0,94.0,134.0,143.0,117.0,87.0,86.0,77.0,56.0,64.0,26.0,0.0
Valparaiso,05,San Esteban,05304,20643.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,4.0,10.0,15.0,24.0,14.0,12.0,19.0,16.0,17.0,12.0,3.0,0.0
Valparaiso,05,San Felipe,05701,83494.0,0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,6.0,17.0,60.0,70.0,101.0,136.0,128.0,70.0,81.0,39.0,36.0,24.0,12.0,0.0
Valparaiso,05,Santa Maria,05706,16367.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,15.0,3.0,5.0,8.0,12.0,15.0,22.0,16.0,14.0,14.0,14.0,11.0,5.0,0.0
Valparaiso,05,Santo Domingo,05606,11934.0,0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,11.0,7.0,9.0,29.0,17.0,10.0,9.0,7.0,5.0,1.0,1.0,0.0
Valparaiso,05,Valparaiso,05101,315732.0,0,0.0,0.0,1.0,2.0,11.0,14.0,13.0,19.0,17.0,26.0,83.0,114.0,146.0,223.0,273.0,352.0,326.0,299.0,232.0,196.0,212.0,222.0,76.0,0.0
Valparaiso,05,Villa Alemana,05804,139310.0,0,0.0,0.0,0.0,1.0,7.0,4.0,3.0,0.0,1.0,5.0,31.0,41.0,50.0,68.0,101.0,102.0,90.0,125.0,80.0,100.0,62.0,54.0,21.0,0.0
Valparaiso,05,Vina del Mar,05109,361371.0,0,0.0,1.0,0.0,5.0,23.0,27.0,23.0,13.0,21.0,25.0,77.0,141.0,198.0,227.0,270.0,305.0,276.0,294.0,262.0,237.0,168.0,168.0,64.0,0.0
Valparaiso,05,Zapallar,05405,7994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,15.0,8.0,10.0,7.0,7.0,3.0,0.0
Valparaiso,05,Desconocido Valparaiso,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Total,,1960170.0,0.0,0.0,3.0,4.0,14.0,78.0,105.0,102.0,88.0,107.0,159.0,378.0,621.0,999.0,1208.0,1514.0,1976.0,1794.0,1766.0,1610.0,1478.0,1209.0,1160.0,462.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,9.0,14.0,18.0,9.0,14.0,26.0,25.0,16.0,15.0,0.0
Metropolitana,13,Buin,13402,109641.0,0,0.0,0.0,0.0,0.0,5.0,16.0,10.0,13.0,19.0,20.0,61.0,136.0,187.0,225.0,187.0,208.0,196.0,169.0,130.0,126.0,80.0,101.0,34.0,0.0
Metropolitana,13,Calera de Tango,13403,28525.0,0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,18.0,30.0,34.0,56.0,60.0,45.0,44.0,48.0,26.0,23.0,15.0,8.0,0.0
Metropolitana,13,Cerrillos,13102,88956.0,0,0.0,1.0,3.0,1.0,4.0,11.0,13.0,21.0,21.0,67.0,222.0,201.0,275.0,310.0,233.0,256.0,259.0,203.0,149.0,107.0,74.0,86.0,53.0,0.0
Metropolitana,13,Cerro Navia,13103,142465.0,0,0.0,0.0,1.0,10.0,16.0,16.0,14.0,37.0,50.0,108.0,266.0,563.0,676.0,708.0,711.0,680.0,533.0,446.0,246.0,223.0,168.0,118.0,38.0,0.0
Metropolitana,13,Colina,13301,180353.0,0,0.0,1.0,3.0,7.0,28.0,15.0,25.0,17.0,25.0,36.0,133.0,363.0,534.0,596.0,566.0,537.0,359.0,283.0,222.0,148.0,114.0,62.0,26.0,0.0
Metropolitana,13,Conchali,13104,139195.0,0,0.0,0.0,1.0,2.0,17.0,14.0,19.0,40.0,73.0,132.0,378.0,613.0,699.0,655.0,582.0,527.0,430.0,325.0,236.0,204.0,150.0,75.0,48.0,0.0
Metropolitana,13,Curacavi,13503,36430.0,0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,18.0,40.0,70.0,96.0,130.0,96.0,78.0,50.0,39.0,35.0,36.0,32.0,24.0,0.0
Metropolitana,13,El Bosque,13105,172000.0,0,0.0,0.0,0.0,1.0,14.0,22.0,32.0,51.0,46.0,88.0,217.0,395.0,543.0,525.0,678.0,679.0,569.0,447.0,397.0,315.0,214.0,185.0,53.0,0.0
Metropolitana,13,El Monte,13602,40014.0,0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,3.0,7.0,16.0,40.0,73.0,139.0,99.0,120.0,120.0,134.0,87.0,86.0,64.0,31.0,27.0,0.0
Metropolitana,13,Estacion Central,13106,206792.0,0,0.0,0.0,1.0,3.0,12.0,28.0,34.0,42.0,81.0,169.0,377.0,566.0,659.0,659.0,672.0,577.0,449.0,352.0,275.0,182.0,186.0,117.0,58.0,0.0
Metropolitana,13,Huechuraba,13107,112528.0,0,0.0,1.0,0.0,5.0,21.0,11.0,19.0,21.0,33.0,56.0,201.0,370.0,493.0,433.0,390.0,346.0,256.0,254.0,159.0,128.0,98.0,78.0,42.0,0.0
Metropolitana,13,Independencia,13108,142065.0,0,0.0,0.0,0.0,4.0,16.0,10.0,26.0,50.0,146.0,305.0,566.0,771.0,769.0,759.0,695.0,497.0,366.0,284.0,184.0,172.0,142.0,91.0,47.0,0.0
Metropolitana,13,Isla de Maipo,13603,40171.0,0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,2.0,0.0,4.0,11.0,25.0,34.0,66.0,87.0,85.0,77.0,66.0,67.0,55.0,95.0,100.0,30.0,0.0
Metropolitana,13,La Cisterna,13109,100434.0,0,0.0,0.0,0.0,3.0,11.0,12.0,18.0,18.0,28.0,64.0,120.0,240.0,322.0,297.0,377.0,333.0,252.0,235.0,147.0,93.0,100.0,47.0,43.0,0.0
Metropolitana,13,La Florida,13110,402433.0,0,0.0,1.0,2.0,12.0,31.0,59.0,63.0,79.0,107.0,207.0,591.0,1029.0,1540.0,1702.0,1486.0,1425.0,977.0,820.0,591.0,387.0,302.0,247.0,106.0,0.0
Metropolitana,13,La Granja,13111,122557.0,0,0.0,0.0,0.0,1.0,6.0,15.0,36.0,22.0,21.0,76.0,270.0,612.0,909.0,1008.0,710.0,634.0,483.0,336.0,232.0,223.0,132.0,89.0,60.0,0.0
