Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,1,4,8,23,85,84,69,150,142,136,81,0
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,1,5,21,14,17,13,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,1,3,6,4,2,2,5,17,50,50,75,116,112,123,112,0
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,5,8,1,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,6,19,25,26,24,37,18,0
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,3,2,4,2,0,5,1,15,32,47,58,113,170,176,84,0
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,6,0,4,16,2,7,2,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,5,7,1,0,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,2,2,5,15,14,3,4,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,1,0,1,3,5,3,5,4,7,2,0,0
Coquimbo,04,Desconocido Coquimbo,,,0,0,0,0,0,1,0,1,0,1,1,1,1,3,10,10,10,37,47,0
Coquimbo,04,Total,,836096,0,0,0,0,8,22,19,16,13,14,17,73,198,219,269,498,520,554,374,0
,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,13,10,8,18,17,2,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,4,6,7,16,20,32,12,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,2,8,17,20,22,49,56,41,1
Valparaiso,05,Calle Larga,05302,16482,0,0,1,0,0,0,0,2,3,1,0,4,3,9,29,27,27,23,13,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,1,5,5,12,7,17,10,16,21,6,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,2,0,1,1,0,0,0,9,9,9,13,21,23,8,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,14,15,14,2,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,3,6,1,1,0,11,6,9,16,19,24,53,35,8,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,9,14,16,14,18,7,3,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,7,6,16,24,19,17,7,1
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,8,10,15,11,14,16,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,8,7,3,5,12,15,11,5,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,1,1,0,1,0,1,2,10,17,26,31,50,17,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,24,31,23,37,84,93,63,0
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,5,29,23,25,34,24,18,0
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,10,21,57,86,95,141,108,68,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,11,15,7,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,2,0,0,0,0,2,5,11,7,12,18,6,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,15,7,7,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,13,16,11,7,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,2,0,0,0,0,1,4,5,9,4,5,2,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,8,26,20,11,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,1,2,4,2,2,6,7,7,13,29,29,17,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,3,7,3,8,1,5,3,17,19,44,83,185,173,91,0
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,5,5,12,20,46,76,79,112,151,142,69,0
Valparaiso,05,Quintero,05107,36135,0,0,1,0,0,4,1,1,0,6,2,3,24,24,30,36,46,37,15,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,4,0,0,0,0,2,14,18,16,18,18,15,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,6,14,11,22,39,67,60,99,96,136,139,124,47,0
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,1,0,1,2,2,7,3,10,16,32,19,13,4
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,1,2,6,19,60,70,116,183,171,57,2
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,1,5,13,2,5,8,13,18,28,24,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,1,0,6,4,4,4,5,4,11,6,9,30,17,9,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,9,16,14,18,16,26,83,114,144,232,329,493,499,274,0
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,8,4,3,0,1,6,30,40,51,64,122,176,169,106,2
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,28,22,13,21,26,79,140,200,225,293,404,339,174,1
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10,0
Valparaiso,05,Desconocido Valparaiso,,,0,0,0,0,0,1,3,2,1,1,0,0,11,8,6,44,38,55,119,2
Valparaiso,05,Total,,1960170,0,0,2,4,15,75,110,106,89,108,164,377,634,996,1243,1769,2600,2444,1369,13
,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,8,15,24,7,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,10,15,18,19,62,136,189,227,217,277,257,106,1
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,8,18,31,36,69,68,70,25,1
Metropolitana,13,Cerrillos,13102,88956,0,0,1,3,1,4,11,13,20,21,69,228,203,276,313,269,348,315,107,2
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,2,10,15,15,15,38,47,109,266,568,677,717,747,729,563,177,1
Metropolitana,13,Colina,13301,180353,0,0,1,3,7,28,16,25,18,22,35,134,370,536,605,613,590,402,182,3
Metropolitana,13,Conchali,13104,139195,0,0,0,4,2,17,14,19,40,73,134,381,632,703,661,637,624,521,220,0
Metropolitana,13,Curacavi,13503,36430,0,0,1,0,1,2,5,5,4,1,6,18,39,69,95,137,103,89,40,0
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,1,14,23,34,52,47,87,222,400,551,551,749,827,658,248,0
Metropolitana,13,El Monte,13602,40014,0,0,0,2,1,1,1,7,4,2,8,15,39,73,137,101,122,117,77,0
Metropolitana,13,Estacion Central,13106,206792,0,0,0,2,3,11,28,34,40,81,170,364,568,669,674,736,694,548,222,0
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,5,20,10,19,19,35,57,203,369,495,444,418,381,262,134,0
Metropolitana,13,Independencia,13108,142065,0,0,0,0,4,16,10,26,49,145,308,573,782,771,760,723,555,428,165,1
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,4,13,25,36,70,88,95,72,26,0
Metropolitana,13,La Cisterna,13109,100434,0,0,1,0,2,10,15,19,18,28,64,120,239,329,305,423,409,305,160,0
Metropolitana,13,La Florida,13110,402433,0,0,1,2,12,31,59,63,72,106,200,577,991,1500,1705,1618,1637,1104,530,0
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,6,15,34,22,21,71,269,616,899,1020,795,810,615,238,2
Metropolitana,13,La Pintana,13112,189335,0,0,1,1,3,9,21,34,48,94,153,318,654,864,1256,1365,1351,877,310,2
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,15,12,18,8,14,41,76,125,218,300,249,233,208,103,0
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,9,13,16,14,18,50,139,292,345,398,379,431,350,128,0
Metropolitana,13,Las Condes,13114,330759,0,1,1,18,61,126,67,42,38,36,76,242,484,669,740,674,544,457,200,2
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,55,31,21,37,38,65,153,258,391,409,285,293,217,72,0
Metropolitana,13,Lo Espejo,13116,103865,0,0,1,0,1,5,9,26,28,22,67,164,348,428,374,518,554,372,186,0
Metropolitana,13,Lo Prado,13117,104403,0,0,0,0,3,6,20,17,24,31,105,197,349,492,503,601,505,428,155,0
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,16,23,20,14,23,81,188,435,529,629,554,631,439,193,0
Metropolitana,13,Maipu,13119,578605,0,0,0,1,15,50,72,83,95,118,155,425,900,1306,1544,1659,1762,1521,531,3
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,2,18,24,36,36,37,24,11,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,5,5,5,8,24,36,85,105,210,347,476,468,383,216,0
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,55,42,50,46,67,71,152,362,533,744,650,656,523,221,1
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,10,5,13,10,16,60,98,169,228,231,262,207,77,0
Metropolitana,13,Paine,13404,82766,0,0,0,1,0,2,0,4,7,3,6,29,82,87,131,153,266,225,100,0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,3,6,15,25,47,32,71,179,363,423,379,495,568,409,166,0
Metropolitana,13,Penaflor,13605,101058,0,0,1,2,5,3,9,6,9,15,28,55,109,204,306,306,322,293,131,2
Metropolitana,13,Penalolen,13122,266798,0,0,1,2,9,30,34,41,53,71,124,399,963,1303,1623,1552,1409,1048,452,1
Metropolitana,13,Pirque,13202,30433,0,0,0,1,3,1,3,1,5,5,17,38,58,71,160,151,116,109,59,1
Metropolitana,13,Providencia,13123,157749,0,0,0,3,28,64,22,24,35,42,38,94,262,316,394,425,279,218,102,0
Metropolitana,13,Pudahuel,13124,253139,0,0,1,1,3,20,27,37,42,46,138,360,668,1002,1271,1241,1197,807,373,2
Metropolitana,13,Puente Alto,13201,645909,0,0,2,1,10,61,102,178,203,318,370,850,1584,2171,2565,2575,2787,2236,903,4
Metropolitana,13,Quilicura,13125,254694,0,0,0,3,3,20,30,45,45,136,318,555,811,946,886,1020,1069,844,329,1
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,6,14,26,39,51,53,99,265,455,581,706,724,634,493,215,0
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,7,14,18,40,46,116,283,741,1179,1107,985,858,749,546,245,1
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,10,35,67,113,294,627,732,831,765,811,725,348,3
Metropolitana,13,San Bernardo,13401,334836,0,0,0,1,6,23,40,66,78,123,161,340,655,889,1069,1292,1396,1142,440,5
Metropolitana,13,San Joaquin,13129,103485,0,0,0,0,1,14,22,14,37,41,84,225,504,642,452,480,560,431,177,0
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,2,2,3,1,4,24,46,54,95,67,76,58,25,0
Metropolitana,13,San Miguel,13130,133059,0,0,1,0,3,27,22,27,46,49,79,203,436,505,612,589,638,448,260,0
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,10,7,9,16,16,22,26,8,11,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,3,11,11,17,42,91,245,452,551,537,456,553,396,144,0
Metropolitana,13,Santiago,13101,503147,0,0,3,2,29,100,103,153,166,173,384,947,1676,1652,1811,1591,1403,1129,505,4
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,8,7,3,10,10,43,59,94,119,152,179,198,87,0
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,6,5,11,34,44,57,61,91,61,29,0
Metropolitana,13,Vitacura,13132,96774,0,1,0,6,32,50,29,15,6,5,13,57,154,202,176,143,132,91,48,0
Metropolitana,13,Desconocido Metropolitana,,,0,0,0,0,6,9,11,43,209,386,616,806,1817,2859,2962,2299,2119,2093,2391,20
Metropolitana,13,Total,,8125072,0,2,18,69,350,1017,1115,1457,1932,2889,5322,12421,23430,30434,33975,33442,33391,26364,12607,63
,,,,,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,4,6,20,11,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,2,1,0,0,0,1,1,5,13,8,7,12,17,4,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,0,0,1,3,7,10,11,13,11,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,10,8,2,5,6,8,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,15,9,13,4,4,9,17,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,1,5,12,16,15,9,17,28,34,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,22,24,22,31,45,40,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,2,2,4,3,5,8,11,15,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,3,0,1,6,14,12,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,10,4,7,2,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,4,9,18,25,33,49,91,102,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,5,10,1,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,7,1,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,3,4,6,15,21,28,24,11,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,11,5,9,7,12,4,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,6,2,6,1,11,14,8,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,8,4,12,5,12,15,8,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,7,1,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,1,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,12,11,1,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,3,2,2,2,1,2,2,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,3,8,3,2,5,3,8,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,4,2,6,3,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,6,10,3,1,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,2,6,9,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,1,0,0,8,4,6,3,9,13,27,84,176,220,283,418,605,620,0
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,3,8,19,29,26,43,64,68,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,5,5,13,21,15,42,34,0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,2,0,2,8,9,23,16,22,24,26,0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,3,16,25,16,12,20,33,32,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,5,4,9,7,18,19,12,0
Del Libertador General Bernardo O’Higgins,06,Desconocido O’Higgins,,,0,0,0,0,0,0,0,0,1,0,0,1,1,2,12,0,22,26,84,1
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,2,0,1,21,15,10,11,21,47,66,221,398,494,545,818,1203,1192,1
,,,,,,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,8,2,1,6,12,16,52,53,46,48,0
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,8,5,8,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,5,9,14,13,12,23,15,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,5,6,19,26,34,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0,1,1,3,6,0
Maule,07,Curico,07301,163626,0,0,0,1,2,3,6,3,12,11,9,12,22,44,154,192,282,305,132,0
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,1,0,0,0,5,14,28,30,20,6,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,5,4,2,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,13,16,19,29,42,82,49,0
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,13,10,23,30,48,25,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,14,1,0,3,13,13,31,30,30,17,0
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,2,4,9,22,24,22,14,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,2,0,0,6,6,42,56,34,23,20,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,5,4,4,6,6,3,1,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,7,1,9,12,13,6,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,4,3,6,1,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,1,7,6,6,15,0,0
Maule,07,Retiro,07405,21071,0,0,1,0,0,0,0,0,1,0,0,1,0,1,17,43,17,19,8,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,1,8,3,4,6,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,8,13,19,24,32,31,1
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,1,1,0,4,6,18,10,2,0
Maule,07,San Clemente,07109,46292,0,0,0,1,0,0,0,1,2,7,1,8,6,14,18,21,37,44,34,0
Maule,07,San Javier,07406,49451,0,0,0,0,0,1,2,7,4,7,4,3,7,8,9,22,50,42,17,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,5,10,28,7,18,8,3,0
Maule,07,Talca,07101,236724,0,0,0,4,9,13,19,11,17,74,17,13,21,53,73,87,163,210,153,2
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,8,10,33,14,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,9,21,9,2,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,2,1,4,9,13,26,15,16,5,0
Maule,07,Desconocido Maule,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,7,12,0
Maule,07,Total,,1131939,0,0,2,6,11,27,51,48,67,169,47,54,123,250,498,740,982,1114,682,3
,,,,,,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,9,27,10,7,8,8,9,27,40,25,19,17,16,15,0
