Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23
Metropolitana,13,Quilicura,13125,254694,0,0,0,6,4,20,25,41,41,128,272,483,659,802,510,100,0
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,5,14,25,36,49,51,97,240,397,397,190,44,1
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,15,19,33,46,105,273,678,1040,838,453,118,0
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,7,33,61,100,261,528,373,240,50,0
Metropolitana,13,San Bernardo,13401,334836,0,0,1,2,6,20,36,65,72,120,149,304,617,769,592,124,0
Metropolitana,13,San Joaquin,13129,103485,0,0,0,2,1,14,22,14,37,40,79,216,495,588,290,76,0
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,21,38,53,82,16,0
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,25,21,25,45,47,72,181,393,443,333,99,0
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,10,7,8,8,1,1,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,5,11,10,12,40,87,234,434,501,318,45,0
Metropolitana,13,Santiago,13101,503147,0,0,1,2,28,95,96,135,155,168,352,880,1540,1458,1116,252,0
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,7,7,4,11,8,35,52,77,51,20,0
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,7,29,37,33,5,0
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,31,46,29,13,5,5,13,54,144,187,128,50,0
Metropolitana,13,Total,,8125072,0,2,9,69,335,961,1032,1276,1585,2301,4243,10393,19321,22815,16792,3988,2
,,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,1,5,8,1,2,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,1,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,7,2,0,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,15,8,2,0,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,4,9,12,6,0,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,17,5,0,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,2,1,2,0,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,0,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,3,7,13,8,3,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,2,4,5,2,3,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,6,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,8,2,3,1,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,2,7,1,0,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,1,0,0,8,4,6,3,7,10,24,74,136,69,12,0
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,2,5,10,10,0,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,5,5,2,0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,0,0,2,7,8,8,5,0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,3,14,19,2,0,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,4,4,3,1,0
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,1,0,1,20,15,10,10,17,43,59,193,304,136,36,0
,,,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,3,12,10,24,0
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,9,10,3,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,5,2,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0,1,0
Maule,07,Curico,07301,163626,0,0,0,1,3,3,6,3,12,9,10,9,18,41,126,38,0
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,1,0,0,0,3,14,3,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,12,17,16,9,0
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,9,7,4,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,12,2,0,3,12,10,3,0
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,2,4,8,2,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,6,5,48,4,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,4,5,4,1,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1,0,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,1,6,1,0
Maule,07,Retiro,07405,21071,0,0,1,0,0,0,0,0,1,0,0,1,0,1,14,1,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,1,2,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,3,10,6,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,8,6,13,18,5,0
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,6,4,7,4,3,8,8,8,4,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,5,9,28,3,0
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,12,21,49,64,22,0
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,3,2,0,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,2,0,4,9,9,3,0
Maule,07,Total,,1131939,0,0,2,4,12,26,51,47,66,160,48,48,111,228,430,144,0
,,,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,6,9,23,43,25,11,0
Nuble,16,Chillan,16101,198624,0,1,0,1,28,119,116,76,33,25,17,15,20,62,55,34,0
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,0,4,16,20,4,0
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,2,7,8,0
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,2,3,4,6,12,12,3,1,8,1,1,0
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,3,5,5,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,1,1,2,2,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,0,0,1,2,0,0,0,0,4,2,2,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0,1,0
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,3,0,0,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0
Nuble,16,Quillon,16107,18777,0,0,0,0,0,8,8,8,1,0,2,2,2,9,6,9,0
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,1,3,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,5,10,9,2,3,3,3,5,9,11,9,0
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,3,0,2,7,5,0
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,6,4,4,0,0,0,2,2,5,1,0
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,3,16,21,3,4,6,2,2,2,0,3,0
Nuble,16,Total,,511551,0,1,0,1,35,167,219,164,74,60,50,38,72,176,149,98,0
,,,,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,44,0
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,11,0
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,13,16,19,0
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,4,2,2,2,0
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,0
Biobio,08,Chiguayante,08103,91180,0,0,0,0,5,5,9,16,11,10,11,8,6,7,6,14,0
Biobio,08,Concepcion,08101,238092,0,0,1,1,6,28,28,22,21,18,14,19,18,19,78,48,0
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Coronel,08102,125829,0,0,0,0,1,6,6,4,1,0,5,2,14,14,46,60,0
Biobio,08,Curanilahue,08205,33892,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,0,0
Biobio,08,Florida,08104,11841,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0
Biobio,08,Hualpen,08112,97273,0,0,0,0,3,24,33,27,17,8,2,5,11,9,12,8,0
Biobio,08,Hualqui,08105,26201,0,0,0,0,1,1,2,3,4,9,0,0,2,4,11,6,0
Biobio,08,Laja,08304,23873,0,0,0,1,1,0,3,1,1,1,5,1,17,20,8,3,0
