Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,3,12,6,6,1
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,8,5,1,0
Antofagasta,02,Total,,691854,0,1,2,2,4,35,35,64,100,151,245,386,485,618,479,244,16
,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,26,27,14,24,39,10
Atacama,03,Diego de Almagro,03202,14358,0,0,0,0,0,0,1,0,0,0,0,1,1,4,3,3,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,10,1,0,1,1
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,11,9,13,2,6,12,2
Atacama,03,Total,,314709,0,0,0,0,1,0,3,3,8,10,25,44,53,22,35,59,14
,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1,4,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,3,0
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,1,4,7,14,78,75,40,40,1
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,1,3,8,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,1,3,6,4,2,2,5,13,48,42,47,31,1
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,6,18,20,10,0
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,2,2,4,2,0,1,1,12,23,42,43,39,0
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,6,0,3,3,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,1,2,4,5,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,1,2,5,3,4,2,0
Coquimbo,04,Total,,836096,0,0,0,0,7,21,19,15,12,9,15,55,178,192,173,153,2
,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,13,10,4,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,2,5,4,5,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,2,7,17,20,12,2
Valparaiso,05,Calle Larga,05302,16482,0,0,1,0,0,0,0,2,3,1,0,4,3,8,26,12,1
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,3,5,5,12,7,15,5,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,2,0,1,1,0,0,0,9,8,7,5,2
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,8,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,6,9,15,15,8,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,9,13,13,15,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,7,6,14,15,2
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10,11,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,7,6,3,3,5,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,0,8,7,10,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,23,31,20,19,2
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,5,27,19,8,3
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,7,19,52,71,36,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,4,6,5,4,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,1,1,0,0,0,3,5,11,3,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,4,4,6,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,5,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,6,7,6,5,1
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,4,7,3,7,1,5,3,16,17,30,12,1
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,4,5,12,17,43,73,68,41,0
Valparaiso,05,Quintero,05107,36135,0,0,1,0,0,3,1,0,0,6,2,3,21,23,24,12,1
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,2,13,17,13,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,10,22,38,65,60,97,85,72,4
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,6,3,9,6,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,4,15,56,53,44,6
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,0,4,13,2,5,4,3,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,2,0,6,4,4,4,5,4,10,6,3,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,9,17,12,18,14,26,81,110,132,190,146,7
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,5,28,38,48,48,48,3
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,27,21,11,19,23,72,131,185,196,135,14
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Valparaiso,05,Total,,1960170,0,0,2,4,15,73,104,95,83,100,156,355,585,929,1022,745,49
,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,9,14,17,18,58,128,184,173,60,9
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,5,17,28,25,17,1
Metropolitana,13,Cerrillos,13102,88956,0,0,1,1,1,5,10,14,20,20,63,207,191,263,245,81,1
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,9,13,13,13,37,43,86,235,487,473,304,162,17
Metropolitana,13,Colina,13301,180353,0,0,1,4,6,28,15,19,16,20,33,124,330,448,408,244,46
Metropolitana,13,Conchali,13104,139195,0,0,0,1,1,16,12,18,34,68,126,341,542,552,382,199,38
Metropolitana,13,Curacavi,13503,36430,0,0,1,0,1,2,4,4,4,0,4,18,40,66,86,103,2
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,2,14,21,28,46,45,81,202,368,519,415,277,9
Metropolitana,13,El Monte,13602,40014,0,0,0,0,1,1,1,7,4,2,8,14,38,56,65,16,2
Metropolitana,13,Estacion Central,13106,206792,0,0,0,2,3,12,26,33,39,77,163,344,528,609,506,262,13
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,5,18,8,16,17,31,48,182,327,418,255,110,17
Metropolitana,13,Independencia,13108,142065,0,0,0,1,5,14,9,24,45,143,294,513,683,699,591,321,17
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,4,9,21,22,28,13,0
Metropolitana,13,La Cisterna,13109,100434,0,0,1,0,1,10,12,17,19,24,59,116,219,302,220,176,9
Metropolitana,13,La Florida,13110,402433,0,0,1,2,12,28,57,60,67,96,181,514,924,1388,1309,571,27
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,7,13,31,20,17,65,247,570,844,764,236,5
Metropolitana,13,La Pintana,13112,189335,0,0,0,0,3,9,17,31,45,86,145,285,599,807,882,418,12
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,12,16,7,12,37,69,120,197,256,102,10
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,14,12,18,41,115,260,284,233,100,10
Metropolitana,13,Las Condes,13114,330759,0,1,0,19,59,122,65,37,34,28,65,225,455,627,635,340,35
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,52,27,18,36,35,64,136,236,303,303,122,18
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,5,7,25,28,22,57,154,327,407,284,168,6
Metropolitana,13,Lo Prado,13117,104403,0,0,0,1,3,5,19,14,21,30,100,172,317,354,204,101,6
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,15,21,17,14,21,77,171,407,496,484,168,14
Metropolitana,13,Maipu,13119,578605,0,0,0,0,13,49,71,77,82,109,131,344,772,1159,1118,542,32
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,1,16,22,20,7,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,4,5,5,8,21,33,77,92,167,238,211,24
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,53,38,46,45,65,64,140,342,505,612,284,27
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,12,9,15,51,90,121,120,43,3
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,3,0,4,4,3,5,25,76,81,95,40,9
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,4,5,16,23,45,32,71,162,334,381,255,97,16
Metropolitana,13,Penaflor,13605,101058,0,0,1,1,5,3,9,5,9,14,26,42,96,148,150,60,5
Metropolitana,13,Penalolen,13122,266798,0,0,1,3,9,26,34,38,50,66,118,372,889,1257,1343,662,31
Metropolitana,13,Pirque,13202,30433,0,0,0,0,3,1,4,1,5,5,16,33,43,63,107,43,0
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,61,20,22,30,34,34,89,222,290,330,221,18
Metropolitana,13,Pudahuel,13124,253139,0,0,2,1,2,19,23,31,36,43,126,305,593,799,579,245,27
Metropolitana,13,Puente Alto,13201,645909,0,0,1,2,9,58,98,163,185,270,277,741,1371,1948,1954,798,64
Metropolitana,13,Quilicura,13125,254694,0,0,0,6,4,20,25,42,41,128,273,485,661,844,675,305,37
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,5,14,25,36,49,50,97,243,405,473,348,129,21
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,15,18,35,47,106,273,684,1042,894,596,290,35
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,7,33,61,100,263,562,522,416,174,20
Metropolitana,13,San Bernardo,13401,334836,0,0,1,2,6,20,36,65,72,120,150,305,620,819,807,362,23
Metropolitana,13,San Joaquin,13129,103485,0,0,0,2,1,14,22,14,37,40,79,214,499,602,343,178,23
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,22,38,53,83,23,1
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,25,21,25,44,47,72,182,399,469,452,234,15
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,10,7,8,11,4,2,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,5,11,10,13,41,87,234,435,513,377,111,3
Metropolitana,13,Santiago,13101,503147,0,0,1,2,28,95,97,135,157,168,353,882,1541,1567,1420,594,49
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,7,7,3,10,8,36,54,87,77,47,3
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,7,30,36,36,15,0
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,32,46,29,12,6,5,13,54,146,191,145,80,14
Metropolitana,13,Total,,8125072,0,2,13,69,336,964,1035,1284,1599,2311,4260,10456,19514,24369,21759,10164,824
,,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,1,5,10,2,2,1
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,3,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,9,2,1,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,15,8,4,1,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,4,9,14,7,0,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,17,6,1,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,2,4,2,2,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,1,1
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,3,7,13,14,10,4
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,3,4,5,2,6,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,4,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,6,2,1,0,1
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,8,3,7,1,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,0,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,2,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,1,0,0,8,4,6,3,7,10,25,74,140,99,60,5
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,2,5,15,10,4,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,5,8,9,1
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,0,0,2,7,8,9,13,3
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,3,15,22,3,0,1
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,4,4,3,4,1
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,1,0,1,20,15,10,10,17,43,61,194,325,193,139,18
,,,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,3,12,13,40,9
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,9,12,10,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,5,6,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0,1,0
Maule,07,Curico,07301,163626,0,0,0,1,3,3,6,3,12,9,10,9,18,41,141,163,10
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,1,0,0,0,3,17,21,4
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,12,17,16,24,4
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,9,9,15,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,12,2,0,3,13,12,24,2
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,2,4,9,11,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,6,5,43,33,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,4,5,4,2,1
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1,2,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,1,6,6,0
Maule,07,Retiro,07405,21071,0,0,1,0,0,0,0,0,1,0,0,1,0,1,18,27,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,1,5,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,5,12,14,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,3,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,8,6,13,18,19,4
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,6,4,7,4,3,8,8,9,12,3
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,5,10,28,7,2
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,12,21,50,73,62,13
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3,2,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,4,2
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,2,0,4,9,13,17,0
Maule,07,Total,,1131939,0,0,2,4,12,26,51,47,66,160,48,48,111,233,477,533,54
,,,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,6,9,23,43,26,17,4
Nuble,16,Chillan,16101,198624,0,1,0,1,28,119,116,76,33,25,17,15,20,62,58,59,19
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,0,4,16,22,5,4
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,2,7,10,2
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,2,3,4,6,12,12,3,1,8,1,1,0
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,3,7,11,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,1,1,3,2,1
Nuble,16,Niquen,16303,11567,0,0,0,0,0,1,0,1,2,0,0,1,0,4,3,7,1
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0,4,1
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,3,0,0,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0
Nuble,16,Quillon,16107,18777,0,0,0,0,0,8,8,8,1,0,2,2,2,9,6,13,8
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,1,4,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,5,10,9,2,3,3,3,6,9,14,23,2
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,3,0,2,7,9,0
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,6,4,4,0,0,0,2,2,6,7,0
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,3,16,21,3,4,6,2,2,2,0,4,0
Nuble,16,Total,,511551,0,1,0,1,35,168,219,164,74,60,50,39,73,176,163,176,42
,,,,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39,48,4
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,13,0
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,13,16,23,1
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,4,2,2,3,0
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,1
Biobio,08,Chiguayante,08103,91180,0,0,0,0,5,5,9,16,11,10,11,8,6,7,7,22,2
Biobio,08,Concepcion,08101,238092,0,0,1,1,6,28,28,22,21,18,14,19,18,19,82,72,6
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Biobio,08,Coronel,08102,125829,0,0,0,0,1,6,6,4,1,0,5,2,14,14,48,90,5
Biobio,08,Curanilahue,08205,33892,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,1,0
Biobio,08,Florida,08104,11841,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0
Biobio,08,Hualpen,08112,97273,0,0,0,0,3,24,33,27,17,8,2,5,11,9,12,22,2
Biobio,08,Hualqui,08105,26201,0,0,0,0,1,1,2,3,4,9,0,1,2,4,11,7,1
Biobio,08,Laja,08304,23873,0,0,0,1,1,0,3,1,1,1,5,1,17,20,8,7,1
