Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27
Tarapaca,01,Huara,01404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,7.0,8.0,11.0,7.0,8.0,10.0,5.0
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,14.0,11.0,21.0,42.0,104.0,258.0,402.0,501.0,455.0,442.0,454.0,407.0,318.0,138.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,9.0,10.0,10.0,14.0,15.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,57.0,90.0,103.0,60.0,32.0,23.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,96.0,28.0,29.0,23.0,36.0,27.0,19.0,22.0,18.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,30.0,39.0,55.0,81.0,231.0,506.0,725.0,904.0,872.0,859.0,826.0,680.0,589.0,240.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,28.0,31.0,41.0,61.0,109.0,161.0,216.0,310.0,313.0,304.0,355.0,494.0,597.0,688.0,674.0,235.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,3.0,3.0,8.0,17.0,17.0,40.0,54.0,91.0,235.0,283.0,441.0,810.0,975.0,868.0,616.0,203.0
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,45.0,42.0,30.0,13.0,13.0,11.0,7.0,41.0,23.0,8.0
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,18.0,30.0,76.0,45.0,51.0,19.0,19.0,10.0,17.0,38.0,49.0,12.0
Antofagasta,02,Ollague,02202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,18.0,21.0,32.0,30.0,10.0
Antofagasta,02,Sierra Gorda,02103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,3.0,1.0
Antofagasta,02,Taltal,02104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,7.0,9.0,12.0,7.0,4.0
Antofagasta,02,Tocopilla,02301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,7.0,8.0,8.0,4.0,6.0,25.0,49.0,56.0,18.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,40.0,36.0,42.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,35.0,36.0,64.0,106.0,155.0,254.0,397.0,503.0,657.0,640.0,857.0,1366.0,1673.0,1776.0,1494.0,535.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0
Atacama,03,Caldera,03102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,17.0,6.0
Atacama,03,Chanaral,03201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,3.0,0.0
Atacama,03,Copiapo,03101,171766.0,0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,12.0,27.0,27.0,14.0,26.0,57.0,112.0,123.0,148.0,157.0,57.0
Atacama,03,Diego de Almagro,03202,14358.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,4.0,8.0,4.0,4.0,1.0
Atacama,03,Freirina,03303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,5.0,9.0
Atacama,03,Huasco,03304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,5.0,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,1.0,10.0,15.0,14.0,7.0,1.0
Atacama,03,Vallenar,03301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,11.0,9.0,13.0,2.0,6.0,15.0,27.0,54.0,68.0,52.0,41.0
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0
Atacama,03,Total,,314709.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,8.0,10.0,25.0,45.0,53.0,23.0,37.0,85.0,168.0,218.0,269.0,254.0,116.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,7.0,5.0,0.0,5.0,6.0,2.0
Coquimbo,04,Canela,04202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,2.0
Coquimbo,04,Combarbala,04302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,7.0,0.0,1.0
Coquimbo,04,Coquimbo,04102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,1.0,1.0,6.0,7.0,23.0,84.0,85.0,70.0,150.0,141.0,149.0,173.0,207.0,41.0
Coquimbo,04,Illapel,04201,32801.0,0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,6.0,21.0,14.0,18.0,20.0,36.0,10.0
Coquimbo,04,La Higuera,04104,4450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
Coquimbo,04,La Serena,04101,249656.0,0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,3.0,3.0,5.0,17.0,51.0,50.0,76.0,114.0,114.0,130.0,196.0,171.0,71.0
Coquimbo,04,Los Vilos,04203,23374.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,6.0,7.0,12.0,24.0,4.0
Coquimbo,04,Monte Patria,04303,32527.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,25.0,27.0,24.0,45.0,22.0,29.0,8.0
Coquimbo,04,Ovalle,04301,121269.0,0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,5.0,1.0,15.0,32.0,47.0,58.0,114.0,167.0,177.0,143.0,120.0,24.0
Coquimbo,04,Paiguano,04105,4675.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0
Coquimbo,04,Punitaqui,04304,12165.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,4.0,16.0,2.0,7.0,5.0,7.0,0.0
Coquimbo,04,Rio Hurtado,04305,4372.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,2.0
Coquimbo,04,Salamanca,04204,29110.0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,15.0,14.0,3.0,3.0,2.0,1.0
Coquimbo,04,Vicuna,04106,29741.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,5.0,4.0,7.0,2.0,1.0,5.0,0.0
Coquimbo,04,Desconocido Coquimbo,,,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,9.0,7.0,10.0,28.0,14.0,27.0,36.0
Coquimbo,04,Total,,836096.0,0.0,0.0,0.0,0.0,7.0,22.0,19.0,16.0,14.0,17.0,16.0,73.0,198.0,220.0,271.0,495.0,518.0,571.0,602.0,640.0,204.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174.0,0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,13.0,10.0,7.0,19.0,18.0,6.0,5.0,1.0
Valparaiso,05,Cabildo,05402,20663.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,6.0,7.0,16.0,20.0,38.0,46.0,43.0,9.0
Valparaiso,05,Calera,05502,53591.0,0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,7.0,2.0,2.0,7.0,18.0,22.0,21.0,51.0,61.0,85.0,84.0,14.0
Valparaiso,05,Calle Larga,05302,16482.0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,3.0,9.0,29.0,27.0,27.0,24.0,25.0,20.0,7.0
Valparaiso,05,Cartagena,05603,25357.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,12.0,7.0,17.0,11.0,17.0,19.0,20.0,15.0,5.0
Valparaiso,05,Casablanca,05102,29170.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,9.0,13.0,21.0,24.0,21.0,26.0,5.0
Valparaiso,05,Catemu,05702,15213.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,14.0,15.0,14.0,3.0,18.0,1.0
Valparaiso,05,Concon,05103,45889.0,0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,11.0,6.0,9.0,16.0,19.0,27.0,52.0,45.0,52.0,75.0,28.0
Valparaiso,05,El Quisco,05604,17742.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,5.0,9.0,14.0,15.0,15.0,18.0,11.0,7.0,9.0,6.0
Valparaiso,05,El Tabo,05605,14338.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,3.0,4.0,7.0,6.0,16.0,26.0,17.0,19.0,21.0,32.0,13.0
Valparaiso,05,Hijuelas,05503,19099.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,15.0,13.0,14.0,20.0,21.0,5.0
Valparaiso,05,Isla de Pascua,05201,8277.0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Juan Fernandez,05104,1033.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,La Cruz,05504,25321.0,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,8.0,7.0,4.0,5.0,13.0,15.0,11.0,13.0,22.0,5.0
Valparaiso,05,La Ligua,05401,37739.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,10.0,17.0,26.0,33.0,52.0,34.0,37.0,5.0
Valparaiso,05,Limache,05802,49931.0,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,6.0,1.0,7.0,25.0,31.0,25.0,37.0,83.0,99.0,110.0,73.0,36.0
Valparaiso,05,Llaillay,05703,26533.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,29.0,23.0,25.0,35.0,24.0,33.0,26.0,10.0
Valparaiso,05,Los Andes,05301,68093.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,10.0,21.0,57.0,84.0,94.0,140.0,117.0,113.0,86.0,33.0
Valparaiso,05,Nogales,05506,23490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,6.0,11.0,17.0,19.0,12.0,2.0
Valparaiso,05,Olmue,05803,19266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,11.0,7.0,14.0,20.0,14.0,7.0,4.0
Valparaiso,05,Panquehue,05704,7633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,4.0,15.0,8.0,10.0,8.0,0.0
Valparaiso,05,Papudo,05403,6201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,13.0,16.0,12.0,10.0,6.0,1.0
Valparaiso,05,Petorca,05404,10558.0,0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,4.0,5.0,12.0,12.0,0.0
Valparaiso,05,Puchuncavi,05105,20071.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,7.0,30.0,25.0,24.0,19.0,4.0
Valparaiso,05,Putaendo,05705,17645.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,7.0,7.0,7.0,14.0,29.0,27.0,27.0,28.0,13.0
Valparaiso,05,Quillota,05501,97572.0,0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,8.0,1.0,5.0,3.0,17.0,20.0,47.0,82.0,193.0,193.0,218.0,181.0,67.0
Valparaiso,05,Quilpue,05801,167085.0,0,0.0,0.0,1.0,3.0,3.0,9.0,6.0,5.0,5.0,12.0,19.0,48.0,76.0,79.0,109.0,158.0,156.0,216.0,166.0,68.0
Valparaiso,05,Quintero,05107,36135.0,0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,6.0,2.0,3.0,24.0,23.0,28.0,39.0,49.0,39.0,44.0,39.0,5.0
Valparaiso,05,Rinconada,05303,11263.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,14.0,18.0,15.0,19.0,20.0,23.0,15.0,7.0
Valparaiso,05,San Antonio,05601,96761.0,0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,22.0,38.0,69.0,61.0,102.0,95.0,137.0,142.0,123.0,98.0,87.0,22.0
Valparaiso,05,San Esteban,05304,20643.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,7.0,3.0,10.0,16.0,32.0,19.0,20.0,28.0,11.0
Valparaiso,05,San Felipe,05701,83494.0,0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,6.0,19.0,60.0,70.0,116.0,182.0,177.0,114.0,120.0,38.0
Valparaiso,05,Santa Maria,05706,16367.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,3.0,5.0,8.0,13.0,18.0,30.0,34.0,20.0,9.0
Valparaiso,05,Santo Domingo,05606,11934.0,0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,4.0,4.0,4.0,5.0,4.0,11.0,6.0,9.0,31.0,21.0,11.0,7.0,6.0
Valparaiso,05,Valparaiso,05101,315732.0,0,0.0,0.0,1.0,2.0,9.0,16.0,14.0,18.0,16.0,26.0,83.0,114.0,149.0,238.0,326.0,493.0,533.0,509.0,351.0,140.0
Valparaiso,05,Villa Alemana,05804,139310.0,0,0.0,0.0,0.0,1.0,8.0,4.0,3.0,0.0,1.0,5.0,30.0,40.0,50.0,71.0,122.0,182.0,185.0,206.0,122.0,68.0
Valparaiso,05,Vina del Mar,05109,361371.0,0,0.0,0.0,0.0,6.0,21.0,29.0,22.0,13.0,22.0,26.0,79.0,141.0,203.0,233.0,297.0,404.0,390.0,447.0,382.0,101.0
Valparaiso,05,Zapallar,05405,7994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,18.0,11.0,3.0
Valparaiso,05,Desconocido Valparaiso,,,0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,11.0,7.0,6.0,36.0,31.0,38.0,67.0,65.0,87.0
Valparaiso,05,Total,,1960170.0,0.0,0.0,2.0,4.0,15.0,76.0,111.0,106.0,90.0,109.0,161.0,380.0,640.0,1007.0,1265.0,1765.0,2631.0,2631.0,2750.0,2278.0,839.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,8.0,15.0,25.0,15.0,18.0,7.0
Metropolitana,13,Buin,13402,109641.0,0,0.0,0.0,0.0,0.0,5.0,17.0,10.0,15.0,18.0,19.0,62.0,136.0,189.0,228.0,215.0,283.0,267.0,203.0,156.0,39.0
Metropolitana,13,Calera de Tango,13403,28525.0,0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,19.0,32.0,36.0,69.0,69.0,75.0,54.0,74.0,11.0
Metropolitana,13,Cerrillos,13102,88956.0,0,0.0,1.0,3.0,1.0,4.0,11.0,14.0,20.0,21.0,68.0,226.0,204.0,276.0,314.0,273.0,348.0,335.0,236.0,174.0,44.0
Metropolitana,13,Cerro Navia,13103,142465.0,0,0.0,0.0,2.0,10.0,16.0,15.0,14.0,37.0,50.0,108.0,268.0,570.0,682.0,724.0,754.0,761.0,636.0,540.0,298.0,96.0
Metropolitana,13,Colina,13301,180353.0,0,0.0,1.0,3.0,7.0,28.0,16.0,25.0,18.0,22.0,36.0,134.0,370.0,537.0,609.0,615.0,604.0,416.0,332.0,242.0,81.0
Metropolitana,13,Conchali,13104,139195.0,0,0.0,0.0,2.0,2.0,17.0,14.0,19.0,40.0,73.0,133.0,380.0,632.0,713.0,666.0,644.0,647.0,558.0,460.0,304.0,98.0
Metropolitana,13,Curacavi,13503,36430.0,0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,18.0,40.0,70.0,95.0,139.0,105.0,102.0,69.0,55.0,23.0
Metropolitana,13,El Bosque,13105,172000.0,0,0.0,0.0,0.0,1.0,14.0,23.0,34.0,52.0,47.0,88.0,223.0,404.0,552.0,549.0,748.0,840.0,716.0,557.0,428.0,117.0
Metropolitana,13,El Monte,13602,40014.0,0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,3.0,7.0,17.0,39.0,74.0,142.0,101.0,124.0,128.0,152.0,96.0,34.0
Metropolitana,13,Estacion Central,13106,206792.0,0,0.0,0.0,2.0,3.0,11.0,28.0,34.0,40.0,82.0,170.0,378.0,567.0,670.0,675.0,740.0,698.0,565.0,439.0,300.0,93.0
Metropolitana,13,Huechuraba,13107,112528.0,0,0.0,0.0,0.0,5.0,21.0,10.0,19.0,20.0,34.0,57.0,201.0,372.0,500.0,450.0,421.0,390.0,284.0,302.0,157.0,48.0
Metropolitana,13,Independencia,13108,142065.0,0,0.0,0.0,0.0,4.0,16.0,10.0,26.0,50.0,146.0,308.0,570.0,786.0,773.0,766.0,729.0,568.0,444.0,324.0,195.0,67.0
Metropolitana,13,Isla de Maipo,13603,40171.0,0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,4.0,13.0,25.0,37.0,70.0,89.0,98.0,81.0,76.0,75.0,19.0
Metropolitana,13,La Cisterna,13109,100434.0,0,0.0,0.0,0.0,3.0,10.0,13.0,20.0,18.0,28.0,64.0,121.0,241.0,328.0,306.0,425.0,413.0,312.0,278.0,162.0,43.0
Metropolitana,13,La Florida,13110,402433.0,0,0.0,1.0,2.0,12.0,31.0,59.0,65.0,78.0,106.0,205.0,590.0,1025.0,1533.0,1721.0,1633.0,1679.0,1185.0,1066.0,777.0,198.0
Metropolitana,13,La Granja,13111,122557.0,0,0.0,0.0,0.0,1.0,6.0,16.0,35.0,22.0,21.0,74.0,269.0,615.0,917.0,1024.0,802.0,816.0,636.0,520.0,321.0,134.0
Metropolitana,13,La Pintana,13112,189335.0,0,0.0,1.0,1.0,3.0,10.0,21.0,35.0,50.0,94.0,156.0,340.0,721.0,898.0,1264.0,1362.0,1369.0,931.0,695.0,475.0,142.0
Metropolitana,13,La Reina,13113,100252.0,0,0.0,0.0,0.0,12.0,15.0,12.0,18.0,8.0,13.0,41.0,75.0,125.0,221.0,305.0,254.0,239.0,220.0,180.0,125.0,49.0
Metropolitana,13,Lampa,13302,126898.0,0,0.0,0.0,0.0,0.0,9.0,13.0,15.0,14.0,18.0,51.0,138.0,294.0,348.0,398.0,381.0,439.0,368.0,249.0,173.0,54.0
Metropolitana,13,Las Condes,13114,330759.0,0,1.0,1.0,18.0,60.0,128.0,69.0,42.0,37.0,34.0,73.0,242.0,490.0,693.0,749.0,680.0,566.0,492.0,364.0,255.0,89.0
Metropolitana,13,Lo Barnechea,13115,124076.0,0,0.0,0.0,2.0,14.0,55.0,30.0,23.0,37.0,40.0,66.0,154.0,265.0,400.0,413.0,363.0,361.0,304.0,127.0,94.0,27.0
Metropolitana,13,Lo Espejo,13116,103865.0,0,0.0,1.0,0.0,1.0,5.0,9.0,25.0,30.0,21.0,69.0,166.0,345.0,430.0,380.0,522.0,561.0,394.0,360.0,250.0,67.0
Metropolitana,13,Lo Prado,13117,104403.0,0,0.0,0.0,0.0,3.0,6.0,21.0,16.0,24.0,31.0,105.0,196.0,351.0,496.0,505.0,611.0,526.0,481.0,384.0,230.0,69.0
Metropolitana,13,Macul,13118,134635.0,0,0.0,0.0,1.0,3.0,17.0,23.0,20.0,14.0,23.0,79.0,191.0,437.0,533.0,634.0,550.0,629.0,458.0,374.0,235.0,63.0
Metropolitana,13,Maipu,13119,578605.0,0,0.0,0.0,1.0,13.0,50.0,73.0,83.0,96.0,117.0,156.0,427.0,902.0,1323.0,1559.0,1683.0,1827.0,1632.0,1232.0,859.0,273.0
Metropolitana,13,Maria Pinto,13504,14926.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,18.0,24.0,36.0,37.0,39.0,27.0,28.0,45.0,11.0
Metropolitana,13,Melipilla,13501,141612.0,0,0.0,0.0,1.0,1.0,6.0,5.0,5.0,8.0,24.0,37.0,85.0,105.0,212.0,350.0,481.0,470.0,410.0,437.0,317.0,97.0
Metropolitana,13,Nunoa,13120,250192.0,0,0.0,1.0,1.0,27.0,55.0,43.0,49.0,47.0,67.0,71.0,153.0,364.0,534.0,750.0,659.0,669.0,559.0,422.0,281.0,80.0
Metropolitana,13,Padre Hurtado,13604,74188.0,0,0.0,0.0,1.0,0.0,5.0,10.0,5.0,13.0,10.0,16.0,60.0,98.0,170.0,232.0,232.0,275.0,233.0,181.0,149.0,34.0
Metropolitana,13,Paine,13404,82766.0,0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,8.0,3.0,6.0,29.0,83.0,85.0,132.0,152.0,271.0,235.0,202.0,187.0,70.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,0,0.0,0.0,0.0,3.0,6.0,15.0,25.0,47.0,32.0,72.0,180.0,364.0,426.0,386.0,506.0,574.0,429.0,334.0,200.0,78.0
Metropolitana,13,Penaflor,13605,101058.0,0,0.0,1.0,2.0,5.0,3.0,9.0,6.0,9.0,15.0,28.0,58.0,109.0,206.0,308.0,310.0,341.0,346.0,325.0,199.0,45.0
Metropolitana,13,Penalolen,13122,266798.0,0,0.0,1.0,2.0,9.0,30.0,36.0,41.0,53.0,71.0,123.0,398.0,969.0,1322.0,1634.0,1570.0,1422.0,1096.0,821.0,526.0,176.0
Metropolitana,13,Pirque,13202,30433.0,0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,17.0,38.0,58.0,71.0,161.0,150.0,117.0,113.0,84.0,75.0,28.0
