Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,27,27,14,25,58,109,96,21
Atacama,03,Diego de Almagro,03202,14358,0,0,1,0,0,0,1,0,0,0,0,1,1,4,3,6,6,8,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,2,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,10,2,0,1,7,9,1
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,11,9,13,2,6,15,25,36,11
Atacama,03,Desconocido Atacama,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0
Atacama,03,Total,,314709,0,0,1,0,1,0,3,3,8,10,25,45,55,23,37,86,163,162,37
,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,7,3,3,6,5,0,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,3,2,6
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,1,4,7,16,78,81,61,139,135,112,33
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,1,4,19,14,11,4
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
Coquimbo,04,La Serena,04101,249656,0,0,0,0,0,3,6,4,2,3,5,13,50,47,66,97,108,92,47
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,5,5,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,6,18,25,24,22,24,6
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,2,2,4,2,0,5,1,13,25,43,56,113,159,140,23
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,6,0,4,14,2,6,1
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,6,1,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,2,2,5,14,13,3,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,1,3,5,3,4,4,7,0,0
Coquimbo,04,Desconocido Coquimbo,,,0,0,0,0,0,0,0,1,0,1,1,3,2,4,9,10,11,48,22
Coquimbo,04,Total,,836096,0,0,0,0,6,21,19,16,12,15,16,62,185,208,247,458,495,449,143
,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,13,10,8,16,14,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,3,6,7,16,15,15,5
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,2,7,18,20,22,46,35,13
Valparaiso,05,Calle Larga,05302,16482,0,0,1,0,0,0,0,2,3,1,0,4,3,9,28,26,27,12,6
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,1,5,5,12,7,16,10,11,12,1
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,2,0,1,1,0,0,0,9,9,8,13,21,21,6
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,13,15,11,3
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,3,6,1,1,0,11,6,9,16,19,22,50,22,3
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,9,14,13,16,16,3,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,7,6,15,24,18,8,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10,15,10,11,3
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,8,7,3,5,11,15,7,4
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,2,10,17,26,28,35,4
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,24,31,23,36,81,73,29
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,5,28,23,23,30,18,2
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,9,21,56,81,91,130,67,19
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,11,11,4
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,1,1,0,0,0,2,5,11,7,11,13,2
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,4,14,3,6
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,13,15,6,5
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,4,4,8,3,2,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,8,26,17,6
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,6,7,7,13,27,21,3
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,3,7,3,7,1,5,3,17,19,44,80,177,132,38
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,5,5,12,18,47,75,80,106,143,104,19
Valparaiso,05,Quintero,05107,36135,0,0,1,0,0,4,1,1,0,6,2,3,23,24,28,37,44,32,6
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,2,13,17,16,20,15,4
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,6,14,11,22,38,68,60,96,91,136,129,70,8
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,7,3,10,15,31,13,5
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,1,2,6,17,60,69,110,179,138,20
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,0,4,15,2,5,8,13,17,25,7
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,1,0,6,4,4,4,5,4,11,6,8,28,14,1
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,9,16,14,18,16,26,82,112,143,225,320,487,399,108
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,4,3,0,1,5,30,40,47,62,117,169,124,21
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,28,22,13,21,25,78,137,194,222,285,386,256,59
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
Valparaiso,05,Desconocido Valparaiso,,,0,0,0,0,0,2,7,7,2,3,1,5,31,26,37,88,86,99,39
Valparaiso,05,Total,,1960170,0,0,2,4,15,75,113,106,89,107,161,380,645,996,1241,1763,2534,1861,459
,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,8,14,19,2
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,10,15,18,19,60,135,188,227,212,275,208,39
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,7,19,30,34,69,65,44,9
Metropolitana,13,Cerrillos,13102,88956,0,0,1,3,1,6,11,14,20,21,68,226,201,274,309,266,338,246,31
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,1,10,15,14,14,37,48,109,265,556,662,698,717,690,416,61
Metropolitana,13,Colina,13301,180353,0,0,1,3,7,28,16,25,18,22,35,133,360,530,595,604,576,313,69
Metropolitana,13,Conchali,13104,139195,0,0,0,2,2,17,14,19,39,70,132,373,612,691,649,627,601,385,82
Metropolitana,13,Curacavi,13503,36430,0,0,1,0,1,2,5,5,4,1,4,18,40,68,94,136,101,77,27
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,2,14,22,31,50,47,86,215,394,541,536,738,810,515,99
Metropolitana,13,El Monte,13602,40014,0,0,0,1,1,1,1,7,4,3,7,16,38,72,134,93,94,57,55
Metropolitana,13,Estacion Central,13106,206792,0,0,0,1,3,11,28,34,40,79,168,363,559,663,669,733,683,430,83
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,5,20,10,19,19,34,56,198,363,493,437,408,369,165,49
Metropolitana,13,Independencia,13108,142065,0,0,0,0,4,16,9,26,49,144,306,566,775,761,745,707,535,313,59
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,4,11,24,32,68,83,77,46,6
Metropolitana,13,La Cisterna,13109,100434,0,0,1,0,1,10,14,19,18,26,62,120,234,324,303,417,406,225,56
Metropolitana,13,La Florida,13110,402433,0,0,1,2,12,31,59,62,70,105,199,572,986,1478,1686,1607,1610,862,173
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,6,15,35,21,22,71,263,614,895,1013,783,792,468,103
Metropolitana,13,La Pintana,13112,189335,0,0,1,1,3,9,21,33,48,94,152,315,649,863,1236,1348,1318,684,100
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,13,18,8,14,40,75,125,219,297,243,232,176,27
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,9,13,16,14,18,50,135,283,340,391,371,406,256,38
Metropolitana,13,Las Condes,13114,330759,0,1,0,18,59,125,68,41,36,35,75,242,481,667,733,657,522,349,83
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,54,30,21,37,38,65,149,257,391,397,269,266,156,31
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,5,9,24,29,23,64,163,343,424,369,513,543,264,61
Metropolitana,13,Lo Prado,13117,104403,0,0,0,0,3,5,20,16,24,31,104,191,341,473,495,582,430,276,41
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,16,23,20,14,23,78,183,428,522,625,545,605,338,77
Metropolitana,13,Maipu,13119,578605,0,0,0,0,14,50,71,82,96,117,154,419,890,1285,1525,1641,1704,1120,193
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,2,18,23,34,34,31,16,5
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,5,5,5,8,24,36,82,100,203,338,464,432,274,66
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,54,42,48,46,66,71,150,357,529,733,640,633,377,119
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,10,5,13,10,16,59,95,163,219,219,212,139,25
Metropolitana,13,Paine,13404,82766,0,0,0,1,0,2,0,4,7,3,5,28,81,84,128,150,261,187,30
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,3,6,15,24,45,33,71,175,357,414,358,486,548,290,59
Metropolitana,13,Penaflor,13605,101058,0,0,1,1,5,3,9,6,9,15,28,52,105,201,299,291,272,208,39
Metropolitana,13,Penalolen,13122,266798,0,0,1,2,9,29,34,39,52,67,121,393,942,1289,1594,1524,1368,772,132
Metropolitana,13,Pirque,13202,30433,0,0,0,1,3,1,3,1,5,5,17,38,58,70,159,150,110,87,17
Metropolitana,13,Providencia,13123,157749,0,0,0,3,28,64,21,22,32,39,38,94,244,318,391,421,269,174,49
Metropolitana,13,Pudahuel,13124,253139,0,0,1,1,3,20,26,37,41,45,133,348,659,981,1255,1201,1073,572,99
Metropolitana,13,Puente Alto,13201,645909,0,0,2,1,8,60,99,169,187,309,367,839,1618,2160,2538,2547,2720,1744,314
Metropolitana,13,Quilicura,13125,254694,0,0,0,3,3,20,29,44,45,135,312,542,798,933,874,1002,1029,647,130
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,6,14,25,40,51,54,99,262,449,569,692,714,603,368,93
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,7,14,18,36,45,114,282,725,1149,1092,967,848,724,418,104
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,8,35,66,108,289,611,708,818,744,783,490,84
Metropolitana,13,San Bernardo,13401,334836,0,0,0,1,6,21,40,66,77,122,159,332,648,875,1043,1286,1359,879,141
Metropolitana,13,San Joaquin,13129,103485,0,0,0,0,1,14,22,13,37,42,82,227,503,637,435,478,556,351,51
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,24,45,54,94,67,74,47,13
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,27,22,27,46,48,78,200,434,500,607,583,620,347,102
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,10,7,8,16,16,21,22,5,2
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,4,11,11,17,44,91,245,451,549,531,451,540,311,61
Metropolitana,13,Santiago,13101,503147,0,0,2,2,28,100,104,145,165,174,382,939,1663,1650,1791,1574,1366,870,168
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,8,7,3,10,10,41,58,92,117,148,165,132,31
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,6,4,10,33,40,56,53,90,50,3
Metropolitana,13,Vitacura,13132,96774,0,1,0,6,32,48,29,14,6,5,13,56,153,204,177,139,129,79,17
Metropolitana,13,Desconocido Metropolitana,,,0,0,0,0,8,19,21,58,249,420,644,854,1954,2947,3095,2360,2162,2156,866
Metropolitana,13,Total,,8125072,0,2,14,62,346,1019,1114,1431,1938,2897,5292,12291,23302,30188,33628,32972,32213,20398,4474
,,,,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,4,6,15,3
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,2,1,0,0,0,0,1,5,13,8,7,13,6,1
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,0,0,1,3,7,10,9,7,1
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,10,8,2,5,4,2
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,15,9,13,3,4,7,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,1,5,9,15,14,9,15,14,10
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,21,24,21,26,29,9
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,2,4,3,5,7,6,3
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,2,0,1,6,12,5
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,10,4,6,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,4,9,18,23,29,46,59,15
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,5,8,1
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,8,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,3,4,6,15,21,25,12,2
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,11,5,9,7,10,5
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,6,2,6,1,11,12,1
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,8,4,12,5,11,10,4
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,4,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,12,7,1
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,3,2,2,2,1,1,1
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,3,8,3,2,5,2,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,1,4,7,4,0,3,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,6,10,3,1
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,2,4,1
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,1,0,0,8,4,6,3,7,11,26,84,167,211,268,396,399,130
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,3,7,19,30,22,42,41,15
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,5,13,20,13,30,9
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,1,0,2,7,8,23,16,21,22,7
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,3,16,24,16,12,19,21,4
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,5,4,9,7,18,15,4
Del Libertador General Bernardo O’Higgins,06,Desconocido Del Libertador General Bernardo O’Higgins,,,0,0,0,0,0,0,0,0,1,0,0,0,2,4,13,0,21,32,49
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,2,0,1,21,15,10,11,18,44,65,215,386,484,519,772,817,284
,,,,,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,6,2,1,6,12,15,52,52,36,28
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,9,3,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,9,12,15,11,22,4
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,5,6,18,20,4
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0,1,0,1,1
Maule,07,Curico,07301,163626,0,0,0,1,2,3,6,3,12,10,10,12,20,44,149,191,280,219,36
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,1,0,0,0,3,15,30,28,18,7
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,5,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,12,17,18,30,41,50,26
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,12,11,23,27,40,13
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,13,2,0,3,13,13,30,31,25,6
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,2,4,9,21,24,16,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,6,5,41,55,33,22,1
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,4,5,4,5,6,3,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,7,1,9,11,11,5
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,4,3,4,1
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,1,7,6,7,10,0
Maule,07,Retiro,07405,21071,0,0,1,0,0,0,0,0,1,0,0,1,0,1,17,43,17,18,1
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,1,8,3,3,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,8,12,19,25,25,2
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,7,15,9,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,7,1,8,6,14,18,20,38,38,5
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,7,4,7,4,3,7,8,9,21,51,39,2
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,5,10,28,7,18,7,1
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,12,22,52,73,84,163,164,31
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,7,11,18,5
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,9,18,8,2
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,2,0,4,9,12,26,15,15,3
Maule,07,Desconocido Maule,,,0,0,0,0,0,1,0,0,1,0,2,0,10,1,2,13,10,13,6
Maule,07,Total,,1131939,0,0,2,4,11,27,51,48,67,164,50,52,129,247,488,744,971,865,192
,,,,,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,9,27,10,7,7,7,9,23,44,25,23,22,12,11
Nuble,16,Chillan,16101,198624,0,1,0,1,28,119,117,76,33,25,17,16,21,62,58,67,112,95,83
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,0,4,15,22,11,30,17,14
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,2,6,10,9,8,11
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,2,3,4,6,12,12,3,1,8,1,1,5,9,6
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,3,7,15,4,13,5
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,2,2,6,1
