Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,0,5,9,16,42,42,30,13,9,1,0
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,76,45,51,19,15,1,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,1,0,0,1,4,1,0,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,5,0,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,3,12,6,6,1,0
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,8,6,1,2,0
Antofagasta,02,Total,,691854,0,1,2,2,4,35,35,63,100,151,246,387,483,629,542,399,108,0
,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,1,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,26,27,14,25,54,41,0
Atacama,03,Diego de Almagro,03202,14358,0,0,1,0,0,0,1,0,0,0,0,1,1,4,3,3,1,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,10,1,0,1,2,0
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,11,9,13,2,6,14,15,0
Atacama,03,Total,,314709,0,0,1,0,1,0,3,3,8,10,25,44,53,22,36,78,63,0
,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,7,3,2,4,1,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,3,0
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,1,4,7,14,78,78,54,90,16,0
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,1,3,16,4,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,1,3,6,4,2,2,5,13,49,42,61,52,20,0
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,0,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,6,18,23,18,2,0
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,2,2,4,2,0,1,1,12,25,43,51,84,30,0
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,6,0,4,10,1,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,4,2,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,1,2,5,14,5,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,1,2,5,3,4,4,0,0
Coquimbo,04,Total,,836096,0,0,0,0,7,21,19,15,12,9,15,55,181,196,217,308,84,0
,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,13,11,7,5,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,2,6,4,10,2,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,2,7,17,21,16,9,0
Valparaiso,05,Calle Larga,05302,16482,0,0,1,0,0,0,0,2,3,1,0,4,3,8,28,22,9,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,1,5,5,12,7,15,11,3,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,2,0,1,1,0,0,0,9,8,9,7,6,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,12,4,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,6,9,16,17,15,8,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,9,13,14,16,1,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,7,6,15,17,8,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10,14,1,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,7,6,3,3,7,1,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,0,9,10,21,3,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,23,31,21,30,10,1
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,5,27,22,16,10,0
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,8,19,54,76,70,37,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,5,2,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,1,1,0,0,0,3,5,11,3,1,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,1,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,0,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,4,4,6,0,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,7,3,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,6,7,6,12,9,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,4,7,3,7,1,5,3,16,17,34,31,9,0
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,4,5,12,17,45,73,74,56,13,0
Valparaiso,05,Quintero,05107,36135,0,0,1,0,0,3,1,0,0,6,2,3,21,23,26,30,6,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,1,0,0,0,2,13,17,14,3,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,10,22,38,66,60,98,86,106,33,0
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,7,3,9,11,8,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,4,15,57,62,79,41,0
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,0,4,12,2,5,6,11,4,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,2,0,6,4,4,4,5,4,10,6,7,3,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,9,17,13,18,14,26,81,110,135,204,211,81,0
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,5,28,38,50,51,80,21,0
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,27,21,11,19,23,75,131,186,206,193,73,0
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Valparaiso,05,Total,,1960170,0,0,2,4,15,73,104,96,84,98,156,359,588,945,1098,1164,428,1
,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,1,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,9,14,17,18,59,129,180,208,122,37,0
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,5,17,29,28,39,12,0
Metropolitana,13,Cerrillos,13102,88956,0,0,1,1,1,5,10,14,20,21,62,211,192,260,277,130,26,0
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,10,13,13,13,37,44,86,236,499,503,356,259,80,0
Metropolitana,13,Colina,13301,180353,0,0,1,4,6,28,15,19,16,20,33,123,328,456,463,356,118,0
Metropolitana,13,Conchali,13104,139195,0,0,0,1,1,16,12,18,35,68,126,342,541,566,417,297,102,0
Metropolitana,13,Curacavi,13503,36430,0,0,1,0,1,2,4,4,4,0,4,18,40,66,92,119,47,0
Metropolitana,13,El Bosque,13105,172000,0,0,0,1,2,14,21,28,47,45,81,206,367,522,472,491,121,0
Metropolitana,13,El Monte,13602,40014,0,0,0,0,1,1,1,7,4,2,8,15,38,57,75,31,12,0
Metropolitana,13,Estacion Central,13106,206792,0,0,0,2,3,12,26,33,40,77,163,346,527,614,567,437,96,0
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,5,18,9,16,17,31,48,184,327,438,281,162,44,0
Metropolitana,13,Independencia,13108,142065,0,0,0,1,5,15,9,24,44,143,294,515,686,703,652,455,84,0
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,4,9,20,25,38,20,6,0
Metropolitana,13,La Cisterna,13109,100434,0,0,1,0,1,10,12,17,18,24,59,113,218,307,272,277,62,0
Metropolitana,13,La Florida,13110,402433,0,0,1,3,12,28,56,60,67,96,183,520,923,1397,1437,996,252,0
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,7,13,31,20,17,66,250,570,849,865,506,99,0
Metropolitana,13,La Pintana,13112,189335,0,0,1,0,3,9,18,30,45,87,146,290,601,818,1036,785,86,0
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,12,16,7,11,37,71,118,197,271,161,26,0
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,14,12,18,41,116,262,292,265,169,47,0
Metropolitana,13,Las Condes,13114,330759,0,1,0,19,59,122,65,37,34,28,66,225,457,632,677,483,129,0
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,52,27,18,36,36,64,136,239,300,318,167,66,0
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,5,8,24,28,22,58,154,324,408,321,310,80,0
Metropolitana,13,Lo Prado,13117,104403,0,0,0,1,3,5,19,14,21,29,100,172,317,388,267,192,38,0
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,15,21,17,14,20,77,176,408,501,527,303,66,0
Metropolitana,13,Maipu,13119,578605,0,0,0,0,13,49,71,77,87,114,144,367,779,1181,1277,897,217,0
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,1,16,22,26,15,0,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,4,5,5,8,22,33,78,91,175,254,278,105,0
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,53,38,47,45,65,65,142,344,507,669,416,113,0
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,12,9,16,51,91,131,135,67,16,0
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,3,0,4,4,3,5,25,76,80,104,58,26,0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,4,4,15,23,45,32,71,162,332,389,294,251,62,0
Metropolitana,13,Penaflor,13605,101058,0,0,1,1,5,3,9,5,9,14,26,42,97,151,174,111,26,0
Metropolitana,13,Penalolen,13122,266798,0,0,1,3,9,26,34,38,50,65,119,374,892,1267,1455,1039,180,0
Metropolitana,13,Pirque,13202,30433,0,0,0,0,3,1,4,1,5,5,16,33,44,63,130,76,7,0
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,61,20,22,30,34,34,89,224,288,358,296,54,0
Metropolitana,13,Pudahuel,13124,253139,0,0,2,1,2,19,23,31,36,43,127,306,594,813,670,432,102,0
Metropolitana,13,Puente Alto,13201,645909,0,0,1,2,9,59,98,164,185,296,342,757,1494,1978,2145,1309,304,0
Metropolitana,13,Quilicura,13125,254694,0,0,0,6,4,20,25,42,41,129,277,487,662,847,731,477,139,0
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,5,14,25,36,49,50,97,244,406,483,376,233,68,0
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,15,18,35,47,106,272,685,1047,924,674,408,122,0
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,7,33,61,100,264,567,559,502,313,76,0
Metropolitana,13,San Bernardo,13401,334836,0,0,1,2,6,20,37,65,73,120,150,308,625,826,885,588,139,0
Metropolitana,13,San Joaquin,13129,103485,0,0,0,3,1,14,22,13,37,40,79,215,493,606,362,284,86,0
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,22,38,53,87,52,13,0
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,24,21,25,44,47,73,184,397,481,497,381,109,0
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,10,7,8,11,4,6,1,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,5,11,10,13,41,87,235,433,514,432,271,54,0
Metropolitana,13,Santiago,13101,503147,0,0,1,2,28,95,98,138,157,169,354,889,1543,1573,1562,957,220,0
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,7,7,3,10,8,36,54,88,85,88,42,0
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,7,30,35,36,18,4,0
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,32,46,29,12,6,5,13,56,146,195,158,110,44,0
Metropolitana,13,Total,,8125072,0,2,14,72,337,964,1038,1286,1606,2345,4352,10558,19675,24749,24267,16699,4066,0
,,,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,1,5,12,6,5,1,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4,4,1,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,10,3,1,0,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,15,8,6,1,0,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,5,9,15,11,3,1,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,19,16,2,1,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,2,4,3,4,0,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,1,2,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,3,7,16,17,17,13,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,3,4,5,11,6,1,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,10,2,4,0,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,6,2,6,0,1,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,8,3,8,2,0,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,2,0,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,5,0,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,1,0,0,8,4,6,3,7,10,25,77,145,130,94,37,0
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,2,6,15,12,5,0,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,5,9,10,4,0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,0,0,2,7,8,13,13,10,0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,3,15,22,3,0,2,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,5,3,4,5,2,0
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,1,0,1,20,15,10,10,17,42,62,199,340,284,202,77,0
,,,,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,3,12,14,46,54,0
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,9,12,13,1,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,5,6,3,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0,1,0,0
Maule,07,Curico,07301,163626,0,0,0,1,3,3,6,3,12,9,10,10,19,42,144,180,92,0
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,1,0,0,0,3,17,22,20,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,12,17,18,26,4,0
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,9,10,19,0,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,12,2,0,3,13,12,26,12,0
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,2,4,9,17,7,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,6,5,42,44,0,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,4,5,4,3,3,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1,2,0,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,1,7,5,0,0
Maule,07,Retiro,07405,21071,0,0,1,0,0,0,0,0,1,0,0,1,0,1,17,38,0,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,1,7,1,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,5,12,18,5,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,4,3,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,8,6,13,18,21,12,0
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,6,4,7,4,3,8,8,10,18,12,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,5,10,28,7,6,0
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,12,21,50,71,77,41,0
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,3,4,5,3,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,6,4,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,2,0,4,9,13,17,2,0
Maule,07,Total,,1131939,0,0,2,4,12,26,51,47,66,160,48,49,112,234,484,631,288,0
,,,,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,6,9,23,43,26,18,11,0
Nuble,16,Chillan,16101,198624,0,1,0,1,28,119,116,76,33,25,17,15,20,62,58,68,62,0
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,0,4,16,22,6,11,0
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,1,2,7,10,5,0
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,2,3,4,6,12,12,3,1,8,1,1,1,0
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,3,7,11,2,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,2,1,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,1,0,1,2,0,0,1,0,4,3,9,7,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0,4,2,0
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,3,0,2,0,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0
Nuble,16,Quillon,16107,18777,0,0,0,0,0,8,8,8,1,0,2,2,2,9,6,13,17,0
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,1,4,0,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,5,10,9,2,3,3,3,7,9,15,28,17,0
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,3,0,2,7,9,3,0
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,6,5,4,0,0,0,2,2,6,7,1,0
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,3,16,21,3,4,6,2,2,2,0,7,1,0
Nuble,16,Total,,511551,0,1,0,1,35,168,219,165,74,60,50,39,74,176,164,199,142,0
,,,,,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,49,22,0
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,13,1,0
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,13,16,23,8,0
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,4,2,3,3,3,0
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,6,0
