Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29,SE30,SE31
Atacama,03,Chanaral,03201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,2.0,4.0,9.0,6.0,4.0,0.0
Atacama,03,Copiapo,03101,171766.0,0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,12.0,27.0,27.0,14.0,26.0,57.0,113.0,121.0,146.0,153.0,174.0,197.0,255.0,201.0,0.0
Atacama,03,Diego de Almagro,03202,14358.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,4.0,9.0,4.0,2.0,10.0,4.0,1.0,2.0,0.0
Atacama,03,Freirina,03303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,10.0,24.0,3.0,1.0,0.0
Atacama,03,Huasco,03304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,6.0,3.0,0.0,1.0,3.0,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,1.0,10.0,15.0,11.0,5.0,15.0,22.0,21.0,21.0,0.0
Atacama,03,Vallenar,03301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,12.0,10.0,13.0,2.0,6.0,15.0,27.0,54.0,66.0,53.0,74.0,60.0,31.0,19.0,0.0
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,1.0,1.0,0.0
Atacama,03,Total,,314709.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,8.0,9.0,26.0,46.0,53.0,23.0,37.0,85.0,169.0,217.0,263.0,240.0,300.0,325.0,338.0,261.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,7.0,6.0,0.0,5.0,7.0,4.0,3.0,3.0,1.0,0.0
Coquimbo,04,Canela,04202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,5.0,0.0,4.0,1.0,0.0
Coquimbo,04,Combarbala,04302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0
Coquimbo,04,Coquimbo,04102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,1.0,1.0,6.0,7.0,21.0,85.0,86.0,71.0,151.0,144.0,157.0,180.0,239.0,236.0,338.0,340.0,127.0,0.0
Coquimbo,04,Illapel,04201,32801.0,0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,21.0,14.0,18.0,20.0,40.0,42.0,63.0,7.0,5.0,0.0
Coquimbo,04,La Higuera,04104,4450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,9.0,24.0,4.0,0.0
Coquimbo,04,La Serena,04101,249656.0,0,0.0,0.0,1.0,0.0,3.0,6.0,4.0,3.0,3.0,5.0,17.0,51.0,50.0,76.0,114.0,115.0,135.0,197.0,185.0,226.0,266.0,261.0,157.0,0.0
Coquimbo,04,Los Vilos,04203,23374.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,6.0,7.0,12.0,26.0,11.0,12.0,18.0,6.0,0.0
Coquimbo,04,Monte Patria,04303,32527.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,25.0,27.0,24.0,46.0,22.0,30.0,24.0,14.0,13.0,4.0,0.0
Coquimbo,04,Ovalle,04301,121269.0,0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,5.0,1.0,15.0,32.0,49.0,58.0,114.0,171.0,180.0,152.0,136.0,90.0,82.0,48.0,25.0,0.0
Coquimbo,04,Paiguano,04105,4675.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Coquimbo,04,Punitaqui,04304,12165.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,4.0,16.0,2.0,7.0,5.0,7.0,4.0,13.0,16.0,2.0,0.0
Coquimbo,04,Rio Hurtado,04305,4372.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0
Coquimbo,04,Salamanca,04204,29110.0,0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,15.0,14.0,3.0,6.0,4.0,7.0,11.0,15.0,16.0,0.0
Coquimbo,04,Vicuna,04106,29741.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,5.0,4.0,7.0,2.0,1.0,8.0,11.0,33.0,33.0,5.0,0.0
Coquimbo,04,Desconocido Coquimbo,,,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,8.0,9.0,17.0,12.0,21.0,10.0,18.0,14.0,13.0,0.0
Coquimbo,04,Total,,836096.0,0.0,0.0,0.0,2.0,7.0,22.0,19.0,18.0,15.0,17.0,16.0,71.0,199.0,223.0,272.0,497.0,526.0,577.0,620.0,709.0,682.0,868.0,798.0,367.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174.0,0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,13.0,10.0,7.0,19.0,18.0,8.0,6.0,2.0,3.0,2.0,0.0,0.0
Valparaiso,05,Cabildo,05402,20663.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,7.0,7.0,17.0,20.0,40.0,50.0,55.0,29.0,30.0,9.0,4.0,0.0
Valparaiso,05,Calera,05502,53591.0,0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,7.0,2.0,2.0,7.0,19.0,21.0,23.0,50.0,60.0,83.0,85.0,98.0,93.0,99.0,33.0,0.0
Valparaiso,05,Calle Larga,05302,16482.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,3.0,8.0,29.0,25.0,27.0,24.0,25.0,41.0,20.0,9.0,6.0,5.0,0.0
Valparaiso,05,Cartagena,05603,25357.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,12.0,8.0,17.0,11.0,17.0,20.0,20.0,15.0,17.0,9.0,13.0,2.0,0.0
Valparaiso,05,Casablanca,05102,29170.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,9.0,13.0,24.0,24.0,17.0,25.0,16.0,14.0,16.0,12.0,0.0
Valparaiso,05,Catemu,05702,15213.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,14.0,15.0,14.0,4.0,19.0,8.0,12.0,9.0,7.0,0.0
Valparaiso,05,Concon,05103,45889.0,0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,0.0,11.0,6.0,9.0,16.0,19.0,27.0,53.0,45.0,53.0,79.0,70.0,51.0,23.0,4.0,0.0
Valparaiso,05,El Quisco,05604,17742.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,5.0,9.0,14.0,15.0,15.0,19.0,11.0,7.0,12.0,23.0,9.0,13.0,4.0,0.0
Valparaiso,05,El Tabo,05605,14338.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,3.0,4.0,7.0,6.0,16.0,26.0,19.0,20.0,23.0,32.0,18.0,11.0,7.0,5.0,0.0
Valparaiso,05,Hijuelas,05503,19099.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,14.0,13.0,12.0,20.0,23.0,20.0,30.0,22.0,4.0,0.0
Valparaiso,05,Isla de Pascua,05201,8277.0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Juan Fernandez,05104,1033.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,La Cruz,05504,25321.0,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,8.0,7.0,4.0,5.0,14.0,15.0,11.0,14.0,25.0,17.0,17.0,23.0,14.0,0.0
Valparaiso,05,La Ligua,05401,37739.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,10.0,17.0,27.0,33.0,48.0,30.0,44.0,45.0,40.0,31.0,14.0,0.0
Valparaiso,05,Limache,05802,49931.0,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,6.0,1.0,7.0,25.0,33.0,25.0,35.0,84.0,100.0,104.0,82.0,93.0,57.0,46.0,16.0,0.0
Valparaiso,05,Llaillay,05703,26533.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,30.0,23.0,26.0,33.0,22.0,33.0,28.0,31.0,49.0,18.0,13.0,0.0
Valparaiso,05,Los Andes,05301,68093.0,0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,2.0,10.0,21.0,57.0,85.0,94.0,142.0,111.0,110.0,91.0,82.0,64.0,60.0,29.0,0.0
Valparaiso,05,Nogales,05506,23490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,7.0,9.0,16.0,18.0,16.0,21.0,19.0,30.0,15.0,0.0
Valparaiso,05,Olmue,05803,19266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,11.0,7.0,14.0,22.0,15.0,10.0,17.0,14.0,16.0,9.0,0.0
Valparaiso,05,Panquehue,05704,7633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,4.0,15.0,6.0,10.0,8.0,9.0,17.0,22.0,8.0,0.0
Valparaiso,05,Papudo,05403,6201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,13.0,14.0,13.0,9.0,6.0,5.0,4.0,2.0,3.0,0.0
Valparaiso,05,Petorca,05404,10558.0,0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,4.0,5.0,14.0,10.0,10.0,8.0,7.0,3.0,0.0
Valparaiso,05,Puchuncavi,05105,20071.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,6.0,8.0,30.0,27.0,25.0,19.0,12.0,11.0,4.0,2.0,0.0
Valparaiso,05,Putaendo,05705,17645.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,7.0,7.0,7.0,15.0,29.0,27.0,28.0,26.0,21.0,18.0,6.0,12.0,0.0
Valparaiso,05,Quillota,05501,97572.0,0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,8.0,1.0,5.0,3.0,19.0,21.0,47.0,78.0,194.0,193.0,209.0,204.0,211.0,125.0,72.0,30.0,0.0
Valparaiso,05,Quilpue,05801,167085.0,0,0.0,0.0,1.0,3.0,4.0,9.0,6.0,4.0,6.0,12.0,19.0,46.0,77.0,79.0,111.0,154.0,154.0,218.0,173.0,186.0,124.0,62.0,24.0,0.0
Valparaiso,05,Quintero,05107,36135.0,0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,2.0,3.0,24.0,23.0,28.0,41.0,50.0,40.0,44.0,39.0,20.0,28.0,20.0,6.0,0.0
Valparaiso,05,Rinconada,05303,11263.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,15.0,18.0,15.0,19.0,20.0,20.0,15.0,15.0,12.0,11.0,2.0,0.0
Valparaiso,05,San Antonio,05601,96761.0,0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,22.0,37.0,72.0,61.0,101.0,94.0,137.0,145.0,119.0,92.0,92.0,80.0,61.0,68.0,26.0,0.0
Valparaiso,05,San Esteban,05304,20643.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,7.0,4.0,10.0,16.0,28.0,19.0,18.0,28.0,27.0,29.0,15.0,5.0,0.0
Valparaiso,05,San Felipe,05701,83494.0,0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,6.0,19.0,60.0,70.0,116.0,184.0,174.0,107.0,132.0,84.0,59.0,39.0,13.0,0.0
Valparaiso,05,Santa Maria,05706,16367.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,15.0,3.0,5.0,8.0,13.0,18.0,30.0,32.0,24.0,28.0,18.0,14.0,6.0,0.0
Valparaiso,05,Santo Domingo,05606,11934.0,0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,11.0,7.0,9.0,32.0,21.0,10.0,10.0,7.0,5.0,2.0,1.0,0.0
Valparaiso,05,Valparaiso,05101,315732.0,0,0.0,0.0,1.0,2.0,11.0,14.0,13.0,20.0,17.0,26.0,83.0,116.0,151.0,235.0,314.0,488.0,528.0,494.0,373.0,299.0,293.0,233.0,78.0,0.0
Valparaiso,05,Villa Alemana,05804,139310.0,0,0.0,0.0,0.0,1.0,7.0,4.0,3.0,0.0,1.0,5.0,31.0,41.0,51.0,73.0,124.0,187.0,180.0,212.0,138.0,160.0,109.0,66.0,23.0,0.0
Valparaiso,05,Vina del Mar,05109,361371.0,0,0.0,1.0,0.0,5.0,23.0,27.0,23.0,13.0,21.0,26.0,78.0,143.0,200.0,236.0,304.0,406.0,383.0,442.0,415.0,345.0,234.0,182.0,64.0,0.0
Valparaiso,05,Zapallar,05405,7994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,18.0,13.0,13.0,10.0,7.0,3.0,0.0
Valparaiso,05,Desconocido Valparaiso,,,0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,11.0,8.0,6.0,38.0,29.0,37.0,64.0,53.0,63.0,34.0,31.0,45.0,0.0
Valparaiso,05,Total,,1960170.0,0.0,0.0,3.0,4.0,14.0,82.0,109.0,109.0,92.0,110.0,160.0,383.0,645.0,1020.0,1267.0,1768.0,2634.0,2597.0,2700.0,2466.0,2222.0,1730.0,1306.0,544.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,9.0,15.0,25.0,13.0,18.0,31.0,27.0,17.0,15.0,0.0
Metropolitana,13,Buin,13402,109641.0,0,0.0,0.0,0.0,0.0,5.0,16.0,10.0,13.0,19.0,21.0,62.0,137.0,188.0,231.0,216.0,284.0,271.0,206.0,168.0,165.0,116.0,103.0,34.0,0.0
Metropolitana,13,Calera de Tango,13403,28525.0,0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,19.0,32.0,37.0,71.0,72.0,75.0,55.0,77.0,40.0,32.0,18.0,8.0,0.0
Metropolitana,13,Cerrillos,13102,88956.0,0,0.0,1.0,3.0,1.0,4.0,11.0,13.0,21.0,21.0,67.0,228.0,205.0,278.0,316.0,278.0,348.0,339.0,241.0,181.0,155.0,88.0,90.0,53.0,0.0
Metropolitana,13,Cerro Navia,13103,142465.0,0,0.0,0.0,2.0,10.0,16.0,16.0,14.0,37.0,50.0,108.0,268.0,574.0,696.0,738.0,779.0,767.0,643.0,551.0,324.0,267.0,201.0,133.0,39.0,0.0
Metropolitana,13,Colina,13301,180353.0,0,0.0,1.0,3.0,7.0,28.0,15.0,26.0,17.0,25.0,36.0,134.0,372.0,541.0,610.0,615.0,605.0,422.0,340.0,251.0,176.0,149.0,72.0,27.0,0.0
Metropolitana,13,Conchali,13104,139195.0,0,0.0,0.0,2.0,2.0,17.0,14.0,19.0,42.0,74.0,134.0,383.0,632.0,717.0,668.0,646.0,650.0,561.0,461.0,325.0,279.0,196.0,85.0,50.0,0.0
Metropolitana,13,Curacavi,13503,36430.0,0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,18.0,40.0,72.0,97.0,136.0,100.0,91.0,68.0,52.0,45.0,44.0,36.0,25.0,0.0
Metropolitana,13,El Bosque,13105,172000.0,0,0.0,0.0,0.0,1.0,14.0,23.0,33.0,51.0,46.0,89.0,224.0,403.0,553.0,545.0,756.0,849.0,718.0,568.0,479.0,376.0,244.0,190.0,55.0,0.0
Metropolitana,13,El Monte,13602,40014.0,0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,3.0,7.0,16.0,41.0,75.0,142.0,101.0,126.0,130.0,153.0,101.0,101.0,66.0,31.0,27.0,0.0
Metropolitana,13,Estacion Central,13106,206792.0,0,0.0,0.0,2.0,3.0,12.0,28.0,34.0,42.0,81.0,169.0,379.0,571.0,674.0,684.0,746.0,695.0,566.0,444.0,317.0,217.0,199.0,120.0,58.0,0.0
Metropolitana,13,Huechuraba,13107,112528.0,0,0.0,1.0,0.0,5.0,21.0,11.0,19.0,21.0,33.0,57.0,207.0,376.0,500.0,455.0,423.0,390.0,289.0,306.0,185.0,147.0,105.0,78.0,44.0,0.0
Metropolitana,13,Independencia,13108,142065.0,0,0.0,0.0,0.0,4.0,16.0,10.0,26.0,50.0,146.0,308.0,573.0,787.0,778.0,778.0,731.0,566.0,444.0,333.0,214.0,198.0,157.0,98.0,48.0,0.0
Metropolitana,13,Isla de Maipo,13603,40171.0,0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,2.0,0.0,4.0,13.0,25.0,37.0,70.0,89.0,103.0,81.0,77.0,78.0,70.0,109.0,109.0,37.0,0.0
Metropolitana,13,La Cisterna,13109,100434.0,0,0.0,0.0,0.0,3.0,11.0,13.0,18.0,18.0,28.0,64.0,121.0,242.0,329.0,315.0,428.0,399.0,311.0,281.0,186.0,120.0,117.0,53.0,43.0,0.0
Metropolitana,13,La Florida,13110,402433.0,0,0.0,1.0,2.0,12.0,31.0,59.0,64.0,80.0,107.0,208.0,596.0,1039.0,1552.0,1730.0,1627.0,1672.0,1191.0,1073.0,809.0,519.0,408.0,264.0,112.0,0.0
Metropolitana,13,La Granja,13111,122557.0,0,0.0,0.0,0.0,1.0,6.0,15.0,36.0,22.0,21.0,76.0,275.0,614.0,919.0,1027.0,804.0,810.0,644.0,526.0,355.0,349.0,187.0,96.0,60.0,0.0
