Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18
Atacama,03,Copiapo,03101,171766.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0
Atacama,03,Diego de Almagro,03202,14358.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Freirina,03303,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Atacama,03,Huasco,03304,11264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0
Atacama,03,Vallenar,03301,57009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0
Coquimbo,04,Andacollo,04103,11791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Canela,04202,9546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Combarbala,04302,13884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Coquimbo,04102,256735.0,0.0,0.0,0.0,0.0,4.0,13.0,3.0,1.0,0.0,2.0,3.0,0.0
Coquimbo,04,Illapel,04201,32801.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0
Coquimbo,04,La Higuera,04104,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,La Serena,04101,249656.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,0.0,3.0,2.0,0.0
Coquimbo,04,Los Vilos,04203,23374.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Monte Patria,04303,32527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Ovalle,04301,121269.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
Coquimbo,04,Paiguano,04105,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Punitaqui,04304,12165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Coquimbo,04,Rio Hurtado,04305,4372.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Salamanca,04204,29110.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0
Coquimbo,04,Vicuna,04106,29741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Algarrobo,05602,15174.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0
Valparaíso,05,Cabildo,05402,20663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Valparaíso,05,Calera,05502,53591.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,7.0,2.0,0.0
Valparaíso,05,Calle Larga,05302,16482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0
Valparaíso,05,Cartagena,05603,25357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0
Valparaíso,05,Casablanca,05102,29170.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Valparaíso,05,Catemu,05702,15213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Concon,05103,45889.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,4.0,0.0
Valparaíso,05,El Quisco,05604,17742.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0
Valparaíso,05,El Tabo,05605,14338.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0
Valparaíso,05,Hijuelas,05503,19099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Valparaíso,05,Isla de Pascua,05201,8277.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
Valparaíso,05,Juan Fernandez,05104,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,La Cruz,05504,25321.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
Valparaíso,05,La Ligua,05401,37739.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Valparaíso,05,Limache,05802,49931.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,6.0,0.0,0.0
Valparaíso,05,Llaillay,05703,26533.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Los Andes,05301,68093.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0
Valparaíso,05,Nogales,05506,23490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Olmue,05803,19266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Valparaíso,05,Panquehue,05704,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Papudo,05403,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Petorca,05404,10558.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
Valparaíso,05,Puchuncavi,05105,20071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Putaendo,05705,17645.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
Valparaíso,05,Quillota,05501,97572.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,6.0,1.0,1.0,0.0
Valparaíso,05,Quilpue,05801,167085.0,0.0,0.0,0.0,1.0,3.0,3.0,8.0,7.0,4.0,4.0,0.0,0.0
Valparaíso,05,Quintero,05107,36135.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0
Valparaíso,05,Rinconada,05303,11263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Valparaíso,05,San Antonio,05601,96761.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,10.0,18.0,6.0,0.0
Valparaíso,05,San Esteban,05304,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Valparaíso,05,San Felipe,05701,83494.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
Valparaíso,05,Santa Maria,05706,16367.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,05,Santo Domingo,05606,11934.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,4.0,4.0,0.0,0.0
Valparaíso,05,Valparaiso,05101,315732.0,0.0,0.0,0.0,1.0,2.0,10.0,15.0,11.0,16.0,10.0,3.0,0.0
Valparaíso,05,Villa Alemana,05804,139310.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,2.0,0.0,1.0,1.0,0.0
Valparaíso,05,Vina del Mar,05109,361371.0,0.0,0.0,0.0,0.0,6.0,21.0,28.0,21.0,12.0,16.0,5.0,0.0
Valparaíso,05,Zapallar,05405,7994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitana,13,Alhue,13502,7405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitana,13,Buin,13402,109641.0,0.0,0.0,0.0,0.0,1.0,4.0,18.0,8.0,13.0,10.0,6.0,0.0
Metropolitana,13,Calera de Tango,13403,28525.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,1.0,0.0
Metropolitana,13,Cerrillos,13102,88956.0,0.0,0.0,0.0,1.0,2.0,4.0,9.0,12.0,20.0,17.0,15.0,0.0
Metropolitana,13,Cerro Navia,13103,142465.0,0.0,0.0,0.0,0.0,10.0,12.0,11.0,12.0,35.0,38.0,17.0,0.0
Metropolitana,13,Colina,13301,180353.0,0.0,0.0,0.0,4.0,6.0,28.0,14.0,17.0,13.0,11.0,10.0,0.0
Metropolitana,13,Conchali,13104,139195.0,0.0,0.0,0.0,0.0,1.0,15.0,12.0,15.0,20.0,31.0,19.0,0.0
Metropolitana,13,Curacavi,13503,36430.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0
Metropolitana,13,El Bosque,13105,172000.0,0.0,0.0,0.0,0.0,2.0,14.0,21.0,27.0,45.0,39.0,29.0,0.0
Metropolitana,13,El Monte,13602,40014.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,3.0,0.0
Metropolitana,13,Estacion Central,13106,206792.0,0.0,0.0,0.0,1.0,2.0,11.0,25.0,30.0,36.0,60.0,42.0,0.0
Metropolitana,13,Huechuraba,13107,112528.0,0.0,0.0,0.0,0.0,4.0,18.0,7.0,16.0,16.0,18.0,3.0,0.0
Metropolitana,13,Independencia,13108,142065.0,0.0,0.0,0.0,0.0,3.0,13.0,8.0,19.0,38.0,106.0,59.0,0.0
Metropolitana,13,Isla de Maipo,13603,40171.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,2.0,0.0
Metropolitana,13,La Cisterna,13109,100434.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,13.0,18.0,19.0,15.0,0.0
Metropolitana,13,La Florida,13110,402433.0,0.0,0.0,0.0,2.0,12.0,29.0,54.0,53.0,57.0,79.0,42.0,0.0
Metropolitana,13,La Granja,13111,122557.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0,25.0,17.0,16.0,17.0,0.0
Metropolitana,13,La Pintana,13112,189335.0,0.0,0.0,0.0,0.0,3.0,6.0,17.0,26.0,40.0,57.0,46.0,0.0
Metropolitana,13,La Reina,13113,100252.0,0.0,0.0,1.0,0.0,12.0,14.0,11.0,14.0,6.0,9.0,17.0,0.0
Metropolitana,13,Lampa,13302,126898.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,13.0,11.0,11.0,12.0,0.0
Metropolitana,13,Las Condes,13114,330759.0,0.0,1.0,0.0,6.0,60.0,120.0,66.0,36.0,26.0,24.0,17.0,0.0
Metropolitana,13,Lo Barnechea,13115,124076.0,0.0,0.0,0.0,2.0,14.0,52.0,26.0,16.0,34.0,30.0,20.0,0.0
Metropolitana,13,Lo Espejo,13116,103865.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,23.0,25.0,19.0,21.0,0.0
Metropolitana,13,Lo Prado,13117,104403.0,0.0,0.0,0.0,1.0,2.0,5.0,19.0,13.0,20.0,22.0,29.0,0.0
Metropolitana,13,Macul,13118,134635.0,0.0,0.0,0.0,1.0,3.0,11.0,21.0,14.0,11.0,16.0,33.0,0.0
Metropolitana,13,Maipu,13119,578605.0,0.0,0.0,0.0,0.0,13.0,46.0,66.0,73.0,72.0,91.0,38.0,0.0
Metropolitana,13,Maria Pinto,13504,14926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Metropolitana,13,Melipilla,13501,141612.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,4.0,7.0,19.0,6.0,0.0
Metropolitana,13,Nunoa,13120,250192.0,0.0,0.0,1.0,1.0,26.0,52.0,35.0,45.0,44.0,60.0,27.0,0.0
Metropolitana,13,Padre Hurtado,13604,74188.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,5.0,11.0,4.0,5.0,0.0
Metropolitana,13,Paine,13404,82766.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,1.0,3.0,0.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,0.0,0.0,0.0,0.0,3.0,4.0,13.0,19.0,41.0,29.0,20.0,0.0
Metropolitana,13,Penaflor,13605,101058.0,0.0,0.0,0.0,1.0,4.0,3.0,9.0,4.0,7.0,12.0,11.0,0.0
Metropolitana,13,Penalolen,13122,266798.0,0.0,0.0,0.0,2.0,9.0,25.0,32.0,34.0,50.0,58.0,44.0,0.0
Metropolitana,13,Pirque,13202,30433.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,5.0,3.0,3.0,0.0
Metropolitana,13,Providencia,13123,157749.0,0.0,0.0,0.0,4.0,28.0,62.0,20.0,21.0,30.0,28.0,7.0,0.0
Metropolitana,13,Pudahuel,13124,253139.0,0.0,0.0,1.0,1.0,1.0,19.0,20.0,29.0,37.0,27.0,32.0,0.0
Metropolitana,13,Puente Alto,13201,645909.0,0.0,0.0,0.0,1.0,7.0,53.0,95.0,146.0,165.0,207.0,90.0,0.0
Metropolitana,13,Quilicura,13125,254694.0,0.0,0.0,0.0,2.0,3.0,18.0,23.0,37.0,32.0,81.0,40.0,0.0
Metropolitana,13,Quinta Normal,13126,136368.0,0.0,0.0,0.0,2.0,4.0,13.0,24.0,36.0,46.0,40.0,29.0,0.0
Metropolitana,13,Recoleta,13127,190075.0,0.0,0.0,0.0,0.0,5.0,14.0,16.0,26.0,39.0,60.0,66.0,0.0
Metropolitana,13,Renca,13128,160847.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,5.0,28.0,54.0,22.0,0.0
Metropolitana,13,San Bernardo,13401,334836.0,0.0,0.0,1.0,1.0,6.0,20.0,35.0,64.0,70.0,108.0,67.0,0.0
Metropolitana,13,San Joaquin,13129,103485.0,0.0,0.0,0.0,0.0,1.0,14.0,22.0,13.0,32.0,35.0,32.0,0.0
Metropolitana,13,San Jose de Maipo,13203,18644.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
Metropolitana,13,San Miguel,13130,133059.0,0.0,0.0,0.0,0.0,3.0,24.0,20.0,24.0,40.0,39.0,23.0,0.0
Metropolitana,13,San Pedro,13505,11953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Metropolitana,13,San Ramon,13131,86510.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,12.0,36.0,22.0,0.0
Metropolitana,13,Santiago,13101,503147.0,0.0,0.0,2.0,0.0,27.0,95.0,89.0,125.0,141.0,129.0,92.0,0.0
Metropolitana,13,Talagante,13601,81838.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,9.0,2.0,0.0
Metropolitana,13,Tiltil,13303,21477.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Metropolitana,13,Vitacura,13132,96774.0,0.0,1.0,0.0,7.0,30.0,45.0,27.0,13.0,5.0,5.0,6.0,0.0
O’Higgins,06,Chepica,06302,15925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Chimbarongo,06303,37696.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Codegua,06102,14096.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Coinco,06103,7831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O’Higgins,06,Coltauco,06104,21263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Donihue,06105,22700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O’Higgins,06,Graneros,06106,36504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
O’Higgins,06,La Estrella,06202,3114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Las Cabras,06107,26749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
O’Higgins,06,Litueche,06203,6765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
O’Higgins,06,Lolol,06304,7289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Machali,06108,59913.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
O’Higgins,06,Malloa,06109,14163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Marchihue,06204,7632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Mostazal,06110,27462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Nancagua,06305,19141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Navidad,06205,6904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Olivar,06111,14624.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
O’Higgins,06,Palmilla,06306,13299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Paredones,06206,6349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Peralillo,06307,11848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Peumo,06112,14952.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Pichidegua,06113,20743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Pichilemu,06201,17882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Placilla,06308,9164.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Pumanque,06309,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Quinta de Tilcoco,06114,13877.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,06,Rancagua,06101,265211.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,3.0,5.0,6.0,0.0
O’Higgins,06,Rengo,06115,63710.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0
O’Higgins,06,Requinoa,06116,30371.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
O’Higgins,06,San Fernando,06301,78642.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
O’Higgins,06,San Vicente,06117,50617.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
O’Higgins,06,Santa Cruz,06310,41096.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Maule,07,Cauquenes,07201,44143.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,2.0,0.0
Maule,07,Chanco,07202,9331.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Maule,07,Colbun,07402,22565.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
Maule,07,Constitucion,07102,50348.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,7.0,1.0,0.0
Maule,07,Curepto,07103,9426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0
Maule,07,Curico,07301,163626.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,3.0,12.0,8.0,2.0,0.0
Maule,07,Empedrado,07104,4206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maule,07,Hualane,07302,10222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maule,07,Licanten,07303,6989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Maule,07,Linares,07401,101073.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,5.0,4.0,6.0,1.0,0.0
Maule,07,Longavi,07403,32810.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Maule,07,Maule,07105,60000.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,11.0,2.0,0.0
Maule,07,Molina,07304,49800.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0
Maule,07,Parral,07404,44544.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0
Maule,07,Pelarco,07106,9083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
Maule,07,Pelluhue,07203,8092.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Maule,07,Pencahue,07107,8601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Maule,07,Rauco,07305,11248.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Maule,07,Retiro,07405,21071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Maule,07,Rio Claro,07108,14753.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0
Maule,07,Romeral,07306,16170.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,0.0
Maule,07,Sagrada Familia,07307,19469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Maule,07,San Clemente,07109,46292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0
Maule,07,San Javier,07406,49451.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,7.0,0.0,0.0
Maule,07,San Rafael,07110,9959.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Maule,07,Talca,07101,236724.0,0.0,0.0,0.0,3.0,9.0,13.0,19.0,11.0,15.0,71.0,8.0,0.0
Maule,07,Teno,07308,30850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Maule,07,Vichuquen,07309,4381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maule,07,Villa Alegre,07407,17512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
