Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28
Biobio,08,Canete,08203,37003.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,7.0,1.0,7.0,4.0,3.0,0.0
Biobio,08,Chiguayante,08103,91180.0,0,0.0,0.0,0.0,5.0,5.0,9.0,16.0,12.0,10.0,12.0,8.0,7.0,9.0,9.0,27.0,40.0,60.0,52.0,50.0,52.0,16.0
Biobio,08,Concepcion,08101,238092.0,0,0.0,1.0,1.0,7.0,28.0,30.0,23.0,22.0,18.0,14.0,19.0,19.0,21.0,93.0,99.0,133.0,252.0,259.0,171.0,111.0,39.0
Biobio,08,Contulmo,08204,6330.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,27.0,3.0,0.0
Biobio,08,Coronel,08102,125829.0,0,0.0,0.0,0.0,1.0,6.0,7.0,4.0,1.0,0.0,5.0,2.0,14.0,16.0,50.0,130.0,111.0,150.0,226.0,170.0,139.0,24.0
Biobio,08,Curanilahue,08205,33892.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,4.0,11.0,10.0,17.0,14.0,23.0,12.0
Biobio,08,Florida,08104,11841.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,7.0,11.0,2.0,2.0
Biobio,08,Hualpen,08112,97273.0,0,0.0,0.0,1.0,3.0,23.0,33.0,27.0,17.0,8.0,2.0,6.0,11.0,9.0,17.0,30.0,26.0,70.0,85.0,106.0,63.0,18.0
Biobio,08,Hualqui,08105,26201.0,0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,9.0,0.0,1.0,2.0,5.0,12.0,7.0,13.0,17.0,38.0,30.0,15.0,1.0
Biobio,08,Laja,08304,23873.0,0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,5.0,1.0,17.0,20.0,8.0,7.0,6.0,10.0,15.0,20.0,18.0,4.0
Biobio,08,Lebu,08201,27100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,5.0,8.0,3.0,0.0,2.0
Biobio,08,Los Alamos,08206,22524.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,4.0,38.0,27.0,9.0,6.0
Biobio,08,Los Angeles,08301,218515.0,0,0.0,0.0,0.0,3.0,6.0,9.0,6.0,5.0,4.0,0.0,4.0,32.0,64.0,89.0,78.0,87.0,87.0,136.0,160.0,95.0,20.0
Biobio,08,Lota,08106,45750.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,10.0,15.0,21.0,23.0,43.0,67.0,63.0,50.0,9.0
Biobio,08,Mulchen,08305,31041.0,0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,11.0,3.0,3.0,12.0,27.0,19.0,7.0
Biobio,08,Nacimiento,08306,27944.0,0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,8.0,4.0,8.0,7.0,6.0,20.0,30.0,28.0,17.0,8.0
Biobio,08,Negrete,08307,10429.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,12.0,10.0,9.0,12.0,21.0,15.0,17.0,3.0,2.0
Biobio,08,Penco,08107,49865.0,0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,8.0,0.0,3.0,2.0,2.0,10.0,14.0,43.0,73.0,52.0,57.0,42.0,9.0
Biobio,08,Quilaco,08308,4179.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.0,1.0
Biobio,08,Quilleco,08309,10032.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,8.0,12.0,5.0
Biobio,08,San Pedro de la Paz,08108,145906.0,0,0.0,0.0,0.0,6.0,35.0,17.0,23.0,8.0,11.0,4.0,3.0,14.0,14.0,38.0,64.0,67.0,97.0,115.0,77.0,90.0,16.0
Biobio,08,San Rosendo,08310,3611.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,8.0,8.0,7.0,0.0
Biobio,08,Santa Barbara,08311,14592.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,7.0,19.0,7.0,8.0,23.0,9.0,12.0,4.0
Biobio,08,Santa Juana,08109,14779.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,17.0,22.0,15.0,7.0,2.0,3.0
Biobio,08,Talcahuano,08110,158345.0,0,0.0,0.0,0.0,1.0,16.0,16.0,20.0,14.0,14.0,21.0,17.0,18.0,18.0,42.0,69.0,54.0,110.0,150.0,125.0,101.0,41.0
Biobio,08,Tirua,08207,11019.0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,7.0,0.0,0.0
Biobio,08,Tome,08111,58729.0,0,0.0,0.0,0.0,0.0,9.0,13.0,13.0,7.0,9.0,1.0,4.0,16.0,6.0,8.0,15.0,53.0,63.0,65.0,32.0,12.0,5.0
Biobio,08,Tucapel,08312,15205.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,11.0,21.0,13.0,28.0,34.0,13.0,2.0
Biobio,08,Yumbel,08313,22132.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,12.0,3.0,20.0,38.0,19.0,42.0,13.0
Biobio,08,Desconocido Biobio,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,10.0,12.0,35.0,44.0,11.0,13.0
Biobio,08,Total,,1663696.0,0.0,0.0,1.0,3.0,29.0,140.0,163.0,155.0,101.0,100.0,68.0,88.0,214.0,259.0,513.0,756.0,833.0,1259.0,1686.0,1443.0,1020.0,289.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058.0,0,0.0,0.0,1.0,1.0,3.0,10.0,11.0,15.0,35.0,27.0,12.0,11.0,7.0,24.0,19.0,57.0,59.0,41.0,27.0,40.0,8.0
La Araucania,09,Carahue,09102,25486.0,0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,9.0,8.0,5.0,1.0,0.0,2.0,14.0,11.0,5.0,5.0,5.0,2.0,2.0,2.0
La Araucania,09,Cholchol,09121,12341.0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,5.0,1.0,0.0,0.0,2.0,0.0
La Araucania,09,Collipulli,09202,26148.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,9.0,9.0,6.0,8.0,9.0,6.0,9.0,3.0,0.0
La Araucania,09,Cunco,09103,18055.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,18.0,0.0,11.0,8.0,3.0,5.0,2.0,3.0
La Araucania,09,Curacautin,09203,18178.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,9.0,0.0,1.0,1.0,0.0
La Araucania,09,Curarrehue,09104,7802.0,0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Araucania,09,Ercilla,09204,8458.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0
La Araucania,09,Freire,09105,25446.0,0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,12.0,11.0,28.0,16.0,18.0,6.0,9.0,2.0,1.0,0.0
La Araucania,09,Galvarino,09106,12633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,43.0,41.0,13.0,6.0,10.0,11.0,0.0
La Araucania,09,Gorbea,09107,15148.0,0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,1.0
La Araucania,09,Lautaro,09108,40746.0,0,0.0,1.0,0.0,0.0,6.0,3.0,15.0,5.0,6.0,2.0,7.0,10.0,3.0,14.0,21.0,6.0,10.0,5.0,6.0,3.0,1.0
La Araucania,09,Loncoche,09109,24739.0,0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,7.0,19.0,1.0,6.0,4.0,17.0,3.0,0.0
La Araucania,09,Lonquimay,09205,11049.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,12.0,27.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
La Araucania,09,Los Sauces,09206,7517.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,8.0,2.0,2.0
La Araucania,09,Lumaco,09207,10050.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,9.0,8.0,6.0,2.0,2.0,0.0
La Araucania,09,Melipeuco,09110,6265.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
La Araucania,09,Nueva Imperial,09111,33777.0,0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,13.0,6.0,3.0,2.0,6.0,5.0,2.0,3.0,23.0,19.0,11.0,8.0,6.0,0.0
La Araucania,09,Padre Las Casas,09112,82110.0,0,0.0,0.0,0.0,0.0,12.0,28.0,24.0,16.0,17.0,11.0,0.0,5.0,24.0,16.0,13.0,4.0,7.0,2.0,3.0,18.0,2.0
La Araucania,09,Perquenco,09113,7223.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,3.0,8.0,11.0,2.0,0.0
La Araucania,09,Pitrufquen,09114,26096.0,0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,0.0,1.0,0.0,3.0,1.0,6.0,15.0,20.0,9.0,1.0,8.0,8.0,3.0,0.0
La Araucania,09,Pucon,09115,29782.0,0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,3.0,2.0,12.0,16.0,9.0,3.0,4.0,5.0,2.0,0.0
La Araucania,09,Puren,09208,12188.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,6.0,5.0,4.0,0.0,0.0
La Araucania,09,Renaico,09209,10833.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,3.0,5.0,4.0,2.0,2.0,5.0,12.0,4.0,1.0,0.0
La Araucania,09,Saavedra,09116,12793.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,8.0,17.0,13.0,18.0,11.0,9.0,4.0,5.0,3.0,0.0,0.0,2.0,0.0
La Araucania,09,Temuco,09101,302931.0,0,0.0,0.0,3.0,27.0,157.0,175.0,129.0,112.0,58.0,25.0,27.0,49.0,44.0,28.0,16.0,20.0,30.0,28.0,43.0,55.0,7.0
La Araucania,09,Teodoro Schmidt,09117,15786.0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,9.0,6.0,3.0,0.0,0.0
La Araucania,09,Tolten,09118,10055.0,0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
La Araucania,09,Traiguen,09210,19314.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,5.0,7.0,7.0,5.0,10.0,4.0,0.0
La Araucania,09,Victoria,09211,35467.0,0,0.0,0.0,0.0,1.0,2.0,9.0,2.0,1.0,31.0,20.0,11.0,2.0,4.0,20.0,14.0,23.0,21.0,1.0,4.0,5.0,1.0
La Araucania,09,Vilcun,09119,30766.0,0,0.0,0.0,0.0,0.0,6.0,11.0,15.0,8.0,4.0,4.0,4.0,6.0,7.0,21.0,9.0,7.0,4.0,5.0,2.0,6.0,1.0
La Araucania,09,Villarrica,09120,59103.0,0,0.0,0.0,0.0,0.0,2.0,10.0,6.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,7.0,7.0,23.0,19.0,14.0,1.0,0.0
La Araucania,09,Desconocido Araucania,,,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
La Araucania,09,Total,,1014343.0,0.0,0.0,1.0,4.0,33.0,218.0,294.0,244.0,199.0,204.0,130.0,108.0,154.0,184.0,297.0,278.0,299.0,285.0,205.0,208.0,180.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Rios,14,Corral,14102,5447.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,0.0
Los Rios,14,Futrono,14202,15261.0,0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,19.0,8.0,15.0,5.0,1.0,1.0,1.0,0.0
Los Rios,14,La Union,14201,39538.0,0,0.0,0.0,0.0,1.0,5.0,8.0,4.0,6.0,9.0,4.0,2.0,1.0,2.0,2.0,6.0,9.0,9.0,8.0,6.0,5.0,0.0
Los Rios,14,Lago Ranco,14203,10292.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
Los Rios,14,Lanco,14103,17652.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,10.0,3.0,1.0,0.0,0.0
Los Rios,14,Los Lagos,14104,20518.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,13.0,22.0,3.0,0.0,1.0,0.0
Los Rios,14,Mafil,14105,7389.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0
Los Rios,14,Mariquina,14106,23250.0,0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0
Los Rios,14,Paillaco,14107,20798.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,3.0,0.0,2.0,3.0,0.0,2.0,1.0
Los Rios,14,Panguipulli,14108,35991.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,8.0,16.0,7.0,8.0,6.0,1.0,4.0
Los Rios,14,Rio Bueno,14204,32925.0,0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0
Los Rios,14,Valdivia,14101,176774.0,0,0.0,0.0,1.0,1.0,25.0,32.0,25.0,18.0,8.0,8.0,4.0,2.0,10.0,30.0,24.0,15.0,26.0,38.0,35.0,29.0,6.0
Los Rios,14,Desconocido Los Rios,,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Los Rios,14,Total,,405835.0,0.0,0.0,0.0,1.0,3.0,40.0,47.0,39.0,29.0,24.0,14.0,11.0,12.0,36.0,90.0,66.0,79.0,100.0,71.0,59.0,44.0,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Lagos,10,Ancud,10202,42458.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,21.0,19.0,23.0,10.0,2.0,4.0,4.0,1.0,5.0,0.0,0.0
Los Lagos,10,Calbuco,10102,36744.0,0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,19.0,43.0,35.0,3.0
Los Lagos,10,Castro,10201,47607.0,0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Los Lagos,10,Chaiten,10401,5020.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Lagos,10,Chonchi,10203,16013.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Los Lagos,10,Cochamo,10103,4006.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
Los Lagos,10,Curaco de Velez,10204,4066.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,2.0
Los Lagos,10,Dalcahue,10205,15069.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Los Lagos,10,Fresia,10104,12656.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,9.0,0.0
Los Lagos,10,Frutillar,10105,20223.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,7.0,23.0,35.0,55.0,6.0
Los Lagos,10,Futaleufu,10402,2806.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Lagos,10,Hualaihue,10403,9525.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0
Los Lagos,10,Llanquihue,10107,18621.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,3.0,12.0,18.0,7.0,17.0,3.0
Los Lagos,10,Los Muermos,10106,17817.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,7.0,13.0,1.0
Los Lagos,10,Maullin,10108,14894.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,1.0,2.0,5.0,11.0,7.0
Los Lagos,10,Osorno,10301,173410.0,0,0.0,0.0,0.0,3.0,59.0,104.0,64.0,36.0,18.0,15.0,24.0,17.0,8.0,20.0,30.0,23.0,26.0,17.0,11.0,19.0,6.0
Los Lagos,10,Palena,10404,1827.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Lagos,10,Puerto Montt,10101,269398.0,0,0.0,0.0,1.0,2.0,14.0,18.0,11.0,3.0,5.0,1.0,1.0,9.0,20.0,57.0,59.0,74.0,100.0,124.0,150.0,169.0,36.0
Los Lagos,10,Puerto Octay,10302,9192.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Los Lagos,10,Puerto Varas,10109,48620.0,0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,7.0,8.0,21.0,9.0,10.0,16.0,8.0,2.0
Los Lagos,10,Puqueldon,10206,4201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Lagos,10,Purranque,10303,21080.0,0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,5.0,1.0,4.0,6.0,1.0,6.0,13.0,22.0,2.0,0.0,0.0,2.0,5.0,0.0
Los Lagos,10,Puyehue,10304,11787.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0
Los Lagos,10,Queilen,10207,5543.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Lagos,10,Quellon,10208,29309.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0
Los Lagos,10,Quemchi,10209,8783.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Lagos,10,Quinchao,10210,8298.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Los Lagos,10,Rio Negro,10305,14275.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,0.0,1.0,1.0,2.0,3.0,0.0
Los Lagos,10,San Juan de la Costa,10306,7639.0,0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,6.0,7.0,2.0,5.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
Los Lagos,10,San Pablo,10307,10553.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Los Lagos,10,Desconocido Los Lagos,,,0,0.0,0.0,0.0,9.0,10.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,5.0,6.0
Los Lagos,10,Total,,891440.0,0.0,0.0,0.0,1.0,15.0,91.0,145.0,118.0,60.0,45.0,39.0,61.0,69.0,83.0,133.0,144.0,137.0,183.0,239.0,315.0,356.0,72.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Aysen,11,Aysen,11201,25002.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,3.0,2.0,1.0
Aysen,11,Chile Chico,11401,5121.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Cisnes,11202,5828.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Cochrane,11301,3685.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Coyhaique,11101,61210.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,2.0,4.0,9.0,0.0,0.0
Aysen,11,Guaitecas,11203,1599.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Lago Verde,11102,920.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,OHiggins,11302,661.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Rio Ibanez,11402,2699.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Tortel,11303,572.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Desconocido Aysen,,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aysen,11,Total,,107297.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,3.0,4.0,9.0,12.0,2.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Magallanes y la Antartica,12,Antartica,12202,137.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983.0,0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Magallanes y la Antartica,12,Laguna Blanca,12102,264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magallanes y la Antartica,12,Natales,12401,23782.0,0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,17.0,7.0,1.0
