Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,13,16,8,11,37,73,119,216,287,219,153,47,0
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,15,12,18,40,118,263,303,316,253,189,60,0
Metropolitana,13,Las Condes,13114,330759,0,1,0,19,58,121,66,37,35,29,66,228,466,649,706,611,412,119,0
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,53,27,18,36,36,64,137,244,338,340,229,162,59,0
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,5,8,24,29,22,58,158,334,412,349,440,367,45,0
Metropolitana,13,Lo Prado,13117,104403,0,0,0,2,3,5,19,14,22,30,102,181,325,425,418,397,217,48,0
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,16,21,18,14,20,77,179,414,503,551,435,368,88,0
Metropolitana,13,Maipu,13119,578605,0,0,0,1,13,49,71,78,90,115,145,405,855,1227,1417,1354,1007,214,0
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,1,17,23,32,30,6,2,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,5,5,5,8,22,34,80,94,181,299,420,300,73,0
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,53,39,47,45,65,66,146,345,511,705,561,452,120,0
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,12,9,16,53,92,151,197,161,101,26,0
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,3,0,4,5,3,5,25,76,81,108,91,131,30,0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,4,4,15,23,45,32,71,162,346,396,323,402,316,32,0
Metropolitana,13,Penaflor,13605,101058,0,0,1,1,5,3,9,5,9,14,26,44,102,176,271,208,115,17,0
Metropolitana,13,Penalolen,13122,266798,0,0,1,3,9,27,34,39,51,66,118,388,908,1277,1518,1334,889,149,0
Metropolitana,13,Pirque,13202,30433,0,0,0,1,3,1,4,1,5,5,16,33,45,64,133,86,45,11,0
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,61,20,22,30,34,36,91,230,299,369,373,179,45,0
Metropolitana,13,Pudahuel,13124,253139,0,0,1,2,2,19,24,32,36,43,130,320,624,916,1135,911,524,121,0
Metropolitana,13,Puente Alto,13201,645909,0,0,2,2,9,59,98,166,186,298,347,786,1541,2032,2338,2186,1829,333,0
Metropolitana,13,Quilicura,13125,254694,0,0,0,6,4,20,27,42,41,129,303,502,690,867,807,842,643,130,0
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,5,14,25,37,49,50,98,248,424,530,619,536,296,56,0
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,14,15,33,39,105,266,693,1065,976,815,588,386,124,0
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,12,7,33,63,104,271,592,641,753,608,395,77,0
Metropolitana,13,San Bernardo,13401,334836,0,0,1,2,6,21,37,65,74,120,152,315,636,851,988,1113,770,129,0
Metropolitana,13,San Joaquin,13129,103485,0,0,0,3,1,14,22,13,37,40,79,221,494,616,380,362,326,104,0
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,22,40,53,88,57,60,10,0
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,24,21,25,44,47,73,190,408,484,537,483,376,81,0
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,10,7,8,13,14,12,11,0,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,5,11,10,13,41,89,238,435,518,449,360,349,30,0
Metropolitana,13,Santiago,13101,503147,0,0,1,2,29,96,99,140,159,170,368,914,1611,1616,1705,1365,918,219,0
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,8,7,3,10,8,37,55,90,106,124,120,30,0
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,7,31,37,50,46,37,8,0
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,32,47,29,12,6,5,13,56,149,200,165,127,106,38,0
Metropolitana,13,Total,,8125072,0,2,15,77,337,970,1048,1296,1613,2357,4430,10871,20254,25745,27763,25055,18511,3808,0
,,,,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,2,9,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,1,5,13,8,5,10,2,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,0,0,1,3,7,8,5,0,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,10,8,2,1,0,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,15,8,12,1,2,1,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,5,9,15,12,5,7,2,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,19,23,13,14,4,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,2,4,3,4,3,0,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,1,6,3,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,2,1,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,2,0,4,0,5,4,7,17,18,23,23,11,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,0,0,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,3,4,6,12,17,6,0,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,11,5,9,7,9,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,6,2,6,1,6,3,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,2,2,2,1,0,0,7,4,12,3,2,1,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,1,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,11,2,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,3,2,2,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2,2,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,3,0,0,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,5,4,2,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,1,0,0,8,4,6,3,7,11,25,82,157,199,198,154,49,0
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,3,7,17,27,17,11,5,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,5,12,16,7,3,0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,0,0,2,7,8,23,15,13,8,0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,3,15,24,15,10,5,2,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,5,3,8,6,17,4,0
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,1,0,1,20,17,10,10,17,43,64,205,363,438,400,327,128,0
,,,,,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,4,12,15,52,43,24,0
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,7,1,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,9,12,14,10,4,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,5,6,17,6,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0,1,0,1,0
Maule,07,Curico,07301,163626,0,0,0,1,3,3,6,3,12,9,10,11,19,42,148,189,256,68,0
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,1,0,0,0,3,15,29,26,7,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,12,17,18,27,37,21,0
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,11,11,21,25,15,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,12,2,0,3,13,13,27,25,6,0
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,2,4,9,18,20,2,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,6,5,41,54,20,8,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,4,5,4,5,6,2,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1,9,12,1,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,4,2,1,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,1,7,6,6,4,0
Maule,07,Retiro,07405,21071,0,0,1,0,0,0,0,0,1,0,0,1,0,1,17,41,12,4,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,1,8,3,1,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,5,12,19,21,6,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,7,14,4,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,8,6,13,18,20,37,17,0
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,7,4,7,4,3,7,8,9,21,38,10,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,5,10,28,7,16,2,0
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,12,21,50,73,78,138,74,0
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,3,4,7,11,2,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,8,14,3,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,2,0,4,9,12,21,12,1,0
Maule,07,Total,,1131939,0,0,2,4,12,26,51,48,66,160,48,51,113,236,485,701,832,298,0
,,,,,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,6,9,23,43,26,18,15,4,0
Nuble,16,Chillan,16101,198624,0,1,0,1,28,119,116,76,33,25,17,15,20,62,58,70,101,66,0
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,0,4,16,22,6,17,9,0
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,2,7,10,6,6,0
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,2,3,4,6,12,12,3,1,8,1,1,4,5,0
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,3,7,12,3,2,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,2,1,4,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,1,0,1,2,0,0,1,0,4,3,9,13,7,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0,4,2,4,0
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,3,0,2,1,0,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0
Nuble,16,Quillon,16107,18777,0,0,0,0,0,8,8,8,1,0,2,2,2,9,6,13,24,12,0
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,1,4,1,1,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,1,0,0,0,1,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,5,10,9,2,3,3,3,7,9,15,28,45,17,0
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,3,0,2,7,9,8,27,0
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,6,5,4,0,0,0,2,2,6,8,6,2,0
