Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27
Coquimbo,04,Ovalle,4301,121269.0,0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,5.0,1.0,15.0,32.0,47.0,58.0,114.0,171.0,181.0,146.0,81.0,1.0
Coquimbo,04,Paiguano,4105,4675.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0
Coquimbo,04,Punitaqui,4304,12165.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,4.0,16.0,2.0,7.0,5.0,6.0,0.0
Coquimbo,04,Rio Hurtado,4305,4372.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,0.0
Coquimbo,04,Salamanca,4204,29110.0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,15.0,14.0,3.0,3.0,2.0,0.0
Coquimbo,04,Vicuna,4106,29741.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,5.0,4.0,7.0,2.0,1.0,2.0,0.0
Coquimbo,04,Desconocido Coquimbo,,,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,10.0,8.0,9.0,29.0,19.0,66.0,3.0
Coquimbo,04,Total,,836096.0,0.0,0.0,0.0,0.0,7.0,22.0,19.0,16.0,14.0,17.0,17.0,73.0,197.0,220.0,272.0,497.0,525.0,576.0,604.0,471.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,5602,15174.0,0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,13.0,10.0,7.0,19.0,18.0,6.0,4.0,0.0
Valparaiso,05,Cabildo,5402,20663.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,6.0,7.0,16.0,20.0,36.0,34.0,30.0,0.0
Valparaiso,05,Calera,5502,53591.0,0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,7.0,2.0,2.0,7.0,18.0,20.0,23.0,51.0,59.0,81.0,55.0,1.0
Valparaiso,05,Calle Larga,5302,16482.0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,3.0,9.0,29.0,27.0,27.0,23.0,27.0,14.0,0.0
Valparaiso,05,Cartagena,5603,25357.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,12.0,7.0,17.0,10.0,16.0,20.0,20.0,12.0,1.0
Valparaiso,05,Casablanca,5102,29170.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,9.0,13.0,21.0,23.0,22.0,20.0,0.0
Valparaiso,05,Catemu,5702,15213.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,14.0,15.0,14.0,3.0,13.0,0.0
Valparaiso,05,Concon,5103,45889.0,0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,11.0,6.0,9.0,16.0,19.0,27.0,52.0,42.0,47.0,33.0,1.0
Valparaiso,05,El Quisco,5604,17742.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,5.0,9.0,14.0,15.0,15.0,18.0,11.0,7.0,8.0,0.0
Valparaiso,05,El Tabo,5605,14338.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,3.0,4.0,7.0,6.0,16.0,26.0,17.0,19.0,16.0,24.0,2.0
Valparaiso,05,Hijuelas,5503,19099.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,15.0,12.0,14.0,20.0,16.0,0.0
Valparaiso,05,Isla de Pascua,5201,8277.0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Juan Fernandez,5104,1033.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,La Cruz,5504,25321.0,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,8.0,7.0,4.0,5.0,12.0,15.0,12.0,12.0,13.0,0.0
Valparaiso,05,La Ligua,5401,37739.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,10.0,17.0,26.0,32.0,52.0,32.0,23.0,0.0
Valparaiso,05,Limache,5802,49931.0,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,6.0,1.0,7.0,24.0,31.0,25.0,37.0,84.0,99.0,103.0,53.0,2.0
Valparaiso,05,Llaillay,5703,26533.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,29.0,23.0,25.0,35.0,24.0,32.0,22.0,1.0
Valparaiso,05,Los Andes,5301,68093.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,10.0,21.0,57.0,84.0,94.0,140.0,117.0,108.0,66.0,3.0
Valparaiso,05,Nogales,5506,23490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,6.0,11.0,16.0,19.0,7.0,0.0
Valparaiso,05,Olmue,5803,19266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,11.0,7.0,12.0,20.0,13.0,6.0,0.0
Valparaiso,05,Panquehue,5704,7633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,4.0,15.0,7.0,10.0,8.0,0.0
Valparaiso,05,Papudo,5403,6201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,13.0,16.0,11.0,10.0,4.0,0.0
Valparaiso,05,Petorca,5404,10558.0,0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,4.0,5.0,13.0,7.0,0.0
Valparaiso,05,Puchuncavi,5105,20071.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,8.0,26.0,26.0,19.0,12.0,0.0
Valparaiso,05,Putaendo,5705,17645.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,7.0,7.0,7.0,14.0,29.0,27.0,24.0,24.0,0.0
Valparaiso,05,Quillota,5501,97572.0,0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,8.0,1.0,5.0,3.0,17.0,19.0,46.0,83.0,189.0,192.0,211.0,102.0,4.0
Valparaiso,05,Quilpue,5801,167085.0,0,0.0,0.0,1.0,3.0,3.0,9.0,6.0,5.0,5.0,12.0,19.0,47.0,77.0,79.0,109.0,157.0,156.0,204.0,94.0,6.0
Valparaiso,05,Quintero,5107,36135.0,0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,6.0,2.0,3.0,24.0,23.0,29.0,39.0,48.0,39.0,40.0,23.0,0.0
Valparaiso,05,Rinconada,5303,11263.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,14.0,18.0,15.0,19.0,20.0,22.0,14.0,0.0
Valparaiso,05,San Antonio,5601,96761.0,0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,22.0,38.0,67.0,61.0,99.0,95.0,139.0,141.0,125.0,97.0,67.0,1.0
Valparaiso,05,San Esteban,5304,20643.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,7.0,3.0,10.0,16.0,32.0,19.0,21.0,23.0,0.0
Valparaiso,05,San Felipe,5701,83494.0,0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,6.0,19.0,60.0,70.0,115.0,182.0,176.0,112.0,90.0,2.0
Valparaiso,05,Santa Maria,5706,16367.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,3.0,5.0,8.0,13.0,18.0,30.0,31.0,15.0,1.0
Valparaiso,05,Santo Domingo,5606,11934.0,0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,4.0,4.0,4.0,5.0,4.0,11.0,6.0,9.0,30.0,20.0,11.0,2.0,0.0
Valparaiso,05,Valparaiso,5101,315732.0,0,0.0,0.0,1.0,2.0,9.0,16.0,14.0,18.0,16.0,26.0,83.0,114.0,147.0,236.0,327.0,496.0,525.0,493.0,233.0,10.0
Valparaiso,05,Villa Alemana,5804,139310.0,0,0.0,0.0,0.0,1.0,8.0,4.0,3.0,0.0,1.0,5.0,30.0,40.0,50.0,65.0,123.0,178.0,185.0,196.0,64.0,1.0
Valparaiso,05,Vina del Mar,5109,361371.0,0,0.0,0.0,0.0,6.0,21.0,29.0,22.0,13.0,22.0,26.0,80.0,139.0,201.0,228.0,300.0,404.0,388.0,420.0,239.0,4.0
Valparaiso,05,Zapallar,5405,7994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,17.0,9.0,1.0
Valparaiso,05,Desconocido Valparaiso,,,0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,11.0,8.0,5.0,42.0,35.0,44.0,77.0,102.0,10.0
Valparaiso,05,Total,,1960170.0,0.0,0.0,2.0,4.0,15.0,76.0,111.0,106.0,90.0,108.0,161.0,379.0,636.0,1001.0,1249.0,1779.0,2618.0,2617.0,2630.0,1551.0,51.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,8.0,15.0,25.0,14.0,12.0,0.0
Metropolitana,13,Buin,13402,109641.0,0,0.0,0.0,0.0,0.0,5.0,17.0,10.0,15.0,18.0,19.0,62.0,136.0,189.0,228.0,217.0,281.0,266.0,196.0,115.0,2.0
Metropolitana,13,Calera de Tango,13403,28525.0,0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,19.0,32.0,36.0,69.0,69.0,72.0,53.0,54.0,0.0
Metropolitana,13,Cerrillos,13102,88956.0,0,0.0,1.0,3.0,1.0,4.0,11.0,14.0,20.0,21.0,68.0,226.0,203.0,276.0,313.0,272.0,347.0,333.0,229.0,124.0,2.0
Metropolitana,13,Cerro Navia,13103,142465.0,0,0.0,0.0,2.0,10.0,16.0,15.0,14.0,37.0,49.0,108.0,267.0,568.0,680.0,723.0,752.0,756.0,624.0,497.0,185.0,4.0
Metropolitana,13,Colina,13301,180353.0,0,0.0,1.0,3.0,7.0,28.0,16.0,25.0,18.0,22.0,36.0,134.0,369.0,538.0,609.0,613.0,603.0,418.0,326.0,174.0,5.0
Metropolitana,13,Conchali,13104,139195.0,0,0.0,0.0,3.0,2.0,17.0,14.0,19.0,40.0,73.0,133.0,379.0,632.0,712.0,665.0,644.0,647.0,556.0,445.0,206.0,2.0
Metropolitana,13,Curacavi,13503,36430.0,0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,4.0,1.0,4.0,18.0,40.0,70.0,95.0,139.0,104.0,102.0,67.0,40.0,1.0
Metropolitana,13,El Bosque,13105,172000.0,0,0.0,0.0,0.0,1.0,14.0,23.0,34.0,52.0,47.0,87.0,222.0,404.0,552.0,547.0,748.0,842.0,712.0,530.0,279.0,1.0
Metropolitana,13,El Monte,13602,40014.0,0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,4.0,3.0,7.0,16.0,39.0,74.0,142.0,100.0,124.0,126.0,148.0,54.0,2.0
Metropolitana,13,Estacion Central,13106,206792.0,0,0.0,0.0,2.0,3.0,11.0,28.0,34.0,40.0,81.0,170.0,367.0,567.0,670.0,676.0,738.0,698.0,561.0,432.0,202.0,1.0
Metropolitana,13,Huechuraba,13107,112528.0,0,0.0,0.0,0.0,5.0,20.0,10.0,19.0,20.0,34.0,57.0,201.0,371.0,499.0,451.0,418.0,388.0,283.0,296.0,110.0,3.0
Metropolitana,13,Independencia,13108,142065.0,0,0.0,0.0,0.0,4.0,16.0,10.0,26.0,50.0,146.0,308.0,569.0,785.0,771.0,761.0,727.0,564.0,440.0,313.0,140.0,5.0
Metropolitana,13,Isla de Maipo,13603,40171.0,0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,4.0,13.0,25.0,37.0,70.0,89.0,98.0,81.0,74.0,42.0,1.0
Metropolitana,13,La Cisterna,13109,100434.0,0,0.0,0.0,0.0,3.0,10.0,13.0,20.0,18.0,28.0,64.0,121.0,241.0,328.0,307.0,425.0,415.0,311.0,276.0,107.0,2.0
Metropolitana,13,La Florida,13110,402433.0,0,0.0,1.0,2.0,12.0,31.0,59.0,65.0,78.0,106.0,205.0,592.0,1022.0,1532.0,1716.0,1628.0,1672.0,1177.0,1035.0,566.0,11.0
Metropolitana,13,La Granja,13111,122557.0,0,0.0,0.0,0.0,1.0,6.0,16.0,35.0,22.0,21.0,72.0,270.0,614.0,917.0,1024.0,803.0,813.0,633.0,503.0,222.0,6.0
Metropolitana,13,La Pintana,13112,189335.0,0,0.0,0.0,1.0,3.0,9.0,21.0,34.0,49.0,94.0,153.0,321.0,668.0,879.0,1261.0,1368.0,1365.0,926.0,664.0,315.0,4.0
Metropolitana,13,La Reina,13113,100252.0,0,0.0,0.0,0.0,12.0,15.0,12.0,18.0,8.0,13.0,41.0,75.0,124.0,221.0,306.0,253.0,237.0,219.0,173.0,82.0,1.0
Metropolitana,13,Lampa,13302,126898.0,0,0.0,0.0,0.0,0.0,9.0,13.0,15.0,14.0,18.0,50.0,138.0,294.0,348.0,398.0,379.0,436.0,367.0,239.0,108.0,1.0
Metropolitana,13,Las Condes,13114,330759.0,0,1.0,1.0,18.0,60.0,128.0,69.0,42.0,38.0,34.0,74.0,241.0,490.0,680.0,744.0,675.0,557.0,484.0,341.0,186.0,3.0
Metropolitana,13,Lo Barnechea,13115,124076.0,0,0.0,0.0,2.0,14.0,55.0,30.0,23.0,37.0,40.0,66.0,150.0,262.0,399.0,412.0,359.0,326.0,303.0,120.0,65.0,1.0
Metropolitana,13,Lo Espejo,13116,103865.0,0,0.0,1.0,0.0,1.0,5.0,9.0,25.0,30.0,21.0,69.0,165.0,345.0,428.0,380.0,522.0,562.0,393.0,354.0,182.0,4.0
Metropolitana,13,Lo Prado,13117,104403.0,0,0.0,0.0,0.0,4.0,6.0,20.0,16.0,24.0,31.0,105.0,197.0,350.0,492.0,505.0,609.0,525.0,477.0,366.0,145.0,0.0
Metropolitana,13,Macul,13118,134635.0,0,0.0,0.0,1.0,3.0,16.0,23.0,20.0,14.0,23.0,79.0,190.0,436.0,533.0,631.0,551.0,628.0,454.0,368.0,162.0,5.0
Metropolitana,13,Maipu,13119,578605.0,0,0.0,0.0,1.0,13.0,50.0,73.0,83.0,96.0,117.0,156.0,427.0,901.0,1314.0,1548.0,1679.0,1818.0,1619.0,1176.0,583.0,12.0
Metropolitana,13,Maria Pinto,13504,14926.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,18.0,24.0,36.0,37.0,38.0,27.0,26.0,31.0,0.0
Metropolitana,13,Melipilla,13501,141612.0,0,0.0,0.0,1.0,1.0,6.0,5.0,5.0,8.0,24.0,36.0,86.0,104.0,211.0,348.0,478.0,472.0,409.0,417.0,195.0,2.0
Metropolitana,13,Nunoa,13120,250192.0,0,0.0,1.0,1.0,27.0,55.0,43.0,49.0,47.0,67.0,70.0,152.0,364.0,534.0,747.0,657.0,666.0,554.0,411.0,226.0,5.0
Metropolitana,13,Padre Hurtado,13604,74188.0,0,0.0,0.0,1.0,0.0,5.0,10.0,5.0,13.0,10.0,16.0,60.0,98.0,169.0,229.0,232.0,276.0,230.0,175.0,109.0,1.0
Metropolitana,13,Paine,13404,82766.0,0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,8.0,3.0,6.0,29.0,82.0,87.0,132.0,152.0,270.0,235.0,194.0,130.0,0.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,0,0.0,0.0,0.0,3.0,6.0,15.0,25.0,47.0,32.0,72.0,180.0,364.0,424.0,385.0,503.0,575.0,428.0,329.0,139.0,1.0
Metropolitana,13,Penaflor,13605,101058.0,0,0.0,1.0,2.0,5.0,3.0,9.0,6.0,9.0,15.0,28.0,56.0,109.0,205.0,307.0,310.0,337.0,344.0,302.0,128.0,2.0
Metropolitana,13,Penalolen,13122,266798.0,0,0.0,1.0,2.0,9.0,30.0,35.0,41.0,52.0,71.0,123.0,397.0,972.0,1314.0,1627.0,1568.0,1422.0,1090.0,797.0,397.0,4.0
Metropolitana,13,Pirque,13202,30433.0,0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,17.0,38.0,58.0,71.0,161.0,149.0,117.0,113.0,82.0,54.0,0.0
