Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,29.0,39.0,55.0,81.0,226.0,407.0,692.0,869.0,830.0,802.0,747.0,604.0,341.0,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,2101,425725.0,0,0.0,0.0,1.0,2.0,28.0,31.0,41.0,60.0,109.0,160.0,215.0,307.0,310.0,302.0,345.0,459.0,573.0,621.0,348.0,9.0
Antofagasta,02,Calama,2201,190336.0,0,0.0,1.0,0.0,2.0,3.0,3.0,8.0,17.0,17.0,40.0,53.0,89.0,231.0,278.0,434.0,772.0,906.0,758.0,374.0,9.0
Antofagasta,02,Maria Elena,2302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,45.0,42.0,30.0,13.0,12.0,10.0,7.0,36.0,13.0,1.0
Antofagasta,02,Mejillones,2102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,18.0,30.0,76.0,45.0,51.0,19.0,19.0,10.0,17.0,34.0,26.0,0.0
Antofagasta,02,Ollague,2202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,2203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,15.0,18.0,25.0,21.0,0.0
Antofagasta,02,Sierra Gorda,2103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,1.0,0.0
Antofagasta,02,Taltal,2104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,6.0,9.0,9.0,3.0,0.0
Antofagasta,02,Tocopilla,2301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,7.0,8.0,8.0,2.0,5.0,13.0,30.0,15.0,0.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,35.0,36.0,64.0,105.0,155.0,249.0,395.0,498.0,649.0,633.0,837.0,1283.0,1553.0,1520.0,801.0,19.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,3302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
Atacama,03,Caldera,3102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,13.0,0.0
Atacama,03,Chanaral,3201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,11.0,2.0,0.0
Atacama,03,Copiapo,3101,171766.0,0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,12.0,27.0,27.0,14.0,26.0,57.0,111.0,118.0,140.0,105.0,3.0
Atacama,03,Diego de Almagro,3202,14358.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,4.0,8.0,4.0,2.0,0.0
Atacama,03,Freirina,3303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,0.0
Atacama,03,Huasco,3304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,5.0,0.0
Atacama,03,Tierra Amarilla,3103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,1.0,10.0,15.0,11.0,3.0,0.0
Atacama,03,Vallenar,3301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,11.0,9.0,13.0,2.0,6.0,15.0,27.0,51.0,65.0,45.0,0.0
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Total,,314709.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,8.0,10.0,25.0,45.0,53.0,23.0,37.0,85.0,167.0,210.0,246.0,178.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,4103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,6.0,5.0,0.0,5.0,6.0,0.0
Coquimbo,04,Canela,4202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,6.0,0.0
Coquimbo,04,Combarbala,4302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,7.0,0.0,0.0
Coquimbo,04,Coquimbo,4102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,1.0,1.0,6.0,7.0,16.0,78.0,82.0,62.0,136.0,130.0,144.0,152.0,117.0,1.0
Coquimbo,04,Illapel,4201,32801.0,0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,19.0,14.0,17.0,19.0,30.0,0.0
Coquimbo,04,La Higuera,4104,4450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Coquimbo,04,La Serena,4101,249656.0,0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,3.0,3.0,5.0,14.0,50.0,46.0,66.0,96.0,109.0,119.0,172.0,95.0,1.0
Coquimbo,04,Los Vilos,4203,23374.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,7.0,12.0,10.0,0.0
Coquimbo,04,Monte Patria,4303,32527.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,18.0,25.0,25.0,23.0,39.0,18.0,18.0,0.0
Coquimbo,04,Ovalle,4301,121269.0,0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,5.0,1.0,13.0,25.0,43.0,55.0,105.0,150.0,147.0,99.0,53.0,0.0
Coquimbo,04,Paiguano,4105,4675.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Coquimbo,04,Punitaqui,4304,12165.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,4.0,14.0,2.0,7.0,5.0,6.0,0.0
Coquimbo,04,Rio Hurtado,4305,4372.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,6.0,1.0,0.0,0.0,0.0
Coquimbo,04,Salamanca,4204,29110.0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,14.0,13.0,3.0,1.0,1.0,0.0
Coquimbo,04,Vicuna,4106,29741.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0
Coquimbo,04,Desconocido Coquimbo,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,04,Total,,836096.0,0.0,0.0,0.0,0.0,6.0,21.0,19.0,15.0,13.0,16.0,15.0,60.0,183.0,204.0,239.0,437.0,469.0,488.0,492.0,343.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,5602,15174.0,0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,13.0,9.0,7.0,17.0,16.0,6.0,4.0,0.0
Valparaiso,05,Cabildo,5402,20663.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,6.0,7.0,12.0,14.0,33.0,27.0,21.0,0.0
Valparaiso,05,Calera,5502,53591.0,0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,7.0,2.0,2.0,7.0,18.0,20.0,22.0,46.0,50.0,60.0,47.0,0.0
Valparaiso,05,Calle Larga,5302,16482.0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,3.0,9.0,28.0,25.0,27.0,23.0,20.0,11.0,0.0
Valparaiso,05,Cartagena,5603,25357.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,12.0,7.0,16.0,10.0,12.0,18.0,18.0,9.0,1.0
Valparaiso,05,Casablanca,5102,29170.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,8.0,13.0,18.0,12.0,9.0,10.0,0.0
Valparaiso,05,Catemu,5702,15213.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,14.0,14.0,12.0,3.0,8.0,0.0
Valparaiso,05,Concon,5103,45889.0,0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,11.0,6.0,9.0,16.0,18.0,23.0,34.0,36.0,41.0,19.0,0.0
Valparaiso,05,El Quisco,5604,17742.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,5.0,9.0,14.0,15.0,15.0,18.0,10.0,6.0,6.0,0.0
Valparaiso,05,El Tabo,5605,14338.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,3.0,4.0,7.0,6.0,16.0,21.0,10.0,13.0,8.0,13.0,1.0
Valparaiso,05,Hijuelas,5503,19099.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,15.0,10.0,11.0,15.0,15.0,0.0
Valparaiso,05,Isla de Pascua,5201,8277.0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Juan Fernandez,5104,1033.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,La Cruz,5504,25321.0,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,8.0,7.0,4.0,5.0,11.0,15.0,10.0,8.0,11.0,0.0
Valparaiso,05,La Ligua,5401,37739.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,16.0,26.0,24.0,37.0,21.0,12.0,0.0
Valparaiso,05,Limache,5802,49931.0,0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,9.0,6.0,1.0,7.0,23.0,31.0,24.0,34.0,57.0,58.0,68.0,34.0,0.0
Valparaiso,05,Llaillay,5703,26533.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,29.0,23.0,21.0,28.0,18.0,17.0,10.0,0.0
Valparaiso,05,Los Andes,5301,68093.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,9.0,20.0,56.0,80.0,84.0,123.0,92.0,84.0,49.0,2.0
Valparaiso,05,Nogales,5506,23490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,6.0,10.0,15.0,15.0,3.0,0.0
Valparaiso,05,Olmue,5803,19266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,11.0,6.0,11.0,13.0,11.0,3.0,0.0
Valparaiso,05,Panquehue,5704,7633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,7.0,0.0
Valparaiso,05,Papudo,5403,6201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,12.0,13.0,8.0,6.0,2.0,0.0
Valparaiso,05,Petorca,5404,10558.0,0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,9.0,4.0,5.0,9.0,4.0,0.0
Valparaiso,05,Puchuncavi,5105,20071.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,8.0,21.0,19.0,16.0,8.0,0.0
Valparaiso,05,Putaendo,5705,17645.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,7.0,7.0,7.0,14.0,26.0,25.0,22.0,17.0,0.0
Valparaiso,05,Quillota,5501,97572.0,0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,8.0,1.0,5.0,3.0,17.0,18.0,38.0,59.0,129.0,112.0,132.0,60.0,1.0
Valparaiso,05,Quilpue,5801,167085.0,0,0.0,0.0,1.0,3.0,3.0,9.0,6.0,5.0,5.0,12.0,19.0,46.0,76.0,76.0,75.0,102.0,93.0,119.0,56.0,6.0
Valparaiso,05,Quintero,5107,36135.0,0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,6.0,2.0,3.0,23.0,23.0,29.0,37.0,45.0,30.0,28.0,21.0,0.0
Valparaiso,05,Rinconada,5303,11263.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,17.0,15.0,17.0,19.0,12.0,7.0,0.0
Valparaiso,05,San Antonio,5601,96761.0,0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,22.0,38.0,66.0,61.0,99.0,95.0,135.0,140.0,123.0,90.0,62.0,1.0
Valparaiso,05,San Esteban,5304,20643.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,3.0,10.0,15.0,23.0,14.0,12.0,15.0,0.0
Valparaiso,05,San Felipe,5701,83494.0,0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,6.0,17.0,60.0,70.0,100.0,135.0,127.0,73.0,56.0,1.0
Valparaiso,05,Santa Maria,5706,16367.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,3.0,5.0,8.0,12.0,15.0,22.0,16.0,11.0,0.0
Valparaiso,05,Santo Domingo,5606,11934.0,0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,4.0,4.0,4.0,5.0,4.0,11.0,6.0,9.0,28.0,16.0,11.0,2.0,0.0
Valparaiso,05,Valparaiso,5101,315732.0,0,0.0,0.0,1.0,2.0,9.0,16.0,14.0,18.0,16.0,26.0,83.0,113.0,143.0,224.0,278.0,346.0,314.0,282.0,133.0,3.0
Valparaiso,05,Villa Alemana,5804,139310.0,0,0.0,0.0,0.0,1.0,8.0,4.0,3.0,0.0,1.0,5.0,30.0,40.0,49.0,63.0,100.0,94.0,94.0,107.0,31.0,0.0
Valparaiso,05,Vina del Mar,5109,361371.0,0,0.0,0.0,0.0,6.0,21.0,29.0,22.0,13.0,22.0,25.0,79.0,137.0,199.0,222.0,265.0,306.0,272.0,283.0,143.0,1.0
Valparaiso,05,Zapallar,5405,7994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,14.0,4.0,0.0
Valparaiso,05,Desconocido Valparaiso,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,05,Total,,1960170.0,0.0,0.0,2.0,4.0,15.0,73.0,108.0,100.0,88.0,105.0,160.0,376.0,614.0,982.0,1199.0,1513.0,1942.0,1776.0,1677.0,924.0,17.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,8.0,14.0,18.0,8.0,8.0,0.0
Metropolitana,13,Buin,13402,109641.0,0,0.0,0.0,0.0,0.0,5.0,17.0,10.0,15.0,18.0,19.0,61.0,135.0,188.0,223.0,186.0,205.0,192.0,162.0,89.0,1.0
Metropolitana,13,Calera de Tango,13403,28525.0,0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,18.0,30.0,34.0,55.0,57.0,42.0,42.0,29.0,0.0
Metropolitana,13,Cerrillos,13102,88956.0,0,0.0,1.0,3.0,1.0,4.0,11.0,14.0,20.0,21.0,68.0,220.0,199.0,273.0,308.0,227.0,254.0,253.0,191.0,96.0,1.0
Metropolitana,13,Cerro Navia,13103,142465.0,0,0.0,0.0,1.0,10.0,16.0,15.0,14.0,37.0,49.0,108.0,265.0,557.0,657.0,692.0,686.0,671.0,517.0,393.0,123.0,3.0
Metropolitana,13,Colina,13301,180353.0,0,0.0,1.0,3.0,7.0,28.0,16.0,25.0,18.0,22.0,35.0,133.0,360.0,531.0,595.0,564.0,532.0,354.0,271.0,146.0,4.0
Metropolitana,13,Conchali,13104,139195.0,0,0.0,0.0,1.0,2.0,17.0,14.0,19.0,39.0,72.0,131.0,373.0,613.0,694.0,652.0,579.0,518.0,427.0,311.0,141.0,1.0
Metropolitana,13,Curacavi,13503,36430.0,0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,4.0,1.0,4.0,18.0,40.0,68.0,95.0,131.0,94.0,78.0,47.0,28.0,0.0
Metropolitana,13,El Bosque,13105,172000.0,0,0.0,0.0,0.0,1.0,14.0,22.0,32.0,52.0,47.0,86.0,215.0,396.0,541.0,524.0,664.0,661.0,557.0,409.0,219.0,1.0
Metropolitana,13,El Monte,13602,40014.0,0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,4.0,3.0,7.0,16.0,38.0,73.0,139.0,99.0,117.0,116.0,127.0,44.0,1.0
Metropolitana,13,Estacion Central,13106,206792.0,0,0.0,0.0,1.0,3.0,11.0,28.0,34.0,40.0,81.0,170.0,365.0,563.0,657.0,650.0,667.0,577.0,439.0,336.0,166.0,1.0
Metropolitana,13,Huechuraba,13107,112528.0,0,0.0,0.0,0.0,5.0,20.0,10.0,19.0,20.0,34.0,56.0,195.0,365.0,491.0,431.0,382.0,340.0,248.0,239.0,90.0,0.0
Metropolitana,13,Independencia,13108,142065.0,0,0.0,0.0,0.0,4.0,16.0,10.0,26.0,50.0,146.0,305.0,562.0,770.0,763.0,742.0,688.0,491.0,358.0,264.0,115.0,4.0
Metropolitana,13,Isla de Maipo,13603,40171.0,0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,4.0,11.0,25.0,34.0,66.0,87.0,80.0,75.0,62.0,31.0,0.0
Metropolitana,13,La Cisterna,13109,100434.0,0,0.0,0.0,0.0,3.0,10.0,12.0,18.0,18.0,28.0,64.0,120.0,239.0,322.0,296.0,378.0,334.0,245.0,228.0,77.0,1.0
Metropolitana,13,La Florida,13110,402433.0,0,0.0,1.0,2.0,12.0,31.0,59.0,64.0,76.0,106.0,204.0,586.0,1015.0,1520.0,1690.0,1476.0,1407.0,964.0,784.0,400.0,7.0
Metropolitana,13,La Granja,13111,122557.0,0,0.0,0.0,0.0,1.0,6.0,15.0,35.0,22.0,21.0,72.0,265.0,612.0,907.0,1008.0,708.0,630.0,474.0,317.0,137.0,1.0
Metropolitana,13,La Pintana,13112,189335.0,0,0.0,0.0,1.0,3.0,9.0,21.0,33.0,48.0,94.0,152.0,319.0,661.0,868.0,1198.0,1210.0,977.0,612.0,452.0,204.0,3.0
Metropolitana,13,La Reina,13113,100252.0,0,0.0,0.0,0.0,12.0,15.0,12.0,18.0,8.0,13.0,40.0,75.0,124.0,219.0,299.0,225.0,178.0,142.0,129.0,59.0,1.0
Metropolitana,13,Lampa,13302,126898.0,0,0.0,0.0,0.0,0.0,9.0,13.0,15.0,14.0,18.0,50.0,134.0,285.0,343.0,391.0,346.0,366.0,305.0,191.0,87.0,1.0
Metropolitana,13,Las Condes,13114,330759.0,0,1.0,0.0,18.0,59.0,128.0,69.0,41.0,35.0,33.0,74.0,241.0,489.0,674.0,726.0,631.0,491.0,414.0,292.0,159.0,3.0
Metropolitana,13,Lo Barnechea,13115,124076.0,0,0.0,0.0,2.0,14.0,55.0,30.0,23.0,37.0,40.0,66.0,150.0,260.0,399.0,410.0,340.0,299.0,277.0,107.0,53.0,0.0
Metropolitana,13,Lo Espejo,13116,103865.0,0,0.0,0.0,0.0,1.0,5.0,9.0,25.0,30.0,21.0,69.0,162.0,341.0,420.0,369.0,463.0,463.0,325.0,300.0,153.0,4.0
Metropolitana,13,Lo Prado,13117,104403.0,0,0.0,0.0,0.0,4.0,6.0,20.0,16.0,24.0,31.0,104.0,191.0,343.0,473.0,496.0,565.0,463.0,411.0,279.0,109.0,0.0
Metropolitana,13,Macul,13118,134635.0,0,0.0,0.0,1.0,3.0,16.0,23.0,20.0,14.0,23.0,79.0,189.0,432.0,523.0,605.0,456.0,448.0,296.0,256.0,97.0,3.0
Metropolitana,13,Maipu,13119,578605.0,0,0.0,0.0,0.0,13.0,50.0,73.0,82.0,95.0,117.0,155.0,415.0,896.0,1295.0,1479.0,1436.0,1416.0,1183.0,886.0,430.0,4.0
Metropolitana,13,Maria Pinto,13504,14926.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,18.0,24.0,36.0,36.0,15.0,16.0,14.0,18.0,0.0
Metropolitana,13,Melipilla,13501,141612.0,0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,8.0,24.0,36.0,84.0,100.0,201.0,323.0,459.0,410.0,350.0,362.0,159.0,2.0
Metropolitana,13,Nunoa,13120,250192.0,0,0.0,1.0,1.0,27.0,54.0,43.0,47.0,47.0,67.0,70.0,149.0,359.0,531.0,727.0,587.0,537.0,441.0,321.0,183.0,4.0
Metropolitana,13,Padre Hurtado,13604,74188.0,0,0.0,0.0,1.0,0.0,5.0,10.0,5.0,13.0,10.0,16.0,59.0,94.0,163.0,216.0,206.0,230.0,186.0,152.0,87.0,1.0
Metropolitana,13,Paine,13404,82766.0,0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,8.0,3.0,6.0,27.0,80.0,80.0,110.0,94.0,158.0,148.0,124.0,72.0,0.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,0,0.0,0.0,0.0,3.0,6.0,15.0,25.0,46.0,32.0,72.0,174.0,356.0,409.0,350.0,428.0,452.0,312.0,242.0,108.0,1.0
Metropolitana,13,Penaflor,13605,101058.0,0,0.0,1.0,1.0,5.0,3.0,9.0,6.0,9.0,15.0,28.0,55.0,105.0,202.0,302.0,272.0,272.0,228.0,207.0,75.0,1.0
Metropolitana,13,Penalolen,13122,266798.0,0,0.0,1.0,2.0,9.0,30.0,35.0,39.0,52.0,69.0,121.0,396.0,952.0,1300.0,1558.0,1378.0,1024.0,785.0,609.0,278.0,3.0
Metropolitana,13,Pirque,13202,30433.0,0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,17.0,37.0,57.0,70.0,159.0,104.0,66.0,66.0,37.0,30.0,0.0
