Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,26,27,14,22,6
Atacama,03,Diego de Almagro,03202,14358,0,0,0,0,0,0,1,0,0,0,0,1,1,4,3,2
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,10,1,0,1
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,11,9,13,2,4,1
Atacama,03,Total,,314709,0,0,0,0,1,0,3,3,8,10,25,44,53,22,31,10
,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,1
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,1,4,7,14,76,56,12,1
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,0,2,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,1,3,6,4,2,2,5,13,47,34,23,5
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,6,14,7,1
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,2,2,4,1,0,1,1,12,21,35,14,4
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,6,0,1,1
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,1,1,2,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,1,2,5,3,3,0
Coquimbo,04,Total,,836096,0,0,0,0,7,21,19,14,12,9,15,55,172,150,65,13
,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,11,4,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,2,4,4,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,2,6,14,7,0
Valparaiso,05,Calle Larga,05302,16482,0,0,0,0,0,0,0,2,3,1,0,3,3,8,16,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,3,5,5,12,7,8,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,1,0,1,1,0,0,0,8,8,4,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,6,8,11,5,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,10,12,6,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,7,6,7,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,7,6,3,1,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,0,8,3,1
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,23,26,6,0
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,5,27,15,1
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,7,19,49,43,1
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,1
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,2,0,0,0,0,2,5,6,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,4,3,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,6,7,2,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,4,7,3,6,1,5,3,16,15,5,0
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,4,5,12,17,43,58,20,7
Valparaiso,05,Quintero,05107,36135,0,0,0,0,0,3,1,0,0,6,2,3,21,15,5,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,2,13,8,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,10,22,38,67,61,84,54,4
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,6,3,4,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,4,15,55,28,1
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,1,5,11,2,5,4,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,2,0,6,4,4,4,4,3,9,0,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,10,16,12,18,14,28,82,107,113,75,4
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,6,27,35,47,16,1
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,27,21,12,19,21,70,136,161,84,11
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Valparaiso,05,Total,,1960170,0,0,0,4,15,73,103,96,82,101,158,351,581,819,457,34
,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,9,14,17,18,56,120,147,64,4
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,5,15,22,21,4
Metropolitana,13,Cerrillos,13102,88956,0,0,0,1,2,4,10,13,19,20,63,206,185,236,111,6
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,9,13,13,13,38,42,84,213,417,262,118,8
Metropolitana,13,Colina,13301,180353,0,0,1,4,6,28,15,19,16,20,33,122,309,406,244,36
Metropolitana,13,Conchali,13104,139195,0,0,0,1,1,16,12,18,34,68,123,329,506,471,176,18
Metropolitana,13,Curacavi,13503,36430,0,0,0,0,1,2,4,4,4,0,4,18,40,61,54,11
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,2,14,21,28,46,44,81,199,358,413,199,43
Metropolitana,13,El Monte,13602,40014,0,0,0,0,1,1,1,7,4,2,8,13,35,20,23,2
Metropolitana,13,Estacion Central,13106,206792,0,0,0,2,3,12,27,33,39,78,163,338,515,528,235,13
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,5,18,7,16,17,29,47,175,288,298,98,7
Metropolitana,13,Independencia,13108,142065,0,0,0,1,5,14,9,24,46,142,294,505,624,555,305,42
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,3,8,20,13,9,1
Metropolitana,13,La Cisterna,13109,100434,0,0,0,0,1,10,11,18,19,24,58,115,214,262,102,11
Metropolitana,13,La Florida,13110,402433,0,0,0,2,12,28,57,60,67,94,174,506,905,1250,742,30
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,7,13,30,20,17,64,240,531,760,513,10
Metropolitana,13,La Pintana,13112,189335,0,0,0,0,3,9,17,31,45,86,142,282,579,706,468,11
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,12,16,7,11,36,70,118,181,159,8
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,14,12,18,41,110,251,231,145,21
Metropolitana,13,Las Condes,13114,330759,0,1,0,19,59,121,65,37,35,27,65,221,444,587,402,58
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,52,28,17,36,35,63,131,226,272,162,22
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,4,7,25,27,22,56,150,317,341,100,11
Metropolitana,13,Lo Prado,13117,104403,0,0,0,1,2,5,19,13,21,30,98,148,266,191,91,15
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,15,21,17,13,20,78,169,394,458,209,14
Metropolitana,13,Maipu,13119,578605,0,0,0,0,13,48,68,75,76,111,130,325,757,985,578,27
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,1,10,9,3,2
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,4,5,5,8,21,32,67,86,127,140,36
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,53,37,46,45,65,64,138,335,462,357,31
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,11,7,15,44,77,73,50,3
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,3,0,4,4,3,5,24,76,71,56,1
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,4,5,15,23,45,32,72,161,326,326,131,9
Metropolitana,13,Penaflor,13605,101058,0,0,1,1,5,3,9,5,9,14,26,41,88,96,59,6
Metropolitana,13,Penalolen,13122,266798,0,0,0,3,9,26,34,37,50,66,117,366,866,1158,734,39
Metropolitana,13,Pirque,13202,30433,0,0,0,0,3,1,4,1,5,3,15,32,41,53,72,1
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,61,20,22,30,33,34,88,219,269,218,45
Metropolitana,13,Pudahuel,13124,253139,0,0,1,1,2,19,23,31,35,41,125,272,511,412,236,19
Metropolitana,13,Puente Alto,13201,645909,0,0,1,2,8,57,96,159,181,249,267,727,1326,1733,921,43
Metropolitana,13,Quilicura,13125,254694,0,0,0,6,4,20,25,41,41,128,272,463,569,683,367,25
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,5,13,25,36,49,49,97,224,354,267,123,11
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,15,19,32,45,105,271,673,1005,770,302,45
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,12,7,33,61,100,231,471,269,166,13
Metropolitana,13,San Bernardo,13401,334836,0,0,1,2,6,20,36,65,72,119,148,302,606,707,425,30
Metropolitana,13,San Joaquin,13129,103485,0,0,0,1,1,14,22,14,37,40,77,210,475,513,185,14
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,21,38,52,63,0
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,25,21,25,44,47,72,177,385,410,218,17
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,10,7,8,5,0,1
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,5,11,10,11,40,87,234,432,479,231,2
Metropolitana,13,Santiago,13101,503147,0,0,1,2,28,95,95,135,155,168,350,869,1507,1349,808,55
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,7,7,4,10,8,34,47,58,41,4
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,7,29,35,28,3
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,31,46,29,13,5,5,13,53,141,181,107,15
Metropolitana,13,Total,,8125072,0,2,7,68,334,958,1028,1271,1581,2272,4213,10120,18466,20223,11370,903
,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,1,5,7,1,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,1
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,7,2,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,4,9,12,5,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,17,5,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,2,1,2,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,3,7,12,7,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,2,4,5,2,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,5,2,0,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,8,2,3,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,1,0,0,8,4,6,3,7,10,24,73,132,53,5
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,2,5,10,7,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,5,4,2
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,0,0,2,6,7,5,1
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,3,14,18,1,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,4,4,2,0
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,1,0,1,20,15,10,10,17,43,59,189,293,105,10
,,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,3,11,10,6
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,10,11,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,5,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0,0
Maule,07,Curico,07301,163626,0,0,0,1,3,3,6,3,12,9,10,9,17,41,109,8
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,2
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,12,17,12,4
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,9,5,2
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,12,2,0,3,12,9,2
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,1,4,8,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,6,5,35,1
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,4,5,3,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,1,5,0
Maule,07,Retiro,07405,21071,0,0,0,0,0,0,0,0,1,0,0,1,0,1,9,1
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,1,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,1,4,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,8,6,13,17,1
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,6,4,7,4,3,8,8,7,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,5,9,28,0
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,12,21,48,59,10
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,3,2,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,2,0,4,9,8,0
Maule,07,Total,,1131939,0,0,1,4,12,26,51,47,66,160,48,48,109,225,371,39
,,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,6,9,23,43,21,6
Nuble,16,Chillan,16101,198624,0,1,0,1,28,119,116,76,33,25,17,15,20,62,51,19
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,0,4,16,20,1
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,2,6,6
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,2,3,4,6,12,12,3,1,8,1,1
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,3,5,4
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,0,0,1,2,0,0,0,0,4,2,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0,1
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,3,0,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0
Nuble,16,Quillon,16107,18777,0,0,0,0,0,8,8,8,1,0,2,2,2,9,6,7
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,0,1
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,5,10,9,2,3,3,3,5,9,11,5
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,3,0,2,7,3
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,6,4,4,0,0,0,2,2,5,1
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,3,16,21,3,4,6,2,2,2,0,3
Nuble,16,Total,,511551,0,1,0,1,35,167,219,164,74,60,50,38,71,176,138,58
,,,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,13
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,9
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,13,14,2
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,4,2,2,0
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
Biobio,08,Chiguayante,08103,91180,0,0,0,0,5,5,9,16,11,10,11,8,6,7,5,4
Biobio,08,Concepcion,08101,238092,0,0,1,1,6,28,28,22,21,18,14,19,18,18,73,17
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Coronel,08102,125829,0,0,0,0,1,6,6,4,1,0,5,2,14,14,37,21
Biobio,08,Curanilahue,08205,33892,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0
Biobio,08,Florida,08104,11841,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0
Biobio,08,Hualpen,08112,97273,0,0,0,0,3,24,33,27,17,8,2,5,11,9,11,2
Biobio,08,Hualqui,08105,26201,0,0,0,0,1,1,2,3,4,9,0,0,2,4,11,5
Biobio,08,Laja,08304,23873,0,0,0,1,1,0,3,1,1,1,5,1,17,20,7,1
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Biobio,08,Los Alamos,08206,22524,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Biobio,08,Los Angeles,08301,218515,0,0,0,0,4,7,9,6,5,3,0,3,31,59,69,12
Biobio,08,Lota,08106,45750,0,0,0,0,0,1,0,0,0,0,0,1,16,9,13,4
Biobio,08,Mulchen,08305,31041,0,0,0,0,0,1,4,0,0,0,0,2,3,1,1,2
Biobio,08,Nacimiento,08306,27944,0,0,0,0,0,2,3,3,2,0,1,3,8,4,7,2
Biobio,08,Negrete,08307,10429,0,0,0,0,0,0,0,2,0,0,0,0,7,12,8,1
Biobio,08,Penco,08107,49865,0,0,0,0,0,1,3,3,3,8,0,2,1,2,6,4
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Quilleco,08309,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
