Region,Serie,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-15,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-01,2020-08-08,2020-08-14
Atacama,Camas UCI ocupadas COVID-19,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,6.0,7.0,11.0,10.0,9.0,8.0,7.0,8.0,6.0,10.0
Coquimbo,Camas UCI ocupadas COVID-19,0.0,0.0,0.0,0.0,1.0,4.0,11.0,10.0,16.0,19.0,30.0,42.0,31.0,35.0,34.0,40.0,42.0,44.0
Valparaíso,Camas UCI ocupadas COVID-19,22.0,14.0,17.0,18.0,27.0,50.0,95.0,91.0,106.0,129.0,137.0,140.0,139.0,125.0,119.0,112.0,96.0,95.0
Metropolitana,Camas UCI ocupadas COVID-19,186.0,248.0,289.0,415.0,595.0,851.0,1033.0,1174.0,1270.0,1459.0,1533.0,1485.0,1429.0,1223.0,1069.0,953.0,842.0,792.0
O’Higgins,Camas UCI ocupadas COVID-19,4.0,4.0,5.0,5.0,10.0,26.0,40.0,36.0,42.0,59.0,94.0,101.0,89.0,71.0,64.0,50.0,45.0,47.0
Maule,Camas UCI ocupadas COVID-19,15.0,10.0,8.0,4.0,8.0,18.0,38.0,42.0,48.0,61.0,55.0,59.0,56.0,50.0,52.0,36.0,30.0,30.0
Ñuble,Camas UCI ocupadas COVID-19,14.0,10.0,9.0,8.0,5.0,9.0,10.0,13.0,10.0,18.0,13.0,11.0,11.0,10.0,12.0,8.0,9.0,13.0
Biobío,Camas UCI ocupadas COVID-19,26.0,23.0,20.0,19.0,14.0,22.0,30.0,47.0,72.0,68.0,69.0,66.0,74.0,70.0,73.0,68.0,80.0,72.0
Araucanía,Camas UCI ocupadas COVID-19,44.0,38.0,27.0,23.0,17.0,19.0,19.0,16.0,17.0,15.0,17.0,14.0,9.0,6.0,11.0,11.0,9.0,6.0
Los Ríos,Camas UCI ocupadas COVID-19,7.0,7.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,6.0,8.0,6.0,6.0,3.0,2.0,2.0,3.0,2.0
Los Lagos,Camas UCI ocupadas COVID-19,25.0,17.0,17.0,10.0,9.0,10.0,14.0,17.0,18.0,23.0,27.0,15.0,21.0,18.0,20.0,21.0,18.0,18.0
Aysén,Camas UCI ocupadas COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Magallanes,Camas UCI ocupadas COVID-19,18.0,17.0,18.0,15.0,11.0,7.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,6.0,4.0
Total,Camas UCI ocupadas COVID-19,373.0,415.0,449.0,565.0,769.0,1090.0,1383.0,1558.0,1723.0,1996.0,2129.0,2078.0,1995.0,1764.0,1592.0,1445.0,1305.0,1252.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,8.0,3.0,5.0,5.0,6.0,4.0,2.0,5.0,7.0,7.0,5.0,13.0,10.0,3.0,3.0,1.0,5.0,3.0
Tarapacá,Camas UCI ocupadas no COVID-19,4.0,4.0,4.0,4.0,10.0,4.0,5.0,1.0,5.0,1.0,7.0,9.0,4.0,3.0,1.0,2.0,2.0,4.0
Antofagasta,Camas UCI ocupadas no COVID-19,40.0,47.0,36.0,34.0,40.0,53.0,57.0,50.0,51.0,56.0,51.0,51.0,61.0,54.0,49.0,48.0,51.0,46.0
Atacama,Camas UCI ocupadas no COVID-19,4.0,4.0,7.0,6.0,7.0,6.0,6.0,5.0,8.0,7.0,3.0,2.0,3.0,9.0,10.0,7.0,9.0,11.0
Coquimbo,Camas UCI ocupadas no COVID-19,30.0,27.0,27.0,26.0,34.0,33.0,35.0,37.0,31.0,34.0,19.0,22.0,31.0,31.0,32.0,31.0,26.0,20.0
Valparaíso,Camas UCI ocupadas no COVID-19,79.0,81.0,78.0,84.0,78.0,76.0,58.0,72.0,66.0,44.0,41.0,62.0,66.0,83.0,80.0,76.0,89.0,91.0
Metropolitana,Camas UCI ocupadas no COVID-19,345.0,321.0,345.0,334.0,365.0,457.0,490.0,527.0,487.0,337.0,296.0,336.0,314.0,465.0,484.0,520.0,523.0,498.0
O’Higgins,Camas UCI ocupadas no COVID-19,35.0,31.0,35.0,38.0,45.0,43.0,36.0,51.0,55.0,45.0,19.0,19.0,20.0,35.0,42.0,54.0,51.0,43.0
Maule,Camas UCI ocupadas no COVID-19,12.0,22.0,23.0,26.0,26.0,25.0,14.0,17.0,26.0,15.0,22.0,25.0,30.0,36.0,47.0,42.0,52.0,46.0
Ñuble,Camas UCI ocupadas no COVID-19,2.0,1.0,1.0,5.0,9.0,12.0,7.0,6.0,8.0,5.0,25.0,27.0,23.0,21.0,23.0,18.0,19.0,25.0
Biobío,Camas UCI ocupadas no COVID-19,55.0,62.0,62.0,64.0,76.0,78.0,80.0,78.0,63.0,71.0,65.0,83.0,66.0,77.0,72.0,84.0,68.0,58.0
Araucanía,Camas UCI ocupadas no COVID-19,22.0,22.0,32.0,32.0,38.0,30.0,26.0,29.0,32.0,34.0,39.0,38.0,43.0,51.0,50.0,45.0,47.0,42.0
Los Ríos,Camas UCI ocupadas no COVID-19,9.0,6.0,5.0,6.0,11.0,13.0,9.0,9.0,7.0,4.0,6.0,4.0,4.0,11.0,13.0,15.0,10.0,12.0
Los Lagos,Camas UCI ocupadas no COVID-19,29.0,30.0,35.0,36.0,33.0,38.0,36.0,40.0,45.0,41.0,32.0,41.0,31.0,41.0,38.0,44.0,37.0,35.0
Aysén,Camas UCI ocupadas no COVID-19,1.0,0.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0
Magallanes,Camas UCI ocupadas no COVID-19,9.0,6.0,6.0,7.0,10.0,6.0,17.0,9.0,11.0,15.0,15.0,12.0,14.0,10.0,18.0,15.0,12.0,20.0
Total,Camas UCI ocupadas no COVID-19,684.0,667.0,702.0,710.0,792.0,880.0,880.0,937.0,903.0,720.0,649.0,747.0,723.0,934.0,965.0,1005.0,1005.0,959.0
Arica y Parinacota,Camas base (2019),9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Tarapacá,Camas base (2019),12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Antofagasta,Camas base (2019),48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
Atacama,Camas base (2019),11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Coquimbo,Camas base (2019),29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Valparaíso,Camas base (2019),125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
Metropolitana,Camas base (2019),745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0
O’Higgins,Camas base (2019),61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
Maule,Camas base (2019),45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Ñuble,Camas base (2019),16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Biobío,Camas base (2019),97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Araucanía,Camas base (2019),49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
Los Ríos,Camas base (2019),13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Los Lagos,Camas base (2019),49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
Aysén,Camas base (2019),8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Magallanes,Camas base (2019),14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Total,Camas base (2019),1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0,1331.0
