,Data,Classi,F24h_confirm,F24h_recup,total_confir,total_recup,total_obito,F24h_obito,F24h_obito_media7d,F24h_confirm_media7d,Hospitalizados,Uti,F24h_obitos_novo,total_obitos_novo,int_extra1,int_extra2,int_extra3,int_extra4,ObjectId,Policy,Date
49,1587859200000.0,Confirmado,64.0,76.0,4091.0,1964.0,347.0,25.0,18.0,164.0,392.0,128.0,,,1568.0,,,,50,0.0,2020-04-26
50,1587945600000.0,Confirmado,390.0,430.0,4481.0,2394.0,367.0,20.0,19.0,203.0,397.0,130.0,,,1324.0,,,,51,0.0,2020-04-27
51,1588032000000.0,Confirmado,17.0,111.0,4498.0,2505.0,382.0,15.0,20.0,196.0,390.0,126.0,,,5552.0,,,,52,0.0,2020-04-28
52,1588118400000.0,Confirmado,763.0,319.0,5261.0,2824.0,405.0,23.0,21.0,288.0,408.0,132.0,,,5372.0,,,,53,0.0,2020-04-29
53,1588204800000.0,Confirmado,293.0,243.0,5554.0,3067.0,456.0,51.0,25.0,281.0,431.0,129.0,,,4428.0,,,,54,0.0,2020-04-30
54,1588291200000.0,Confirmado,135.0,400.0,5689.0,3467.0,496.0,40.0,28.0,290.0,443.0,134.0,,,4327.0,,,,55,0.0,2020-05-01
55,1588377600000.0,Confirmado,214.0,249.0,5903.0,3716.0,535.0,39.0,30.0,268.0,473.0,132.0,,,1329.0,,,,56,0.0,2020-05-02
56,1588464000000.0,Confirmado,286.0,311.0,6189.0,4027.0,574.0,39.0,32.0,300.0,486.0,139.0,,,1513.0,,,,57,0.0,2020-05-03
57,1588550400000.0,Confirmado,259.0,153.0,6448.0,4180.0,603.0,29.0,34.0,281.0,496.0,135.0,,,1088.0,,,,58,0.0,2020-05-04
58,1588636800000.0,Confirmado,302.0,44.0,6750.0,4224.0,631.0,28.0,36.0,322.0,527.0,129.0,,,4366.0,,,,59,0.0,2020-05-05
59,1588723200000.0,Confirmado,533.0,504.0,7283.0,4728.0,670.0,39.0,38.0,289.0,601.0,163.0,,,4074.0,,,,60,0.0,2020-05-06
60,1588809600000.0,Confirmado,549.0,409.0,7832.0,5137.0,713.0,43.0,37.0,325.0,567.0,147.0,,,4041.0,,,,61,0.0,2020-05-07
61,1588896000000.0,Confirmado,745.0,592.0,8577.0,5729.0,764.0,51.0,38.0,413.0,572.0,153.0,,,3625.0,,,,62,0.0,2020-05-08
62,1588982400000.0,Confirmado,474.0,439.0,9051.0,6168.0,919.0,155.0,55.0,450.0,615.0,164.0,,,3195.0,,,,63,0.0,2020-05-09
63,1589068800000.0,Confirmado,621.0,136.0,9672.0,6304.0,1002.0,83.0,61.0,498.0,621.0,162.0,,,955.0,,,,64,0.0,2020-05-10
64,1589155200000.0,Confirmado,807.0,892.0,10479.0,7196.0,1092.0,90.0,70.0,576.0,623.0,158.0,,,649.0,,,,65,0.0,2020-05-11
65,1589241600000.0,Confirmado,41.0,121.0,10520.0,7317.0,1126.0,34.0,71.0,539.0,596.0,159.0,,,2095.0,,,,66,0.0,2020-05-12
66,1589328000000.0,Confirmado,99.0,182.0,10619.0,7499.0,1172.0,46.0,72.0,477.0,600.0,152.0,,,3956.0,,,,67,0.0,2020-05-13
67,1589414400000.0,Confirmado,197.0,406.0,10816.0,7905.0,1279.0,107.0,81.0,426.0,565.0,150.0,,,3849.0,,,,68,0.0,2020-05-14
68,1589500800000.0,Confirmado,210.0,266.0,11026.0,8171.0,1363.0,84.0,86.0,350.0,614.0,159.0,,,3564.0,,,,69,0.0,2020-05-15
69,1589587200000.0,Confirmado,238.0,334.0,11264.0,8505.0,1509.0,146.0,84.0,316.0,624.0,169.0,,,2566.0,,,,70,0.0,2020-05-16
70,1589673600000.0,Confirmado,451.0,627.0,11715.0,9132.0,1631.0,122.0,90.0,292.0,635.0,166.0,,,1071.0,,,,71,0.0,2020-05-17
71,1589760000000.0,Confirmado,580.0,542.0,12295.0,9674.0,1751.0,120.0,94.0,259.0,602.0,154.0,,,621.0,,,,72,0.0,2020-05-18
72,1589846400000.0,Confirmado,626.0,648.0,12921.0,10322.0,1841.0,90.0,102.0,343.0,,,,,2771.0,,,,73,0.0,2020-05-19
73,1589932800000.0,Confirmado,522.0,418.0,13443.0,10740.0,1960.0,119.0,113.0,403.0,671.0,192.0,,,3576.0,,,,74,0.0,2020-05-20
74,1590019200000.0,Confirmado,1088.0,792.0,14531.0,11532.0,2135.0,175.0,122.0,531.0,697.0,190.0,,,2996.0,,,,75,0.0,2020-05-21
75,1590105600000.0,Confirmado,2535.0,2311.0,17066.0,13843.0,2249.0,114.0,127.0,863.0,706.0,195.0,,,3086.0,,,,76,0.0,2020-05-22
76,1590192000000.0,Confirmado,1677.0,1347.0,18743.0,15190.0,2376.0,127.0,124.0,1068.0,734.0,193.0,,,2895.0,,,,77,0.0,2020-05-23
77,1590278400000.0,Confirmado,1418.0,1183.0,20161.0,16373.0,2520.0,144.0,127.0,1207.0,773.0,202.0,,,915.0,,,,78,0.0,2020-05-24
78,1590364800000.0,Confirmado,882.0,823.0,21043.0,17196.0,2702.0,182.0,136.0,1250.0,792.0,209.0,,,1088.0,,,,79,0.0,2020-05-25
79,1590451200000.0,Confirmado,732.0,715.0,21775.0,17911.0,2755.0,53.0,131.0,1265.0,792.0,206.0,,,2925.0,,,,80,0.0,2020-05-26
80,1590537600000.0,Confirmado,691.0,677.0,22466.0,18588.0,2831.0,76.0,124.0,1289.0,783.0,214.0,,,2395.0,,,,81,0.0,2020-05-27
81,1590624000000.0,Confirmado,824.0,604.0,23290.0,19192.0,2978.0,147.0,120.0,1251.0,,,,,3340.0,,,,82,0.0,2020-05-28
82,1590710400000.0,Confirmado,1460.0,374.0,24750.0,19566.0,3135.0,157.0,127.0,1098.0,825.0,228.0,,,2804.0,,,,83,0.0,2020-05-29
83,1590796800000.0,Confirmado,1224.0,686.0,25974.0,20252.0,3293.0,158.0,131.0,1033.0,,,,,2277.0,,,,84,0.0,2020-05-30
84,1590883200000.0,Confirmado,1337.0,2039.0,27311.0,22291.0,3430.0,137.0,130.0,1021.0,745.0,210.0,,,1029.0,,,,85,0.0,2020-05-31
85,1590969600000.0,Confirmado,1170.0,1202.0,28481.0,23493.0,3525.0,95.0,118.0,1063.0,743.0,202.0,,,749.0,,,,86,0.0,2020-06-01
86,1591056000000.0,Confirmado,1533.0,1298.0,30014.0,24791.0,3671.0,146.0,131.0,1177.0,712.0,202.0,,,2462.0,,,,87,1.0,2020-06-02
87,1591142400000.0,Confirmado,1190.0,969.0,31204.0,25760.0,3828.0,157.0,142.0,1248.0,651.0,191.0,,,2068.0,,,,88,1.0,2020-06-03
88,1591228800000.0,Confirmado,1747.0,1280.0,32951.0,27040.0,4055.0,227.0,154.0,1380.0,681.0,205.0,,,2296.0,,,,89,1.0,2020-06-04
89,1591315200000.0,Confirmado,744.0,741.0,33695.0,27781.0,4231.0,176.0,157.0,1278.0,682.0,217.0,,,1789.0,,,,90,1.0,2020-06-05
90,1591401600000.0,Confirmado,1348.0,1244.0,35043.0,29025.0,4309.0,78.0,145.0,1296.0,684.0,202.0,,,1683.0,,,,91,1.0,2020-06-06
91,1591488000000.0,Confirmado,660.0,813.0,35703.0,29838.0,4401.0,92.0,139.0,1199.0,684.0,202.0,,,445.0,,,,92,1.0,2020-06-07
92,1591574400000.0,Confirmado,412.0,407.0,36115.0,30245.0,4462.0,61.0,134.0,1091.0,654.0,206.0,,,478.0,,,,93,1.0,2020-06-08
93,1591660800000.0,Confirmado,778.0,629.0,36893.0,30874.0,4516.0,54.0,121.0,983.0,637.0,211.0,,,2108.0,,,,94,1.0,2020-06-09
94,1591747200000.0,Confirmado,1010.0,1012.0,37903.0,31886.0,4599.0,83.0,110.0,957.0,631.0,211.0,,,2022.0,,,,95,1.0,2020-06-10
95,1591833600000.0,Confirmado,1057.0,937.0,38960.0,32823.0,4716.0,117.0,94.0,858.0,659.0,222.0,,,1835.0,,,,96,1.0,2020-06-11
96,1591920000000.0,Confirmado,1079.0,886.0,40039.0,33709.0,4850.0,134.0,88.0,906.0,674.0,231.0,,,611.0,,,,97,1.0,2020-06-12
97,1592006400000.0,Confirmado,465.0,478.0,40504.0,34187.0,4877.0,27.0,81.0,780.0,635.0,218.0,,,1767.0,,,,98,1.0,2020-06-13
98,1592092800000.0,Confirmado,907.0,316.0,41411.0,34503.0,4993.0,116.0,85.0,815.0,606.0,225.0,,,503.0,,,,99,1.0,2020-06-14
99,1592179200000.0,Confirmado,357.0,885.0,41768.0,35388.0,5043.0,50.0,83.0,808.0,603.0,217.0,,,535.0,,,,100,1.0,2020-06-15
100,1592265600000.0,Confirmado,617.0,365.0,42385.0,35753.0,5090.0,47.0,82.0,785.0,580.0,217.0,,,1945.0,21.0,,,101,1.0,2020-06-16
101,1592352000000.0,Confirmado,1489.0,1601.0,43874.0,37354.0,5239.0,149.0,91.0,853.0,599.0,225.0,,,1486.0,15.0,,,102,2.0,2020-06-17
102,1592438400000.0,Confirmado,2104.0,856.0,45978.0,38210.0,5343.0,104.0,90.0,1003.0,592.0,218.0,,,1828.0,12.0,,,103,2.0,2020-06-18
103,1592524800000.0,Confirmado,277.0,1340.0,46255.0,39550.0,5508.0,165.0,94.0,888.0,584.0,203.0,,,1879.0,14.0,,,104,2.0,2020-06-19
104,1592611200000.0,Confirmado,2498.0,1816.0,48753.0,41366.0,5632.0,124.0,108.0,1178.0,563.0,202.0,,,1882.0,17.0,,,105,2.0,2020-06-20
105,1592697600000.0,Confirmado,1376.0,1135.0,50129.0,42501.0,5791.0,159.0,114.0,1245.0,591.0,205.0,,,480.0,16.0,,,106,2.0,2020-06-21
106,1592784000000.0,Confirmado,301.0,601.0,50430.0,43102.0,5832.0,41.0,113.0,1237.0,571.0,206.0,,,400.0,15.0,,,107,2.0,2020-06-22
107,1592870400000.0,Confirmado,492.0,480.0,50922.0,43582.0,5875.0,43.0,112.0,1220.0,552.0,208.0,,,2130.0,6.0,,,108,2.0,2020-06-23
162,1592956800000.0,Confirmado,1403.0,1038.0,52325.0,44620.0,6000.0,125.0,109.0,1207.0,553.0,211.0,,,1584.0,11.0,,,163,2.0,2020-06-24
163,1593043200000.0,Confirmado,982.0,912.0,53307.0,45532.0,6087.0,87.0,106.0,1047.0,553.0,213.0,,,1794.0,14.0,,,164,2.0,2020-06-25
164,1593129600000.0,Confirmado,862.0,1144.0,54169.0,46676.0,6161.0,74.0,93.0,1131.0,549.0,213.0,,,1849.0,15.0,,,165,2.0,2020-06-26
165,1593216000000.0,Confirmado,983.0,759.0,55152.0,47435.0,6264.0,103.0,90.0,914.0,543.0,196.0,,,1375.0,6.0,,,166,2.0,2020-06-27
166,1593302400000.0,Confirmado,134.0,166.0,55286.0,47601.0,6366.0,102.0,82.0,737.0,526.0,204.0,,,440.0,4.0,,,167,2.0,2020-06-28
167,1593388800000.0,Confirmado,774.0,647.0,56060.0,48248.0,6393.0,27.0,80.0,804.0,513.0,200.0,,,352.0,7.0,,,168,2.0,2020-06-29
168,1593475200000.0,Confirmado,291.0,552.0,56351.0,48800.0,6417.0,24.0,77.0,776.0,523.0,195.0,,,1654.0,11.0,,,169,2.0,2020-06-30
169,1593561600000.0,Confirmado,585.0,511.0,56936.0,49311.0,6550.0,133.0,79.0,659.0,524.0,196.0,,,1721.0,6.0,,,170,2.0,2020-07-01
170,1593648000000.0,Confirmado,943.0,779.0,57879.0,50090.0,6618.0,68.0,76.0,653.0,516.0,182.0,,,1462.0,9.0,,,171,3.0,2020-07-02
171,1593734400000.0,Confirmado,736.0,955.0,58615.0,51045.0,6689.0,71.0,75.0,635.0,525.0,181.0,,,1466.0,13.0,,,172,3.0,2020-07-03
172,1593820800000.0,Confirmado,833.0,891.0,59448.0,51449.0,6791.0,102.0,75.0,614.0,515.0,181.0,,,1152.0,12.0,,,173,3.0,2020-07-04
173,1593907200000.0,Confirmado,585.0,489.0,60033.0,51938.0,6869.0,78.0,72.0,678.0,515.0,181.0,,,409.0,5.0,,,174,3.0,2020-07-05
174,1593993600000.0,Confirmado,200.0,105.0,60233.0,52043.0,6898.0,29.0,72.0,596.0,485.0,183.0,,,282.0,7.0,,,175,3.0,2020-07-06
175,1594080000000.0,Confirmado,363.0,455.0,60596.0,52498.0,6924.0,26.0,72.0,606.0,515.0,193.0,,,1617.0,8.0,,,176,3.0,2020-07-07
176,1594166400000.0,Confirmado,1062.0,850.0,61658.0,53348.0,7055.0,131.0,72.0,675.0,500.0,193.0,,,1698.0,9.0,,,177,3.0,2020-07-08
177,1594252800000.0,Confirmado,805.0,555.0,62463.0,53903.0,7101.0,46.0,69.0,655.0,508.0,187.0,,,1652.0,11.0,,,178,3.0,2020-07-09
178,1594339200000.0,Confirmado,933.0,865.0,63396.0,54768.0,7178.0,77.0,70.0,683.0,504.0,175.0,,,1411.0,11.0,,,179,3.5,2020-07-10
179,1594425600000.0,Confirmado,631.0,639.0,64027.0,55407.0,7254.0,76.0,66.0,654.0,504.0,175.0,,,1295.0,16.0,,,180,3.5,2020-07-11
180,1594512000000.0,Confirmado,75.0,112.0,64102.0,55519.0,7302.0,48.0,62.0,581.0,481.0,182.0,,,347.0,6.0,,,181,3.5,2020-07-12
181,1594598400000.0,Confirmado,8.0,152.0,64110.0,55671.0,7310.0,8.0,59.0,554.0,494.0,191.0,,,287.0,7.0,,,182,3.5,2020-07-13
182,1594684800000.0,Confirmado,525.0,468.0,64635.0,56139.0,7355.0,45.0,62.0,577.0,484.0,202.0,,,1581.0,4.0,,,183,3.5,2020-07-14
183,1594771200000.0,Confirmado,486.0,386.0,65121.0,56525.0,7432.0,77.0,54.0,495.0,475.0,194.0,,,1236.0,10.0,,,184,3.5,2020-07-15
184,1594857600000.0,Confirmado,368.0,146.0,65489.0,56671.0,7500.0,68.0,57.0,432.0,456.0,196.0,,,1238.0,11.0,,,185,3.5,2020-07-16
185,1594944000000.0,Confirmado,82.0,335.0,65571.0,57006.0,7550.0,50.0,53.0,311.0,477.0,212.0,,,1008.0,6.0,,,186,4.0,2020-07-17
186,1595030400000.0,Confirmado,125.0,211.0,65696.0,57217.0,7621.0,71.0,52.0,238.0,460.0,204.0,,,1273.0,5.0,,,187,4.0,2020-07-18
187,1595116800000.0,Confirmado,1133.0,822.0,66829.0,58039.0,7690.0,69.0,55.0,390.0,465.0,201.0,,,341.0,3.0,,,188,4.0,2020-07-19
188,1595203200000.0,Confirmado,80.0,83.0,66909.0,58122.0,7703.0,13.0,56.0,400.0,455.0,193.0,,,251.0,4.0,,,189,4.0,2020-07-20
189,1595289600000.0,Confirmado,127.0,224.0,67036.0,58346.0,7733.0,30.0,54.0,343.0,469.0,184.0,,,1242.0,6.0,,,190,4.0,2020-07-21
190,1595376000000.0,Confirmado,85.0,158.0,67121.0,58504.0,7796.0,63.0,52.0,286.0,472.0,184.0,,,1748.0,8.0,,,191,4.0,2020-07-22
191,1595462400000.0,Confirmado,1213.0,843.0,68334.0,59347.0,7887.0,91.0,55.0,406.0,478.0,203.0,,,1320.0,3.0,,,192,4.0,2020-07-23
192,1595548800000.0,Confirmado,176.0,123.0,68510.0,59470.0,7913.0,26.0,52.0,420.0,463.0,196.0,,,1525.0,11.0,,,193,4.0,2020-07-24
193,1595635200000.0,Confirmado,946.0,654.0,69456.0,60124.0,7941.0,28.0,46.0,537.0,462.0,201.0,,,1352.0,7.0,,,194,4.0,2020-07-25
194,1595721600000.0,Confirmado,90.0,239.0,69546.0,60363.0,8004.0,63.0,45.0,388.0,457.0,199.0,,,400.0,9.0,,,195,4.0,2020-07-26
195,1595808000000.0,Confirmado,24.0,57.0,69570.0,60420.0,8023.0,19.0,46.0,380.0,468.0,202.0,,,298.0,4.0,,,196,4.0,2020-07-27
196,1595894400000.0,Confirmado,800.0,473.0,70370.0,60893.0,8053.0,30.0,46.0,476.0,450.0,197.0,,,1611.0,7.0,,,197,4.0,2020-07-28
197,1595980800000.0,Confirmado,89.0,0.0,70459.0,60744.0,8124.0,71.0,47.0,477.0,459.0,188.0,,,1700.0,7.0,,,198,4.0,2020-07-29
198,1596067200000.0,Confirmado,233.0,89.0,70692.0,60990.0,8220.0,96.0,48.0,337.0,434.0,192.0,,,1463.0,7.0,,,199,4.0,2020-07-30
199,1596153600000.0,Confirmado,297.0,21.0,70989.0,61011.0,8270.0,50.0,51.0,354.0,455.0,190.0,,,1272.0,5.0,,,200,4.0,2020-07-31
200,1596240000000.0,Confirmado,333.0,453.0,71322.0,61464.0,8310.0,40.0,53.0,267.0,450.0,187.0,,,1235.0,11.0,,,201,5.0,2020-08-01
201,1596326400000.0,Confirmado,470.0,473.0,71792.0,61937.0,8344.0,34.0,49.0,321.0,433.0,184.0,,,340.0,6.0,,,202,5.0,2020-08-02
202,1596412800000.0,Confirmado,10.0,30.0,71802.0,61967.0,8358.0,14.0,48.0,319.0,436.0,185.0,,,207.0,7.0,,,203,5.0,2020-08-03
203,1596499200000.0,Confirmado,277.0,425.0,72079.0,62392.0,8371.0,13.0,45.0,244.0,414.0,171.0,,,1619.0,4.0,,,204,5.0,2020-08-04
204,1596585600000.0,Confirmado,643.0,308.0,72722.0,62700.0,8419.0,48.0,42.0,323.0,434.0,187.0,,,1417.0,9.0,,,205,5.0,2020-08-05
205,1596672000000.0,Confirmado,674.0,349.0,73396.0,63238.0,8499.0,80.0,40.0,386.0,438.0,188.0,,,1437.0,9.0,,,206,5.0,2020-08-06
206,1596758400000.0,Confirmado,121.0,0.0,73517.0,63321.0,8540.0,41.0,39.0,361.0,435.0,197.0,,,1406.0,7.0,,,207,5.0,2020-08-07
207,1596844800000.0,Confirmado,338.0,391.0,73855.0,63712.0,8596.0,56.0,41.0,362.0,439.0,199.0,,,1324.0,11.0,,,208,5.0,2020-08-08
208,1596931200000.0,Confirmado,548.0,353.0,74403.0,64065.0,8606.0,10.0,37.0,373.0,423.0,188.0,,,433.0,7.0,,,209,5.0,2020-08-09
209,1597017600000.0,Confirmado,18.0,0.0,74421.0,64198.0,8612.0,6.0,36.0,374.0,424.0,186.0,,,253.0,11.0,,,210,5.0,2020-08-10
210,1597104000000.0,Confirmado,253.0,338.0,74674.0,64536.0,8622.0,10.0,36.0,371.0,425.0,190.0,,,1617.0,1.0,,,211,5.0,2020-08-11
211,1597190400000.0,Confirmado,1428.0,978.0,76102.0,65514.0,8665.0,43.0,35.0,483.0,433.0,189.0,,,1523.0,5.0,,,212,5.0,2020-08-12
212,1597276800000.0,Confirmado,1525.0,913.0,77627.0,66661.0,8710.0,45.0,30.0,604.0,431.0,203.0,,,1646.0,14.0,,,213,5.0,2020-08-13
213,1597363200000.0,Confirmado,873.0,296.0,78500.0,66957.0,8766.0,56.0,32.0,712.0,461.0,212.0,,,1771.0,12.0,,,214,5.0,2020-08-14
214,1597449600000.0,Confirmado,1365.0,1532.0,79865.0,68489.0,8799.0,33.0,29.0,859.0,462.0,206.0,,,1479.0,2.0,,,215,5.0,2020-08-15
215,1597536000000.0,Confirmado,700.0,872.0,80565.0,69361.0,8813.0,14.0,30.0,880.0,470.0,216.0,,,400.0,9.0,,,216,5.0,2020-08-16
217,1597622400000.0,Confirmado,197.0,196.0,80762.0,70409.0,8826.0,13.0,31.0,906.0,470.0,212.0,,,285.0,5.0,,,218,5.0,2020-08-17
218,1597708800000.0,Confirmado,137.0,317.0,80899.0,70726.0,8830.0,4.0,30.0,889.0,479.0,222.0,,,1780.0,2.0,,,219,5.0,2020-08-18
219,1597795200000.0,Confirmado,1289.0,959.0,82188.0,71685.0,8931.0,101.0,38.0,869.0,473.0,203.0,,,1745.0,3.0,,,220,5.0,2020-08-19
220,1597881600000.0,Confirmado,1547.0,1412.0,83735.0,73325.0,9048.0,117.0,48.0,873.0,471.0,200.0,,,1644.0,8.0,,,221,5.0,2020-08-20
221,1597968000000.0,Confirmado,753.0,581.0,84488.0,73906.0,9127.0,79.0,52.0,855.0,475.0,203.0,,,934.0,6.0,,,222,5.0,2020-08-21
222,1598054400000.0,Confirmado,1000.0,865.0,85488.0,74771.0,9175.0,48.0,54.0,803.0,468.0,204.0,,,1535.0,5.0,,,223,5.0,2020-08-22
223,1598140800000.0,Confirmado,931.0,560.0,86419.0,75331.0,9206.0,31.0,56.0,836.0,468.0,195.0,,,305.0,4.0,,,224,5.0,2020-08-23
224,1598227200000.0,Confirmado,348.0,259.0,86767.0,75882.0,9231.0,25.0,58.0,858.0,477.0,202.0,,,463.0,4.0,,,225,5.0,2020-08-24
225,1598313600000.0,Confirmado,397.0,468.0,87164.0,76608.0,9316.0,85.0,69.0,895.0,473.0,210.0,,,1845.0,4.0,,,226,5.0,2020-08-25
