english,spanish,portuguese
Relax Mandatory Social Distancing Sulawesi - Zonal,Relax obligatorio distanciamiento social de Sulawesi - Zonal,Relaxe o distanciamento social obrigatório de Sulawesi - Zonal
Relax Some Restrictions Java - Zonal,Relajar algunas restricciones de Java - Zonal,Relaxe algumas restrições de Java - Zonal
Relax Some Restrictions Nationwide,Relaja algunas restricciones a nivel nacional,Relaxe algumas restrições em todo o país
Relax Some Restrictions Sulawesi - Zonal,Relajar algunas restricciones de Sulawesi - Zonal,Relaxe algumas restrições de Sulawesi - Zonal
Relaxed Social Restrictions,Restricciones sociales relajadas,Restrições sociais relaxadas
Relaxed Social Restrictions - Provincial,Restricciones sociales relajadas - Provincial,Restrições sociais relaxadas - Provincial
Relaxed Social Restrictions - Zonal,Restricciones sociales relajadas - Zonal,Restrições sociais relaxadas - Zonal
Social Distancing Policy,Política de distanciamiento,Política de Distanciamento
Social Distancing Policy Java,Política de distanciamiento de Java,Política de Distanciamento de Java
Social Distancing Policy Sulawesi,Política de distanciamiento de Sulawesi,Política de Distanciamento de Sulawesi
Unenforced Curfew,Toque de queda no forzado,Toque de recolher não forçado
Voluntary Social Distancing,Distanciamiento social voluntario,Distanciamento Social Voluntário
Voluntary Social Distancing - Provincial,Distanciamiento social voluntario - Provincial,Distanciamento Social Voluntário - Provincial
Voluntary Social Distancing - Zonal,Distanciamiento social voluntario - Zonal,Distanciamento Social Voluntário - Zonal
Extraordinary Measures,Acciones extraordinarias,Medidas extraordinárias
Starting to Re-Open,Empezando a reabrir,Começando a reabrir
Initial Moderate Closures,Cierres moderados iniciales,Fechamentos iniciais moderados
Scenario A: Remission,Escenario A: Remisión,Cenário A: Remissão
Scenario B: Prevention,Escenario B: Prevención,Cenário B: Prevenção
Scenario C: Containment,Escenario C: Contención,Cenário C: Contenção
Stage 1,Etapa 1,Etapa 1
Stage 2,Etapa 2,Etapa 2
Stage 3,Etapa 3,Etapa 3
Stage 4,Etapa 4,Etapa 4
Stage 5,Etapa 5,Etapa 5
,,
GRAPH: HEALTH PARAMETERS CATEGORY,GRAPH: HEALTH PARAMETERS CATEGORY,GRAPH: HEALTH PARAMETERS CATEGORY
Average Hospitalization Duration,Duración media de la hospitalización,Duração Média de Hospitalização
Average Illness Duration,Duración media de la enfermedad,Duração média da doença
Base Contact Rate,Tasa de contacto base,Taxa de contato básica
Base Hospitalized Recovery Likelihood,Probabilidad de recuperación hospitalaria base,Probabilidade de recuperação de base hospitalizada
Contact Rate,Tasa de contacto,Taxa de contato
Contact Rate Java,Tasa de contacto de Java,Taxa de contato de Java
Contact Rate Sulawesi,Tasa de contacto de Sulawesi,Taxa de contato de Sulawesi
Health Parameters,Parámetros de salud,Parâmetros de Saúde
Hospitalization Likelihood,Probabilidad de hospitalización,Probabilidade de hospitalização
Hospitalized Mortality Likelihood,Probabilidad de mortalidad hospitalaria,Probabilidade de mortalidade hospitalizada
Hospitalized Recovery Likelihood,Probabilidad de recuperación hospitalizada,Probabilidade de recuperação hospitalizada
Infectivity,Infectividad,Infectividade
Mortality Likelihood,Probabilidad de mortalidad,Probabilidade de mortalidade
Recovery Likelihood,Probabilidad de recuperación,Probabilidade de recuperação
Unhospitalized Mortality Likelihood,Probabilidad de mortalidad no hospitalaria,Probabilidade de mortalidade não hospitalizada
Unhospitalized Recovery Likelihood,Probabilidad de recuperación no hospitalizada,Probabilidade de recuperação não hospitalizada
,,
GRAPH: HEALTH POPULATIONS CATEGORY,GRAPH: HEALTH POPULATIONS CATEGORY,GRAPH: HEALTH POPULATIONS CATEGORY
'Estimated' Infected Population,Población infectada 'estimada',População infectada 'estimada'
'Estimated' Infected Population Java,Población infectada 'estimada' de Java,População infectada 'estimada' de Java
'Estimated' Infected Population Sulawesi,Población infectada 'estimada' de Sulawesi,População infectada 'estimada' de Sulawesi
'Estimated' National Infected Population,Población nacional infectada 'estimada',População nacional infectada 'estimada'
'Estimated' Total Infected Population,Población total infectada 'estimada',População total infectada 'estimada'
'Estimated' Unhospitalized Infected Population,Población infectada no hospitalizada 'estimada',População infectada 'estimada' não hospitalizada
'True' Infected Population,Población infectada 'verdadera',População infectada 'verdadeira'
'True' Infected Population Java,Población infectada 'verdadera' de Java,População infectada 'verdadeira' de Java
'True' Infected Population Sulawesi,Población infectada 'verdadera' de Sulawesi,População infectada 'verdadeira' de Sulawesi
'True' Total Infected Population,Población total infectada 'verdadera',População total infectada 'verdadeira'
'True' Unhospitalized Infected Population,Población infectada no hospitalizada 'verdadera',População infectada 'verdadeira' não hospitalizada
Deaths,Fallecidos,Mortes
Deaths Java,Fallecidos de Java,Mortes de Java
Deaths Sulawesi,Fallecidos de Sulawesi,Mortes de Sulawesi
Health Populations,Poblaciones de salud,Populações de Saúde
Hospitalized Population,Población hospitalizada,População Hospitalizada
Known Recovered Population,Población recuperada conocida,População Recuperada Conhecida
Known Recovered Population Java,Población recuperada conocida de Java,População Recuperada Conhecida de Java
Known Recovered Population Sulawesi,Población recuperada conocida de Sulawesi,População Recuperada Conhecida de Sulawesi
Measured Infected Population,Población infectada medida,População infectada medida
Measured Infected Population Java,Población infectada medida de Java,População infectada medida de Java
Measured Infected Population Sulawesi,Población infectada medida de Sulawesi,População infectada medida de Sulawesi
Measured Total Infected Population,Población total infectada medida,População total infectada medida
Measured Unhospitalized Infected Population,Población infectada no hospitalizada medida,População infectada não hospitalizada medida
National Deaths,Defunciones nacionales,Mortes Nacionais
National Known Recovered Population,Población recuperada conocida nacional,População Nacional Recuperada Conhecida
National Measured Infected Population,Población infectada medida a nivel nacional,População nacional infectada medida
National Susceptible Population,Población Nacional Susceptible,População Nacional Susceptível
Susceptible Population,Población susceptible,População Susceptível
Susceptible Population Java,Población susceptible de Java,População Susceptível de Java
Susceptible Population Sulawesi,Población susceptible de Sulawesi,População Susceptível de Sulawesi
,,
GRAPH: HEALTH FLOW CATEGORIES,GRAPH: HEALTH FLOW CATEGORIES,GRAPH: HEALTH FLOW CATEGORIES
'Estimated' Infection Rate,Tasa de infección 'estimada',Taxa de infecção 'estimada'
'Estimated' Infection Rate Java,Tasa de infección 'estimada' de Java,Taxa de infecção 'estimada' de Java
'Estimated' Infection Rate Sulawesi,Tasa de infección 'estimada' de Sulawesi,Taxa de infecção 'estimada' de Sulawesi
'True' Infection Rate,Tasa de infección 'verdadera',Taxa de infecção 'verdadeira'
'True' Infection Rate Java,Tasa de infección 'verdadera' de Java,Taxa de infecção 'verdadeira' de Java
'True' Infection Rate Sulawesi,Tasa de infección 'verdadera' de Sulawesi,Taxa de infecção 'verdadeira' de Sulawesi
Health Flows,Flujos de salud,Fluxos de Saúde
Hospital Mortaility Rate,Tasa de mortalidad hospitalaria,Taxa de mortalidade hospitalar
Hospital Recovery Rate,Tasa de recuperación hospitalaria,Taxa de recuperação hospitalar
Hospitalization Rate,Tasa de hospitalización,Taxa de hospitalização
Measured Infection Rate,Tasa de infección medida,Taxa de infecção medida
Measured Infection Rate Java,Tasa de infección medida de Java,Taxa de infecção medida de Java
Measured Infection Rate Sulawesi,Tasa de infección medida de Sulawesi,Taxa de infecção medida de Sulawesi
Mortality Rate,Tasa de mortalidad,Taxa de mortalidade
Mortality Rate Java,Tasa de mortalidad de Java,Taxa de mortalidade de Java
Mortality Rate Sulawesi,Tasa de mortalidad de Sulawesi,Taxa de mortalidade de Sulawesi
National 'Estimated' Infection Rate,Tasa de infección nacional 'estimada',Taxa nacional de infecção 'estimada'
National Measured Infection Rate,Tasa de infección medida a nivel nacional,Taxa de infecção medida nacional
National Mortality Rate,Tasa Nacional de Mortalidad,Taxa Nacional de Mortalidade
National Recovery Rate,Tasa de recuperación nacional,Taxa de recuperação nacional
Recovery Rate,Tasa de recuperación,Taxa de recuperação
Recovery Rate Java,Tasa de recuperación de Java,Taxa de recuperação de Java
Recovery Rate Sulawesi,Tasa de recuperación de Java,Taxa de recuperação de Sulawesi
Unhospitalized Mortality Rate,Tasa de mortalidad no hospitalizada,Taxa de mortalidade não hospitalizada
Unhospitalized Recovery Rate,Tasa de recuperación no hospitalizada,Taxa de recuperação não hospitalar
,,
GRAPH: EQUIPMENT SUPPLIES CATEGORY,GRAPH: EQUIPMENT SUPPLIES CATEGORY,GRAPH: EQUIPMENT SUPPLIES CATEGORY
Available Ventilators,Ventiladores disponibles,Ventiladores Disponíveis
Daily PCR Tests,Exámenes PCR diarios,Testes PCR diários
Equipment Supplies,Suministros de equipos,Suprimentos de equipamentos
Hospital Bed Capacity,Capacidad de la cama de hospital,Capacidade de leitos hospitalares
Ordered Ventilators,Ventiladores pedidos,Ventiladores solicitados
,,
GRAPH: EQUIPMENT PARAMETERS CATEGORY,GRAPH: EQUIPMENT PARAMETERS CATEGORY,GRAPH: EQUIPMENT PARAMETERS CATEGORY
Default Ventilator Delivery Duration,Duración predeterminada de la administración del ventilador,Duração de entrega do ventilador padrão
Equipment Parameters,Parámetros del equipo,Parâmetros de Equipamento
Ventilator Acquisition Rate,Tasa de adquisición del ventilador,Taxa de aquisição do ventilador
Ventilator Willingness to Pay,Disposición del ventilador a pagar,Disposição do Ventilador a Pagar
,,
GRAPH: ENVIRONMENT CATEGORY,GRAPH: ENVIRONMENT CATEGORY,GRAPH: ENVIRONMENT CATEGORY
Average Temperature,Temperatura media,Temperatura média
CH4,CH4,CH4
CO,CO,CO
Environment,Ambiente,Meio Ambiente
HCNM,HCNM,HCNM
HCT,HCT,HCT
NO,NO,NO
NO2,NO2,NO2
NOx,NOx,NOx
O3,O3,O3
PM10,MP10,PM10
PM2.5,MP2.5,PM2.5
SO2,SO2,SO2
Nighttime Radiance in Luanda City,Resplandor nocturno en la ciudad de Luanda,Radiance noturno na cidade de Luanda
Nighttime Radiance in ZEE,Resplandor nocturno en ZEE,Radiance noturno em ZEE
SO2 Percent Change in Huambo City,Cambio porcentual de SO2 en la ciudad de Huambo,Mudança percentual de SO2 na cidade de Huambo
SO2 Percent Change in Luanda City,Cambio porcentual de SO2 en la ciudad de Luanda,Variação percentual de SO2 na cidade de Luanda
SO2 Percent Change in ZEE,Cambio porcentual de SO2 en ZEE,Mudança percentual de SO2 no ZEE
NO2 Percent Change in Huambo City,Cambio porcentual de NO2 en la ciudad de Huambo,Variação percentual de NO2 na cidade de Huambo
NO2 Percent Change in Luanda City,Cambio porcentual de NO2 en la ciudad de Luanda,Variação percentual de NO2 na cidade de Luanda
NO2 Percent Change in ZEE,Cambio porcentual de NO2 en ZEE,Mudança percentual de NO2 no ZEE
,,
GRAPH: ECONOMY CATEGORY,GRAPH: ECONOMY CATEGORY,GRAPH: ECONOMY CATEGORY
Accommodation and Food Service GDP,PIB alojamiento y servicio de alimentos,PIB de hospedagem e alimentação
Brazil Unemployment Rate,Tasa de desempleo de Brasil,Taxa de desemprego no Brasil
Brazil Unemployment Rate of Change,Tasa de variación del desempleo en Brasil,Taxa de variação do desemprego no Brasil
Closing Compsite Stock Index (IDX),Cierre del índice bursátil compuesto (IDX),Índice de ações da Compsite de fechamento (IDX)
Construction GDP,PIB de la construcción,PIB da construção
Consumption Expenditure LNPRT,Gasto de consumo LNPRT,Despesas de consumo LNPRT
Consumption Expenditure LNPRT % Change from Q1 to Q3,Gasto de consumo LNPRT% Cambio del primer trimestre al tercer trimestre,Despesas de consumo LNPRT% Mudança do primeiro ao terceiro trimestre
Daily Flight Passengers,Pasajeros de vuelos diarios,Passageiros de voos diários
Domestic Flights - East Java,Vuelos domésticos - Java Oriental,Vôos domésticos - Java Leste
Domestic Flights - Jakarta,Vuelos domésticos - Jakarta,Vôos domésticos - Jakarta
Domestic Flights - South Sulawesi,Vuelos domésticos - Sulawesi del Sur,Vôos domésticos - Sulawesi do Sul
Domestic Flights % Change from August 2019 to August 2020,% De cambio de vuelos nacionales de agosto de 2019 a agosto de 2020,% De variação de voos domésticos de agosto de 2019 a agosto de 2020
Economy,Economía,Economia
Economy - Nationwide,Economia a escala nacional,Economia em todo o país
Economy - Regional,Economia regional,Economia regional
Farmer Terms of Trade - Central Java,Términos de intercambio de agricultores - Java Central,Termos de comércio do agricultor - Java Central
Farmer Terms of Trade - East Java,Términos de intercambio de agricultores - Java Oriental,Termos de comércio do agricultor - Java Leste
Farmer Terms of Trade - Jakarta,Términos de intercambio de agricultores - Yakarta,Termos de comércio do agricultor - Jacarta
Farmer Terms of Trade - South Sulawesi,Términos de intercambio de agricultores - Sulawesi del Sur,Termos de comércio do agricultor - Sulawesi do Sul
Farmer Terms of Trade - West Java,Términos de intercambio de agricultores - Java Occidental,Termos de comércio do agricultor - Java do Oeste
Foreign Visitors,Visitantes extranjeros,Visitantes estrangeiros
Government Consumption Expenditure,Gasto de consumo del gobierno,Despesas de consumo do governo
Government Consumption Expenditure % Change from Q1 to Q3,Gasto de consumo del gobierno% de variación del primer trimestre al tercer trimestre,Mudança de% das despesas de consumo do governo do primeiro ao terceiro trimestre
Gross Domestic Product,Producto Interno Bruto,Produto Interno Bruto
Gross Domestic Regional Expenditure % Change from Q1 to Q3,Variação% da despesa interna bruta regional del primer trimestre al tercer trimestre,Gasto Bruto Interno Regional% Variación do primeiro ao terceiro trimestre
Health and Social Work GDP,PIB de salud y trabajo social,PIB de saúde e serviço social
Hotel Occupancy - Central Java,Ocupación hotelera - Central Java,Ocupação do hotel - Central Java
Hotel Occupancy - East Java,Ocupación hotelera - Java Oriental,Ocupação do hotel - Java Leste
Hotel Occupancy - Jakarta,Ocupación hotelera - Jakarta,Ocupação do hotel - Jakarta
Hotel Occupancy - South Sulawesi,Ocupación hotelera - Sulawesi del Sur,Ocupação do hotel - Sulawesi do Sul
Hotel Occupancy - West Java,Ocupación hotelera - Java Occidental,Ocupação do hotel - Java do Oeste
Hotel Occupancy % Change from August 2019 to August 2020,% De cambio de ocupación hotelera de agosto de 2019 a agosto de 2020,Alteração da% de ocupação do hotel de agosto de 2019 a agosto de 2020
Household Expenditures,Gastos del hogar,Despesas domésticas
Household Expenditures % Change from Q1 to Q3,Gasto de los hogares% de variación del primer trimestre al tercer trimestre,Mudança de% das despesas domésticas do primeiro ao terceiro trimestre
Inflation - Central Java,Inflación - Java Central,Inflação - Java Central
Inflation - East Java,Inflación - Java Oriental,Inflação - Java Leste
Inflation - Jakarta,Inflación - Jakarta,Inflação - Jakarta
Inflation - South Sulawesi,Inflación - Sulawesi del Sur,Inflação - Sulawesi do Sul
Inflation - West Java,Inflación - Java Occidental,Inflação - Java do Oeste
Inflation (September 2020),Inflación (septiembre de 2020),Inflação (setembro de 2020)
Inflation change from September 2019 to September 2020,Variación de la inflación de septiembre de 2019 a septiembre de 2020,Alteração da inflação de setembro de 2019 a setembro de 2020
Information and Communication GDP,PIB de información y comunicación,PIB de informação e comunicação
International Flights - East Java,Vuelos internacionales - Java Oriental,Vôos internacionais - Java Leste
International Flights - Jakarta,Vuelos internacionales - Jakarta,Vôos internacionais - Jakarta
Manufacturing GDP,PIB manufacturero,PIB da manufatura
Net Export % Change from Q1 to Q3,Cambio de porcentaje de exportación neta del primer trimestre al tercer trimestre,% De mudança de exportação líquida do primeiro ao terceiro trimestre
Net Exports,Las exportaciones netas,Resultado líquido
Oil and Gas Imports,Importaciones de petróleo y gas,Importações de petróleo e gás
Retail and Vehicle Repair GDP,PIB minorista y de reparación de vehículos,PIB de varejo e reparação de veículos
Rio de Janeiro Unemployment Rate,Tasa de desempleo de Río de Janeiro,Taxa de desemprego do Rio de Janeiro
Rio de Janeiro Unemployment Rate of Change,Tasa de variación del desempleo en Río de Janeiro,Taxa de variação do desemprego no Rio de Janeiro
Ships in Lobito Bay,Barcos en Bahía de Lobito,Navios na Baía do Lobito
Ships in Luanda Bay,Barcos en la bahía de Luanda,Navios na Baía de Luanda
Ships in Offshore Area,Barcos en el área costa afuera,Navios na área offshore
Visitor Arrivals,Llegadas de visitantes,Chegadas de visitantes
,,
GRAPH: MOBILITY CATEGORY,GRAPH: MOBILITY CATEGORY,GRAPH: MOBILITY CATEGORY
Grocery and Pharmacy Mobility,Movilidad en supermercados y farmacias,Mobilidade em supermercados e farmácias
Luanda Grocery and Pharmacy Mobility,Movilidad de supermercados y farmacias en Luanda,Mobilidade de Mercearia e Farmácia em Luanda
Luanda Parks Mobility,Movilidad en parques en Luanda,Mobilidade para parques em Luanda
Luanda Residential Mobility,Movilidad residencial en Luanda,Mobilidade Residencial em Luanda
Luanda Retail and Recreation Mobility,Movilidad minorista y recreativa en Luanda,Mobilidade para Varejo e Recreação em Luanda
Luanda Transit Stations Mobility,Movilidad de las estaciones de tránsito en Luanda,Mobilidade de estações de trânsito em Luanda
Luanda Workplaces Mobility,Movilidad en los lugares de trabajo en Luanda,Mobilidade em locais de trabalho em Luanda
Mobility,Movilidad,Mobilidade
Mobility Index,Índice de movilidad,Índice de Mobilidade
National Grocery and Pharmacy Mobility,Movilidad nacional de supermercados y farmacias,Mobilidade Nacional de Mercearia e Farmácia
National Parks Mobility,Movilidad nacional en parques,Mobilidade Nacional para parques
National Residential Mobility,Movilidad residencial nacional,Mobilidade Residencial Nacional
National Retail and Recreation Mobility,Movilidad minorista y recreativa nacional,Mobilidade Nacional para Varejo e Recreação
National Transit Stations Mobility,Movilidad de las estaciones de tránsito nacional,Mobilidade de estações de trânsito nacional
National Workplaces Mobility,Movilidad nacional en los lugares de trabajo,Mobilidade Nacional em locais de trabalho
Parks Mobility,Movilidad de parques,Mobilidade de parques
Querétaro Grocery and Pharmacy Mobility,Movilidad de supermercados y farmacias en Querétaro,Mobilidade de Mercearia e Farmácia em Querétaro
Querétaro Parks Mobility,Movilidad en parques en Querétaro,Mobilidade para parques em Querétaro
Querétaro Residential Mobility,Movilidad residencial en Querétaro,Mobilidade Residencial em Querétaro
Querétaro Retail and Recreation Mobility,Movilidad minorista y recreativa en Querétaro,Mobilidade para Varejo e Recreação em Querétaro
Querétaro Transit Stations Mobility,Movilidad de las estaciones de tránsito en Querétaro,Mobilidade de estações de trânsito em Querétaro
Querétaro Workplaces Mobility,Movilidad en los lugares de trabajo en Querétaro,Mobilidade em locais de trabalho em Querétaro
Residential Mobility,Movilidad residencial,Mobilidade Residencial
Retail and Recreation Mobility,Movilidad minorista y recreativa,Mobilidade para varejo e recreação
Transit Mobility,Movilidad de tránsito,Mobilidade de trânsito
Workplace Mobility,Movilidad laboral,Mobilidade no local de trabalho
,,
MAP: CHILE,MAP: CHILE,MAP: CHILE
Accumulative Cases,Casos acumulativos,Casos Acumulativos
Accumulative Deaths,Fallecidos Acumulados,Mortes acumuladas
Accumulative PCR Exams,Exámenes de PCR acumulativos,Exames PCR Acumulativos
Current ICU,UCI actual,UTI atual
July Operations,Operaciones de Julio,Operações de julho
July Passengers,Pasajeros de julio,Passageiros de julho
Operations Mean Anomaly,Anomalía del medio de operaciones,Anomalia média de operações
Passengers Mean Anomaly,Los pasajeros significan anomalía,Passageiros Significam Anomalia
Population,Población,População
Status,Estado,Status
,,
MAP: INDONESIA,MAP: INDONESIA,MAP: INDONESIA
Consumtion Expenditure LNPRT % Change from Q1 to Q2,Cambio porcentual de gasto de consumo LNPRT del primer trimestre al segundo,Despesa de consumo LNPRT % Mudança do primeiro trimestre do 1º ao 2º trimestre
Farmer Terms of Trade (September 2020),Términos de intercambio de agricultores (septiembre de 2020),Termos de troca do agricultor (setembro de 2020)
Government Consumption Expenditure % Change from Q1 to Q2,Cambio porcentual de gasto de consumo del gobierno del primer trimestre al segundo,Mudança de % das despesas de consumo do governo  do 1º ao 2º trimestre
Grocery and Pharmacy Mobility % Change from Baseline (late July),Cambio porcentual de movilidad en supermercados y farmacias con respecto al valor inicial (finales de julio),Mudança de % de mobilidade em supermercados e farmácias em relação à linha de base (final de julho)
Gross Domestic Regional Expenditure % Change from Q1 to Q2,Cambio porcentual de gasto bruto producto regional del primer trimestre al segundo,Mudança de % da despesa interna bruta regional do 1º ao 2º trimestre
Household Expenditures % Change from Q1 to Q2,Cambio porcentual de gasto de los hogares del primer trimestre al segundo,Mudança de % das despesas domésticas do T1 ao T2
Net Export % Change from Q1 to Q2,Cambio porcentual de exportación neta del primer trimestre al segundo,Mudança de % de exportação líquida do 1º ao 2º trimestre
Parks Mobility % Change from Baseline (late July),Cambio porcentual de movilidad en parques con respecto al valor inicial (finales de julio),Mudança de % da mobilidade dos parques em relação à linha de base (final de julho)
Poverty Rate (March 2020),Tasa de pobreza (marzo de 2020),Taxa de pobreza (março de 2020)
Recovered Cases,Casos recuperados,Casos Recuperados
Residential Mobility % Change from Baseline (late July),Cambio porcentual de movilidad en residencial con respecto al valor inicial (finales de julio),Mudança de % de mobilidade de residencial da linha de base (final de julho)
Retail and Recreation Mobility % Change from Baseline (late July),Cambio porcentual de movilidad minorista y recreativa con respecto al valor inicial (finales de julio),Mudança de % de mobilidade para varejo e recreação em relação à linha de base (final de julho)
Total Cases,Casos totales,Total de Casos
Transit Mobility % Change from Baseline (late July),Cambio porcentual de movilidad en tránsito con respecto al valor inicial (finales de julio),Mudança de % de mobilidade de trânsito da linha de base (final de julho)
Workplace Mobility % Change from Baseline (late July),Cambio porcentual de movilidad en el lugar de trabajo con respecto al valor inicial (finales de julio),Mudança de % de mobilidade no local de trabalho da linha de base (final de julho)
,,
MAP: LUANDA,MAP: LUANDA,MAP: LUANDA
NO2 Percent Change,Cambio porcentual de NO2,Mudança percentual de NO2
