Sintomas,fecha,numero
Dolor abdominal,2020-07-01,16406.0
Taquipnea,2020-07-01,3155.0
Cianosis,2020-07-01,304.0
Postración,2020-07-01,
Congestión nasal,2020-07-01,
Cefalea,2020-07-05,175697.0
Tos,2020-07-05,166166.0
Mialgia,2020-07-05,166053.0
Fiebre,2020-07-05,108473.0
Odinofagia,2020-07-05,97597.0
Anosmia,2020-07-05,53589.0
Ageusia,2020-07-05,42318.0
Disnea,2020-07-05,33833.0
Diarrea,2020-07-05,29777.0
Dolor torácico,2020-07-05,27176.0
Dolor abdominal,2020-07-05,17502.0
Taquipnea,2020-07-05,3342.0
Cianosis,2020-07-05,317.0
Postración,2020-07-05,
Congestión nasal,2020-07-05,
Cefalea,2020-07-10,184812.0
Tos,2020-07-10,174011.0
Mialgia,2020-07-10,174173.0
Fiebre,2020-07-10,112884.0
Odinofagia,2020-07-10,102448.0
Anosmia,2020-07-10,56837.0
Ageusia,2020-07-10,44984.0
Disnea,2020-07-10,35565.0
Diarrea,2020-07-10,31613.0
Dolor torácico,2020-07-10,28689.0
Dolor abdominal,2020-07-10,18601.0
Taquipnea,2020-07-10,3534.0
Cianosis,2020-07-10,334.0
Postración,2020-07-10,
Congestión nasal,2020-07-10,
Cefalea,2020-07-13,190147.0
Tos,2020-07-13,178583.0
Mialgia,2020-07-13,178872.0
Fiebre,2020-07-13,115332.0
Odinofagia,2020-07-13,105254.0
Anosmia,2020-07-13,46592.0
Ageusia,2020-07-13,46592.0
Disnea,2020-07-13,36522.0
Diarrea,2020-07-13,32570.0
Dolor torácico,2020-07-13,29517.0
Dolor abdominal,2020-07-13,19172.0
Taquipnea,2020-07-13,3623.0
Cianosis,2020-07-13,341.0
Postración,2020-07-13,
Congestión nasal,2020-07-13,
