Casos,Fecha,Casos confirmados
Pacientes VMI,2020-07-22,1388.0
Pacientes no VM,2020-07-22,217.0
Pacientes VM no invasiva,2020-07-22,83.0
Pacientes VMI,2020-07-23,1377.0
Pacientes no VM,2020-07-23,212.0
Pacientes VM no invasiva,2020-07-23,81.0
Pacientes VMI,2020-07-24,1356.0
Pacientes no VM,2020-07-24,202.0
Pacientes VM no invasiva,2020-07-24,78.0
Pacientes VMI,2020-07-25,1312.0
Pacientes no VM,2020-07-25,218.0
Pacientes VM no invasiva,2020-07-25,82.0
Pacientes VMI,2020-07-26,1295.0
Pacientes no VM,2020-07-26,207.0
Pacientes VM no invasiva,2020-07-26,90.0
Pacientes VMI,2020-07-27,1271.0
Pacientes no VM,2020-07-27,201.0
Pacientes VM no invasiva,2020-07-27,83.0
Pacientes VMI,2020-07-28,1208.0
Pacientes no VM,2020-07-28,226.0
Pacientes VM no invasiva,2020-07-28,95.0
Pacientes VMI,2020-07-29,1185.0
Pacientes no VM,2020-07-29,217.0
Pacientes VM no invasiva,2020-07-29,83.0
Pacientes VMI,2020-07-30,1162.0
Pacientes no VM,2020-07-30,211.0
Pacientes VM no invasiva,2020-07-30,90.0
Pacientes VMI,2020-07-31,1159.0
Pacientes no VM,2020-07-31,207.0
Pacientes VM no invasiva,2020-07-31,79.0
Pacientes VMI,2020-08-01,1158.0
Pacientes no VM,2020-08-01,208.0
Pacientes VM no invasiva,2020-08-01,79.0
Pacientes VMI,2020-08-02,1151.0
Pacientes no VM,2020-08-02,199.0
Pacientes VM no invasiva,2020-08-02,87.0
Pacientes VMI,2020-08-03,1140.0
Pacientes no VM,2020-08-03,198.0
Pacientes VM no invasiva,2020-08-03,81.0
Pacientes VMI,2020-08-04,1126.0
Pacientes no VM,2020-08-04,199.0
Pacientes VM no invasiva,2020-08-04,80.0
Pacientes VMI,2020-08-05,1092.0
Pacientes no VM,2020-08-05,221.0
Pacientes VM no invasiva,2020-08-05,87.0
Pacientes VMI,2020-08-06,1051.0
Pacientes no VM,2020-08-06,218.0
Pacientes VM no invasiva,2020-08-06,89.0
Pacientes VMI,2020-08-07,1044.0
Pacientes no VM,2020-08-07,221.0
Pacientes VM no invasiva,2020-08-07,83.0
Pacientes VMI,2020-08-08,1003.0
Pacientes no VM,2020-08-08,215.0
Pacientes VM no invasiva,2020-08-08,87.0
Pacientes VMI,2020-08-09,978.0
Pacientes no VM,2020-08-09,211.0
Pacientes VM no invasiva,2020-08-09,87.0
Pacientes VMI,2020-08-10,994.0
Pacientes no VM,2020-08-10,200.0
Pacientes VM no invasiva,2020-08-10,86.0
Pacientes VMI,2020-08-11,986.0
Pacientes no VM,2020-08-11,201.0
Pacientes VM no invasiva,2020-08-11,81.0
Pacientes VMI,2020-08-12,973.0
Pacientes no VM,2020-08-12,208.0
Pacientes VM no invasiva,2020-08-12,74.0
Pacientes VMI,2020-08-13,962.0
Pacientes no VM,2020-08-13,229.0
Pacientes VM no invasiva,2020-08-13,68.0
Pacientes VMI,2020-08-14,924.0
Pacientes no VM,2020-08-14,245.0
Pacientes VM no invasiva,2020-08-14,83.0
Pacientes VMI,2020-08-15,899.0
Pacientes no VM,2020-08-15,231.0
Pacientes VM no invasiva,2020-08-15,77.0
Pacientes VMI,2020-08-16,879.0
Pacientes no VM,2020-08-16,232.0
Pacientes VM no invasiva,2020-08-16,79.0
Pacientes VMI,2020-08-17,869.0
Pacientes no VM,2020-08-17,221.0
Pacientes VM no invasiva,2020-08-17,87.0
Pacientes VMI,2020-08-18,867.0
Pacientes no VM,2020-08-18,208.0
Pacientes VM no invasiva,2020-08-18,82.0
Pacientes VMI,2020-08-19,833.0
Pacientes no VM,2020-08-19,209.0
Pacientes VM no invasiva,2020-08-19,78.0
Pacientes VMI,2020-08-20,794.0
Pacientes no VM,2020-08-20,209.0
Pacientes VM no invasiva,2020-08-20,74.0
Pacientes VMI,2020-08-21,781.0
Pacientes no VM,2020-08-21,212.0
Pacientes VM no invasiva,2020-08-21,79.0
Pacientes VMI,2020-08-22,773.0
Pacientes no VM,2020-08-22,212.0
Pacientes VM no invasiva,2020-08-22,73.0
Pacientes VMI,2020-08-23,742.0
Pacientes no VM,2020-08-23,213.0
Pacientes VM no invasiva,2020-08-23,72.0
Pacientes VMI,2020-08-24,742.0
Pacientes no VM,2020-08-24,204.0
Pacientes VM no invasiva,2020-08-24,68.0
Pacientes VMI,2020-08-25,745.0
Pacientes no VM,2020-08-25,193.0
Pacientes VM no invasiva,2020-08-25,73.0
Pacientes VMI,2020-08-26,727.0
Pacientes no VM,2020-08-26,212.0
Pacientes VM no invasiva,2020-08-26,65.0
Pacientes VMI,2020-08-27,740.0
Pacientes no VM,2020-08-27,207.0
Pacientes VM no invasiva,2020-08-27,65.0
Pacientes VMI,2020-08-28,733.0
Pacientes no VM,2020-08-28,199.0
Pacientes VM no invasiva,2020-08-28,63.0
Pacientes VMI,2020-08-29,708.0
Pacientes no VM,2020-08-29,183.0
Pacientes VM no invasiva,2020-08-29,68.0
