Semana,Inicio_semana,Fin_semana,Origen,Cod_region_origen,Region_origen,Destino,Cod_region_destino,Region_destino,Operaciones,Pasajeros
10,2020-03-02,2020-03-08,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,303.0
11,2020-03-09,2020-03-15,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,235.0
12,2020-03-16,2020-03-22,Concepción,8,Biobío,Arica,15,Arica y Parinacota,1.0,64.0
27,2020-06-29,2020-07-05,Concepción,8,Biobío,Arica,15,Arica y Parinacota,1.0,37.0
28,2020-07-06,2020-07-12,Concepción,8,Biobío,Arica,15,Arica y Parinacota,1.0,32.0
29,2020-07-13,2020-07-19,Concepción,8,Biobío,Arica,15,Arica y Parinacota,1.0,32.0
30,2020-07-20,2020-07-26,Concepción,8,Biobío,Arica,15,Arica y Parinacota,1.0,20.0
31,2020-07-27,2020-08-02,Concepción,8,Biobío,Arica,15,Arica y Parinacota,1.0,22.0
12,2020-03-16,2020-03-22,Iquique,1,Tarapacá,Arica,15,Arica y Parinacota,2.0,52.0
15,2020-04-06,2020-04-12,Iquique,1,Tarapacá,Arica,15,Arica y Parinacota,1.0,15.0
18,2020-04-27,2020-05-03,Iquique,1,Tarapacá,Arica,15,Arica y Parinacota,1.0,34.0
34,2020-08-17,2020-08-23,Iquique,1,Tarapacá,Arica,15,Arica y Parinacota,2.0,85.0
1,2020-01-01,2020-01-05,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,2.0,319.0
2,2020-01-06,2020-01-12,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,2.0,326.0
3,2020-01-13,2020-01-19,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,2.0,336.0
4,2020-01-20,2020-01-26,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,4.0,660.0
5,2020-01-27,2020-02-02,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,3.0,498.0
5,2020-01-27,2020-02-02,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,161.0
6,2020-02-03,2020-02-09,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,4.0,667.0
7,2020-02-10,2020-02-16,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,4.0,627.0
8,2020-02-17,2020-02-23,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,4.0,609.0
9,2020-02-24,2020-03-01,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,3.0,430.0
9,2020-02-24,2020-03-01,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,161.0
10,2020-03-02,2020-03-08,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,2.0,295.0
11,2020-03-09,2020-03-15,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,2.0,252.0
12,2020-03-16,2020-03-22,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,2.0,146.0
14,2020-03-30,2020-04-05,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,98.0
27,2020-06-29,2020-07-05,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,38.0
28,2020-07-06,2020-07-12,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,30.0
29,2020-07-13,2020-07-19,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,35.0
30,2020-07-20,2020-07-26,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,23.0
31,2020-07-27,2020-08-02,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,33.0
32,2020-08-03,2020-08-09,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,71.0
34,2020-08-17,2020-08-23,La Serena,4,Coquimbo,Arica,15,Arica y Parinacota,1.0,77.0
1,2020-01-01,2020-01-05,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,45.0,6898.0
2,2020-01-06,2020-01-12,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,70.0,10640.0
3,2020-01-13,2020-01-19,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,70.0,11038.0
4,2020-01-20,2020-01-26,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,74.0,11943.0
5,2020-01-27,2020-02-02,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,53.0,8731.0
5,2020-01-27,2020-02-02,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,24.0,3764.0
6,2020-02-03,2020-02-09,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,77.0,12343.0
7,2020-02-10,2020-02-16,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,76.0,11838.0
8,2020-02-17,2020-02-23,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,77.0,11714.0
9,2020-02-24,2020-03-01,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,63.0,9239.0
9,2020-02-24,2020-03-01,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,12.0,1764.0
10,2020-03-02,2020-03-08,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,49.0,7519.0
11,2020-03-09,2020-03-15,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,44.0,6782.0
12,2020-03-16,2020-03-22,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,28.0,3231.0
13,2020-03-23,2020-03-29,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,7.0,759.0
14,2020-03-30,2020-04-05,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,2.0,114.0
14,2020-03-30,2020-04-05,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,5.0,371.0
15,2020-04-06,2020-04-12,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,3.0,177.0
16,2020-04-13,2020-04-19,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,1.0,59.0
19,2020-05-04,2020-05-10,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,2.0,246.0
20,2020-05-11,2020-05-17,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,2.0,193.0
21,2020-05-18,2020-05-24,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,3.0,247.0
22,2020-05-25,2020-05-31,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,3.0,254.0
23,2020-06-01,2020-06-07,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,4.0,409.0
24,2020-06-08,2020-06-14,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,5.0,410.0
25,2020-06-15,2020-06-21,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,4.0,315.0
26,2020-06-22,2020-06-28,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,4.0,287.0
27,2020-06-29,2020-07-05,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,2.0,214.0
27,2020-06-29,2020-07-05,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,4.0,402.0
28,2020-07-06,2020-07-12,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,5.0,367.0
29,2020-07-13,2020-07-19,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,3.0,222.0
30,2020-07-20,2020-07-26,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,5.0,476.0
31,2020-07-27,2020-08-02,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,4.0,289.0
31,2020-07-27,2020-08-02,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,1.0,108.0
32,2020-08-03,2020-08-09,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,4.0,333.0
33,2020-08-10,2020-08-16,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,3.0,316.0
34,2020-08-17,2020-08-23,Santiago,13,Metropolitana,Arica,15,Arica y Parinacota,5.0,497.0
1,2020-01-01,2020-01-05,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,886.0
2,2020-01-06,2020-01-12,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,958.0
3,2020-01-13,2020-01-19,Antofagasta,2,Antofagasta,Concepción,8,Biobío,7.0,1114.0
4,2020-01-20,2020-01-26,Antofagasta,2,Antofagasta,Concepción,8,Biobío,7.0,1111.0
5,2020-01-27,2020-02-02,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,696.0
5,2020-01-27,2020-02-02,Antofagasta,2,Antofagasta,Concepción,8,Biobío,1.0,180.0
6,2020-02-03,2020-02-09,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,987.0
7,2020-02-10,2020-02-16,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,909.0
8,2020-02-17,2020-02-23,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,910.0
9,2020-02-24,2020-03-01,Antofagasta,2,Antofagasta,Concepción,8,Biobío,5.0,700.0
9,2020-02-24,2020-03-01,Antofagasta,2,Antofagasta,Concepción,8,Biobío,1.0,113.0
10,2020-03-02,2020-03-08,Antofagasta,2,Antofagasta,Concepción,8,Biobío,9.0,989.0
11,2020-03-09,2020-03-15,Antofagasta,2,Antofagasta,Concepción,8,Biobío,9.0,1050.0
12,2020-03-16,2020-03-22,Antofagasta,2,Antofagasta,Concepción,8,Biobío,7.0,929.0
13,2020-03-23,2020-03-29,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,976.0
14,2020-03-30,2020-04-05,Antofagasta,2,Antofagasta,Concepción,8,Biobío,2.0,274.0
15,2020-04-06,2020-04-12,Antofagasta,2,Antofagasta,Concepción,8,Biobío,3.0,222.0
16,2020-04-13,2020-04-19,Antofagasta,2,Antofagasta,Concepción,8,Biobío,1.0,110.0
17,2020-04-20,2020-04-26,Antofagasta,2,Antofagasta,Concepción,8,Biobío,4.0,479.0
18,2020-04-27,2020-05-03,Antofagasta,2,Antofagasta,Concepción,8,Biobío,1.0,126.0
18,2020-04-27,2020-05-03,Antofagasta,2,Antofagasta,Concepción,8,Biobío,1.0,76.0
19,2020-05-04,2020-05-10,Antofagasta,2,Antofagasta,Concepción,8,Biobío,5.0,613.0
20,2020-05-11,2020-05-17,Antofagasta,2,Antofagasta,Concepción,8,Biobío,3.0,203.0
21,2020-05-18,2020-05-24,Antofagasta,2,Antofagasta,Concepción,8,Biobío,5.0,478.0
22,2020-05-25,2020-05-31,Antofagasta,2,Antofagasta,Concepción,8,Biobío,3.0,194.0
23,2020-06-01,2020-06-07,Antofagasta,2,Antofagasta,Concepción,8,Biobío,6.0,574.0
24,2020-06-08,2020-06-14,Antofagasta,2,Antofagasta,Concepción,8,Biobío,4.0,276.0
25,2020-06-15,2020-06-21,Antofagasta,2,Antofagasta,Concepción,8,Biobío,4.0,288.0
26,2020-06-22,2020-06-28,Antofagasta,2,Antofagasta,Concepción,8,Biobío,8.0,969.0
27,2020-06-29,2020-07-05,Antofagasta,2,Antofagasta,Concepción,8,Biobío,2.0,135.0
27,2020-06-29,2020-07-05,Antofagasta,2,Antofagasta,Concepción,8,Biobío,8.0,790.0
28,2020-07-06,2020-07-12,Antofagasta,2,Antofagasta,Concepción,8,Biobío,9.0,625.0
29,2020-07-13,2020-07-19,Antofagasta,2,Antofagasta,Concepción,8,Biobío,12.0,1064.0
30,2020-07-20,2020-07-26,Antofagasta,2,Antofagasta,Concepción,8,Biobío,11.0,1041.0
31,2020-07-27,2020-08-02,Antofagasta,2,Antofagasta,Concepción,8,Biobío,5.0,347.0
31,2020-07-27,2020-08-02,Antofagasta,2,Antofagasta,Concepción,8,Biobío,5.0,534.0
32,2020-08-03,2020-08-09,Antofagasta,2,Antofagasta,Concepción,8,Biobío,10.0,1261.0
33,2020-08-10,2020-08-16,Antofagasta,2,Antofagasta,Concepción,8,Biobío,7.0,1056.0
34,2020-08-17,2020-08-23,Antofagasta,2,Antofagasta,Concepción,8,Biobío,7.0,889.0
1,2020-01-01,2020-01-05,Arica,15,Arica y Parinacota,Concepción,8,Biobío,2.0,264.0
2,2020-01-06,2020-01-12,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,427.0
3,2020-01-13,2020-01-19,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,469.0
4,2020-01-20,2020-01-26,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,460.0
5,2020-01-27,2020-02-02,Arica,15,Arica y Parinacota,Concepción,8,Biobío,2.0,304.0
5,2020-01-27,2020-02-02,Arica,15,Arica y Parinacota,Concepción,8,Biobío,1.0,157.0
6,2020-02-03,2020-02-09,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,452.0
7,2020-02-10,2020-02-16,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,463.0
8,2020-02-17,2020-02-23,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,467.0
9,2020-02-24,2020-03-01,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,441.0
10,2020-03-02,2020-03-08,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,336.0
11,2020-03-09,2020-03-15,Arica,15,Arica y Parinacota,Concepción,8,Biobío,3.0,283.0
12,2020-03-16,2020-03-22,Arica,15,Arica y Parinacota,Concepción,8,Biobío,1.0,97.0
27,2020-06-29,2020-07-05,Arica,15,Arica y Parinacota,Concepción,8,Biobío,1.0,40.0
28,2020-07-06,2020-07-12,Arica,15,Arica y Parinacota,Concepción,8,Biobío,1.0,25.0
29,2020-07-13,2020-07-19,Arica,15,Arica y Parinacota,Concepción,8,Biobío,1.0,24.0
30,2020-07-20,2020-07-26,Arica,15,Arica y Parinacota,Concepción,8,Biobío,1.0,18.0
31,2020-07-27,2020-08-02,Arica,15,Arica y Parinacota,Concepción,8,Biobío,1.0,28.0
1,2020-01-01,2020-01-05,Balmaceda,11,Aysén,Concepción,8,Biobío,1.0,176.0
2,2020-01-06,2020-01-12,Balmaceda,11,Aysén,Concepción,8,Biobío,2.0,317.0
3,2020-01-13,2020-01-19,Balmaceda,11,Aysén,Concepción,8,Biobío,2.0,325.0
4,2020-01-20,2020-01-26,Balmaceda,11,Aysén,Concepción,8,Biobío,2.0,318.0
5,2020-01-27,2020-02-02,Balmaceda,11,Aysén,Concepción,8,Biobío,1.0,142.0
5,2020-01-27,2020-02-02,Balmaceda,11,Aysén,Concepción,8,Biobío,1.0,165.0
6,2020-02-03,2020-02-09,Balmaceda,11,Aysén,Concepción,8,Biobío,2.0,332.0
7,2020-02-10,2020-02-16,Balmaceda,11,Aysén,Concepción,8,Biobío,2.0,295.0
8,2020-02-17,2020-02-23,Balmaceda,11,Aysén,Concepción,8,Biobío,3.0,449.0
9,2020-02-24,2020-03-01,Balmaceda,11,Aysén,Concepción,8,Biobío,3.0,463.0
10,2020-03-02,2020-03-08,Balmaceda,11,Aysén,Concepción,8,Biobío,2.0,291.0
11,2020-03-09,2020-03-15,Balmaceda,11,Aysén,Concepción,8,Biobío,2.0,288.0
12,2020-03-16,2020-03-22,Balmaceda,11,Aysén,Concepción,8,Biobío,1.0,94.0
1,2020-01-01,2020-01-05,Calama,2,Antofagasta,Concepción,8,Biobío,4.0,548.0
2,2020-01-06,2020-01-12,Calama,2,Antofagasta,Concepción,8,Biobío,8.0,1283.0
3,2020-01-13,2020-01-19,Calama,2,Antofagasta,Concepción,8,Biobío,8.0,1351.0
4,2020-01-20,2020-01-26,Calama,2,Antofagasta,Concepción,8,Biobío,8.0,1258.0
5,2020-01-27,2020-02-02,Calama,2,Antofagasta,Concepción,8,Biobío,7.0,1158.0
5,2020-01-27,2020-02-02,Calama,2,Antofagasta,Concepción,8,Biobío,1.0,133.0
6,2020-02-03,2020-02-09,Calama,2,Antofagasta,Concepción,8,Biobío,7.0,1107.0
7,2020-02-10,2020-02-16,Calama,2,Antofagasta,Concepción,8,Biobío,7.0,1118.0
8,2020-02-17,2020-02-23,Calama,2,Antofagasta,Concepción,8,Biobío,7.0,973.0
9,2020-02-24,2020-03-01,Calama,2,Antofagasta,Concepción,8,Biobío,6.0,880.0
10,2020-03-02,2020-03-08,Calama,2,Antofagasta,Concepción,8,Biobío,9.0,1179.0
11,2020-03-09,2020-03-15,Calama,2,Antofagasta,Concepción,8,Biobío,8.0,1136.0
12,2020-03-16,2020-03-22,Calama,2,Antofagasta,Concepción,8,Biobío,6.0,923.0
13,2020-03-23,2020-03-29,Calama,2,Antofagasta,Concepción,8,Biobío,4.0,499.0
14,2020-03-30,2020-04-05,Calama,2,Antofagasta,Concepción,8,Biobío,3.0,551.0
14,2020-03-30,2020-04-05,Calama,2,Antofagasta,Concepción,8,Biobío,4.0,416.0
15,2020-04-06,2020-04-12,Calama,2,Antofagasta,Concepción,8,Biobío,5.0,639.0
16,2020-04-13,2020-04-19,Calama,2,Antofagasta,Concepción,8,Biobío,5.0,755.0
17,2020-04-20,2020-04-26,Calama,2,Antofagasta,Concepción,8,Biobío,5.0,691.0
18,2020-04-27,2020-05-03,Calama,2,Antofagasta,Concepción,8,Biobío,5.0,694.0
18,2020-04-27,2020-05-03,Calama,2,Antofagasta,Concepción,8,Biobío,1.0,101.0
19,2020-05-04,2020-05-10,Calama,2,Antofagasta,Concepción,8,Biobío,7.0,763.0
20,2020-05-11,2020-05-17,Calama,2,Antofagasta,Concepción,8,Biobío,8.0,944.0
21,2020-05-18,2020-05-24,Calama,2,Antofagasta,Concepción,8,Biobío,7.0,797.0
22,2020-05-25,2020-05-31,Calama,2,Antofagasta,Concepción,8,Biobío,8.0,906.0
23,2020-06-01,2020-06-07,Calama,2,Antofagasta,Concepción,8,Biobío,9.0,871.0
24,2020-06-08,2020-06-14,Calama,2,Antofagasta,Concepción,8,Biobío,10.0,958.0
25,2020-06-15,2020-06-21,Calama,2,Antofagasta,Concepción,8,Biobío,9.0,786.0
26,2020-06-22,2020-06-28,Calama,2,Antofagasta,Concepción,8,Biobío,11.0,947.0
27,2020-06-29,2020-07-05,Calama,2,Antofagasta,Concepción,8,Biobío,2.0,153.0
27,2020-06-29,2020-07-05,Calama,2,Antofagasta,Concepción,8,Biobío,3.0,187.0
28,2020-07-06,2020-07-12,Calama,2,Antofagasta,Concepción,8,Biobío,6.0,353.0
29,2020-07-13,2020-07-19,Calama,2,Antofagasta,Concepción,8,Biobío,5.0,337.0
30,2020-07-20,2020-07-26,Calama,2,Antofagasta,Concepción,8,Biobío,4.0,241.0
31,2020-07-27,2020-08-02,Calama,2,Antofagasta,Concepción,8,Biobío,3.0,214.0
32,2020-08-03,2020-08-09,Calama,2,Antofagasta,Concepción,8,Biobío,2.0,187.0
33,2020-08-10,2020-08-16,Calama,2,Antofagasta,Concepción,8,Biobío,2.0,183.0
34,2020-08-17,2020-08-23,Calama,2,Antofagasta,Concepción,8,Biobío,1.0,48.0
12,2020-03-16,2020-03-22,Copiapó,3,Atacama,Concepción,8,Biobío,1.0,33.0
1,2020-01-01,2020-01-05,Iquique,1,Tarapacá,Concepción,8,Biobío,8.0,847.0
2,2020-01-06,2020-01-12,Iquique,1,Tarapacá,Concepción,8,Biobío,11.0,1362.0
3,2020-01-13,2020-01-19,Iquique,1,Tarapacá,Concepción,8,Biobío,11.0,1438.0
4,2020-01-20,2020-01-26,Iquique,1,Tarapacá,Concepción,8,Biobío,11.0,1430.0
5,2020-01-27,2020-02-02,Iquique,1,Tarapacá,Concepción,8,Biobío,9.0,1142.0
5,2020-01-27,2020-02-02,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,338.0
6,2020-02-03,2020-02-09,Iquique,1,Tarapacá,Concepción,8,Biobío,11.0,1397.0
7,2020-02-10,2020-02-16,Iquique,1,Tarapacá,Concepción,8,Biobío,11.0,1443.0
8,2020-02-17,2020-02-23,Iquique,1,Tarapacá,Concepción,8,Biobío,11.0,1430.0
9,2020-02-24,2020-03-01,Iquique,1,Tarapacá,Concepción,8,Biobío,10.0,1297.0
9,2020-02-24,2020-03-01,Iquique,1,Tarapacá,Concepción,8,Biobío,1.0,133.0
10,2020-03-02,2020-03-08,Iquique,1,Tarapacá,Concepción,8,Biobío,9.0,998.0
11,2020-03-09,2020-03-15,Iquique,1,Tarapacá,Concepción,8,Biobío,9.0,1036.0
12,2020-03-16,2020-03-22,Iquique,1,Tarapacá,Concepción,8,Biobío,10.0,1487.0
13,2020-03-23,2020-03-29,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,155.0
19,2020-05-04,2020-05-10,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,119.0
20,2020-05-11,2020-05-17,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,115.0
21,2020-05-18,2020-05-24,Iquique,1,Tarapacá,Concepción,8,Biobío,1.0,41.0
22,2020-05-25,2020-05-31,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,101.0
23,2020-06-01,2020-06-07,Iquique,1,Tarapacá,Concepción,8,Biobío,1.0,59.0
24,2020-06-08,2020-06-14,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,76.0
25,2020-06-15,2020-06-21,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,84.0
26,2020-06-22,2020-06-28,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,85.0
27,2020-06-29,2020-07-05,Iquique,1,Tarapacá,Concepción,8,Biobío,1.0,39.0
27,2020-06-29,2020-07-05,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,93.0
28,2020-07-06,2020-07-12,Iquique,1,Tarapacá,Concepción,8,Biobío,3.0,173.0
29,2020-07-13,2020-07-19,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,113.0
30,2020-07-20,2020-07-26,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,131.0
31,2020-07-27,2020-08-02,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,130.0
32,2020-08-03,2020-08-09,Iquique,1,Tarapacá,Concepción,8,Biobío,2.0,149.0
34,2020-08-17,2020-08-23,Iquique,1,Tarapacá,Concepción,8,Biobío,1.0,103.0
1,2020-01-01,2020-01-05,La Serena,4,Coquimbo,Concepción,8,Biobío,2.0,268.0
2,2020-01-06,2020-01-12,La Serena,4,Coquimbo,Concepción,8,Biobío,4.0,500.0
3,2020-01-13,2020-01-19,La Serena,4,Coquimbo,Concepción,8,Biobío,4.0,478.0
4,2020-01-20,2020-01-26,La Serena,4,Coquimbo,Concepción,8,Biobío,3.0,407.0
5,2020-01-27,2020-02-02,La Serena,4,Coquimbo,Concepción,8,Biobío,3.0,427.0
5,2020-01-27,2020-02-02,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,136.0
6,2020-02-03,2020-02-09,La Serena,4,Coquimbo,Concepción,8,Biobío,4.0,594.0
7,2020-02-10,2020-02-16,La Serena,4,Coquimbo,Concepción,8,Biobío,4.0,583.0
8,2020-02-17,2020-02-23,La Serena,4,Coquimbo,Concepción,8,Biobío,4.0,567.0
9,2020-02-24,2020-03-01,La Serena,4,Coquimbo,Concepción,8,Biobío,4.0,474.0
10,2020-03-02,2020-03-08,La Serena,4,Coquimbo,Concepción,8,Biobío,3.0,329.0
11,2020-03-09,2020-03-15,La Serena,4,Coquimbo,Concepción,8,Biobío,2.0,221.0
12,2020-03-16,2020-03-22,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,71.0
14,2020-03-30,2020-04-05,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,94.0
17,2020-04-20,2020-04-26,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,81.0
27,2020-06-29,2020-07-05,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,32.0
28,2020-07-06,2020-07-12,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,28.0
29,2020-07-13,2020-07-19,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,29.0
30,2020-07-20,2020-07-26,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,17.0
31,2020-07-27,2020-08-02,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,44.0
32,2020-08-03,2020-08-09,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,77.0
34,2020-08-17,2020-08-23,La Serena,4,Coquimbo,Concepción,8,Biobío,1.0,90.0
12,2020-03-16,2020-03-22,Puerto Montt,10,Los Lagos,Concepción,8,Biobío,1.0,148.0
