Region,Antofagasta,Arica y Parinacota,Atacama,Aysén,Biobío,Coquimbo,Araucanía,O’Higgins,Los Lagos,Los Ríos,Magallanes,Maule,Metropolitana,Tarapacá,Valparaíso,Ñuble,Total
2020-03-22,0.2,0.1,0.0,0.0,0.3,0.1,0.4,0.1,0.4,0.0,0.3,0.2,0.6,0.0,0.1,1.7,0.4
2020-03-23,0.2,0.1,0.0,0.0,0.4,0.1,0.5,0.1,0.5,0.1,0.5,0.2,0.6,0.0,0.1,1.9,0.4
2020-03-24,0.2,0.1,0.0,0.0,0.6,0.2,0.8,0.1,0.6,0.2,0.5,0.3,0.7,0.1,0.2,2.2,0.5
2020-03-25,0.4,0.1,0.0,0.0,0.8,0.2,1.0,0.2,0.6,0.4,0.9,0.2,0.9,0.1,0.2,2.4,0.7
2020-03-26,0.4,0.1,0.0,0.1,0.8,0.2,1.5,0.2,0.7,0.5,1.4,0.2,0.9,0.2,0.3,2.4,0.7
2020-03-27,0.3,0.1,0.0,0.1,1.0,0.2,1.9,0.1,0.7,0.7,1.6,0.2,1.1,0.2,0.3,2.8,0.9
2020-03-28,0.3,0.1,0.0,0.1,1.0,0.2,2.3,0.2,1.2,0.9,1.8,0.3,1.3,0.2,0.4,3.2,1.0
2020-03-29,0.3,0.1,0.0,0.1,1.3,0.2,2.5,0.2,1.3,1.4,2.8,0.2,1.3,0.2,0.5,3.7,1.1
2020-03-30,0.5,0.2,0.0,0.1,1.3,0.4,2.9,0.2,1.5,1.5,2.6,0.3,1.5,0.3,0.6,4.1,1.3
2020-03-31,0.5,0.2,0.0,0.1,1.2,0.3,3.4,0.2,1.8,1.8,4.4,0.4,1.5,0.2,0.7,3.9,1.3
2020-04-01,0.4,0.2,0.1,0.3,1.2,0.3,3.8,0.2,2.2,1.9,6.9,0.5,1.5,0.2,0.8,4.1,1.4
2020-04-02,0.6,0.2,0.1,0.4,1.4,0.4,3.9,0.3,2.3,1.9,7.6,0.6,1.6,0.3,0.8,6.3,1.5
2020-04-03,0.7,0.5,0.2,0.5,1.4,0.4,4.1,0.2,2.7,2.0,10.7,0.7,1.4,0.3,0.9,6.3,1.6
2020-04-04,0.6,0.5,0.2,0.5,1.7,0.5,4.2,0.3,2.7,2.2,11.7,0.8,1.5,0.4,0.8,6.4,1.7
2020-04-05,0.7,1.4,0.1,0.7,1.5,0.5,4.3,0.3,2.8,2.1,12.1,0.8,1.6,0.5,0.8,6.4,1.7
2020-04-06,0.7,2.0,0.1,0.7,1.6,0.4,4.4,0.3,2.5,2.0,14.6,0.7,1.7,0.5,0.7,6.8,1.7
2020-04-07,0.7,2.7,0.2,0.7,1.7,0.4,4.4,0.3,2.4,1.8,14.2,0.6,1.6,0.5,0.7,7.7,1.7
2020-04-08,0.8,3.2,0.2,0.5,1.7,0.4,4.6,0.2,2.3,1.8,13.4,0.6,1.8,0.6,0.6,8.4,1.8
2020-04-09,0.9,3.9,0.3,0.3,1.6,0.5,4.2,0.2,2.2,1.8,13.8,0.6,2.1,0.6,0.5,6.4,1.9
2020-04-10,1.2,4.2,0.4,0.1,1.5,0.4,3.9,0.2,1.8,1.6,14.0,0.5,2.6,0.8,0.5,6.1,2.0
2020-04-11,1.3,5.4,0.4,0.1,1.2,0.3,3.7,0.1,1.7,1.4,16.4,0.5,2.6,0.8,0.5,5.7,2.0
2020-04-12,1.6,4.9,0.4,0.0,1.2,0.3,3.7,0.1,1.5,1.3,16.5,0.4,2.6,1.0,0.5,5.3,2.0
2020-04-13,1.7,4.2,0.4,0.0,1.1,0.3,3.3,0.1,1.5,1.2,15.5,0.4,2.7,1.2,0.5,4.0,2.0
2020-04-14,1.8,3.8,0.3,0.0,1.0,0.2,2.9,0.2,1.4,1.4,15.1,0.4,3.1,1.5,0.5,2.8,2.1
2020-04-15,2.0,3.5,0.2,0.0,0.9,0.2,2.2,0.2,1.0,1.3,14.3,0.4,3.1,1.3,0.5,2.0,2.0
2020-04-16,2.1,3.1,0.1,0.0,0.9,0.1,2.7,0.1,0.9,1.2,14.5,0.5,3.3,1.4,0.7,1.9,2.1
2020-04-17,2.1,2.7,0.0,0.0,0.9,0.1,2.7,0.2,1.0,1.1,13.6,1.2,3.0,1.4,0.8,1.9,2.0
2020-04-18,2.3,2.0,0.0,0.0,1.0,0.1,2.9,0.1,0.8,0.9,11.6,1.8,3.1,1.6,0.8,1.7,2.1
2020-04-19,2.3,1.7,0.0,0.0,1.0,0.0,2.8,0.1,0.8,0.8,12.6,2.1,3.1,1.6,0.9,1.8,2.1
2020-04-20,2.4,2.6,0.0,0.0,1.0,0.1,3.5,0.1,0.7,0.8,12.1,2.1,3.2,1.5,0.8,1.9,2.2
2020-04-21,2.8,2.8,0.0,0.0,0.9,0.1,3.9,0.1,0.8,0.7,13.1,2.2,3.0,1.6,0.9,2.0,2.1
2020-04-22,3.1,3.2,0.0,0.0,1.0,0.1,4.0,0.1,0.9,0.7,12.9,2.2,3.1,1.9,0.9,1.9,2.2
2020-04-23,3.1,4.6,0.2,0.0,1.0,0.0,3.7,0.3,0.9,0.7,11.9,2.1,3.1,2.3,0.7,1.9,2.2
2020-04-24,3.2,5.9,0.4,0.0,0.9,0.1,3.9,0.4,0.8,0.7,9.9,1.6,3.2,2.3,0.7,1.6,2.2
2020-04-25,3.4,5.8,0.5,0.0,0.8,0.1,3.6,0.4,0.8,0.7,10.7,0.9,3.5,2.3,0.7,1.6,2.3
2020-04-26,4.0,6.1,0.7,0.0,0.7,0.1,3.4,0.5,0.8,0.7,9.2,0.7,3.7,2.5,0.6,1.5,2.4
2020-04-27,4.0,5.9,1.0,0.0,0.7,0.1,2.7,0.5,0.8,0.6,8.4,0.7,3.9,2.6,0.7,1.5,2.4
2020-04-28,3.9,5.6,1.0,0.0,0.6,0.1,2.2,0.6,0.7,0.5,8.0,0.9,4.4,2.4,0.7,1.5,2.6
2020-04-29,3.9,5.2,1.3,0.0,0.5,0.1,2.3,0.6,0.6,0.4,8.7,0.8,4.9,2.6,0.8,1.6,2.8
2020-04-30,4.3,3.9,1.1,0.0,0.4,0.1,2.1,0.5,0.5,0.6,8.8,0.8,5.6,2.6,0.9,1.7,3.1
2020-05-01,4.6,3.3,1.0,0.0,0.4,0.1,1.6,0.4,0.7,0.5,8.2,0.6,6.6,2.5,1.0,1.5,3.5
2020-05-02,5.9,3.5,1.6,0.0,0.5,0.1,1.6,0.5,0.8,0.7,7.8,0.6,7.9,2.6,1.2,1.4,4.1
2020-05-03,6.1,3.2,1.7,0.0,0.5,0.3,1.6,0.5,0.7,0.7,8.7,0.5,9.1,4.3,1.3,1.5,4.6
2020-05-04,6.3,2.4,1.6,0.0,0.5,0.3,1.3,0.5,0.8,0.7,9.9,0.5,10.0,4.9,1.2,1.3,5.0
2020-05-05,6.8,2.7,2.0,0.0,0.6,0.4,1.4,0.6,0.8,0.7,9.3,0.3,11.3,5.7,1.4,1.2,5.6
2020-05-06,7.0,2.6,1.7,0.0,0.6,0.4,1.3,0.6,1.0,0.6,8.3,0.2,11.8,5.8,1.4,0.8,5.8
2020-05-07,7.2,2.6,2.0,0.1,0.7,0.4,1.3,0.6,0.9,0.5,8.9,0.3,12.7,8.2,1.6,0.7,6.2
2020-05-08,6.9,1.7,2.0,0.1,1.0,0.6,1.5,0.8,0.8,0.5,11.3,0.4,13.1,9.7,1.9,0.7,6.5
2020-05-09,5.5,1.7,2.6,0.1,1.1,0.9,1.5,0.9,0.7,0.4,10.3,0.5,12.8,10.2,1.9,0.7,6.4
2020-05-10,4.9,1.8,2.6,0.1,1.2,0.8,1.8,1.0,0.9,0.3,9.3,0.6,13.5,9.3,2.1,0.7,6.7
2020-05-11,5.2,2.4,2.9,0.1,1.5,0.8,1.9,1.2,1.1,0.3,8.5,0.7,13.7,9.4,2.3,0.8,6.9
2020-05-12,6.2,2.0,2.5,0.1,1.4,0.9,1.8,1.3,1.1,0.4,8.1,0.7,14.1,9.6,2.5,1.0,7.1
2020-05-13,7.5,2.3,2.7,0.1,1.6,1.0,1.9,1.5,1.4,0.4,8.2,1.0,16.5,10.3,3.0,1.3,8.3
2020-05-14,7.9,2.2,2.4,0.0,1.6,1.1,2.1,2.1,1.4,0.4,7.9,1.3,18.3,9.9,3.1,1.6,9.1
2020-05-15,8.4,2.3,2.5,0.0,1.7,1.2,2.3,2.2,1.5,0.6,5.6,1.5,19.9,11.9,3.5,2.5,10.0
2020-05-16,10.0,2.3,1.3,0.0,1.6,1.0,2.4,2.1,1.4,0.5,5.7,1.5,20.8,13.4,3.5,3.4,10.4
2020-05-17,10.9,2.2,1.1,0.0,1.7,1.0,2.1,2.5,1.2,0.5,5.4,1.7,21.7,17.0,3.9,3.6,11.0
2020-05-18,11.9,2.7,1.1,0.0,1.8,1.2,2.4,2.9,1.0,0.6,5.6,1.9,23.1,19.0,4.2,4.8,11.7
2020-05-19,11.1,4.0,1.1,0.0,2.0,1.6,2.6,3.1,1.0,0.6,5.0,2.2,26.2,19.8,4.4,4.5,13.1
2020-05-20,10.6,3.7,1.1,0.0,2.1,1.9,2.6,3.0,0.6,1.2,4.5,2.5,28.5,19.6,4.7,4.8,14.1
2020-05-21,10.3,5.1,1.3,0.0,2.3,1.8,2.5,2.5,1.0,1.5,4.2,2.7,30.6,21.0,4.9,4.8,15.1
2020-05-22,10.5,5.8,1.5,0.0,2.4,1.7,2.4,2.4,1.2,1.5,4.4,3.1,33.5,22.9,5.2,3.9,16.4
2020-05-23,9.7,5.9,1.6,0.0,2.4,1.8,2.6,2.7,1.3,1.9,3.6,3.4,36.2,23.4,5.5,4.4,17.6
2020-05-24,9.1,6.8,1.5,0.0,2.7,2.2,2.8,2.7,1.4,2.5,3.9,4.0,38.4,22.0,5.5,4.5,18.6
2020-05-25,8.8,6.5,1.3,0.3,2.7,2.2,3.1,2.5,1.8,2.6,3.6,4.4,43.0,21.4,5.5,4.3,20.5
2020-05-26,8.6,5.7,1.4,0.5,2.8,2.5,3.1,3.1,2.0,2.6,4.7,4.7,43.4,23.4,5.9,4.4,20.8
2020-05-27,8.4,6.6,1.5,0.5,2.9,3.3,3.3,3.4,2.0,2.2,4.8,4.9,43.7,25.1,5.9,4.6,21.1
2020-05-28,9.7,6.2,1.5,0.8,3.6,3.7,3.4,3.5,1.9,2.1,4.2,4.9,44.4,26.5,6.1,5.2,21.6
2020-05-29,9.8,6.3,1.5,1.1,4.0,4.4,3.5,3.6,1.7,2.4,4.4,5.0,43.2,26.1,6.0,6.1,21.1
2020-05-30,11.0,6.0,1.5,1.1,4.6,5.2,4.0,3.4,2.1,2.5,4.6,5.5,43.7,29.1,6.7,5.0,21.6
2020-05-31,11.6,6.9,1.6,1.2,4.9,5.2,3.7,3.3,2.0,2.3,3.7,5.1,45.6,29.7,6.8,4.3,22.5
2020-06-01,11.8,7.0,2.1,0.9,5.3,5.6,3.6,3.2,1.6,2.3,3.3,4.9,46.3,33.4,7.6,4.2,22.9
2020-06-02,12.1,7.5,2.2,0.8,5.0,5.2,3.6,2.7,1.8,2.3,2.3,4.6,45.6,32.0,8.3,4.0,22.6
2020-06-03,12.0,9.1,2.0,0.8,5.6,4.5,3.6,3.5,2.0,2.2,2.1,6.7,46.0,32.5,8.7,4.3,23.0
2020-06-04,12.7,9.9,2.5,0.7,5.4,5.0,3.2,3.8,1.8,2.1,2.3,7.7,45.7,31.8,9.4,4.7,23.0
2020-06-05,12.5,11.3,2.8,0.4,5.2,5.0,4.2,3.9,2.3,2.1,2.0,8.3,46.0,32.5,10.4,5.2,23.4
2020-06-06,12.5,13.1,3.0,0.4,5.2,5.1,3.7,5.1,2.0,1.9,2.2,9.0,47.4,31.5,11.2,6.0,24.1
2020-06-07,13.3,13.1,4.0,0.4,5.3,6.2,4.3,5.7,2.2,2.1,2.1,10.2,49.2,33.2,12.4,6.5,25.3
2020-06-08,13.6,13.5,4.9,0.5,5.0,7.8,4.2,6.4,2.4,2.2,2.5,10.5,47.3,32.3,13.1,7.3,24.7
2020-06-09,15.5,14.7,5.1,0.4,5.3,8.3,4.3,6.8,2.1,2.7,2.2,11.5,47.4,33.5,13.1,8.2,25.0
2020-06-10,17.4,13.0,5.6,0.4,5.4,9.2,4.4,7.4,2.1,2.8,2.1,10.7,48.4,33.9,13.4,8.0,25.6
2020-06-11,18.4,13.1,5.9,0.4,5.8,9.8,5.0,8.4,2.2,2.9,2.6,10.4,49.7,33.1,13.5,8.4,26.3
2020-06-12,19.8,13.0,6.5,0.4,6.2,10.4,4.1,8.8,1.8,3.1,2.8,10.8,53.9,32.0,13.9,8.1,28.2
2020-06-13,20.8,13.8,7.0,0.7,6.7,10.5,4.6,9.8,2.0,3.1,3.4,11.0,55.5,34.0,14.2,7.5,29.1
2020-06-14,23.4,14.7,6.4,0.5,6.9,9.7,4.2,10.7,2.2,2.8,5.7,11.2,56.2,33.4,13.8,8.0,29.5
2020-06-15,27.1,15.0,6.6,0.7,6.9,9.4,4.5,10.9,2.5,3.7,7.8,11.5,56.5,32.3,13.6,7.8,29.8
2020-06-16,25.6,13.7,7.0,0.7,7.0,9.3,4.6,13.0,2.4,3.1,9.8,11.4,58.3,32.6,13.6,7.5,30.6
2020-06-17,25.0,16.0,8.4,0.7,7.2,9.4,4.3,14.1,2.8,3.1,9.7,10.6,56.4,33.1,13.5,8.1,29.9
2020-06-18,26.9,15.1,8.5,0.5,7.6,9.5,4.3,15.7,2.7,3.2,9.4,11.7,54.0,32.3,13.3,7.7,29.1
2020-06-19,30.4,15.8,9.1,0.7,8.3,10.0,4.2,18.8,2.9,3.0,9.7,12.8,52.0,32.2,13.1,10.1,28.7
2020-06-20,35.2,14.6,9.3,0.5,9.1,10.0,3.6,20.8,3.1,3.1,9.5,12.7,49.5,31.0,12.4,10.4,27.9
2020-06-21,35.2,14.5,10.2,0.5,10.1,10.8,3.8,23.7,3.4,3.5,8.7,14.0,46.2,30.0,12.8,10.0,26.9
2020-06-22,34.7,15.6,10.2,0.3,11.8,9.9,3.7,25.9,3.8,2.7,7.4,14.6,44.7,29.4,13.2,9.1,26.5
2020-06-23,38.7,15.9,10.7,0.3,12.7,10.1,3.3,25.4,4.1,2.7,6.3,15.3,42.0,28.7,13.5,8.9,25.6
2020-06-24,41.0,14.4,10.2,0.3,12.4,9.6,3.1,26.1,3.7,2.6,6.3,16.0,39.9,26.8,14.1,8.1,24.8
2020-06-25,41.0,15.4,11.4,0.4,13.0,9.6,2.8,26.7,3.9,2.6,7.4,15.6,39.9,26.4,14.6,7.2,24.9
2020-06-26,39.5,14.3,12.0,0.4,13.4,8.7,2.9,26.3,3.9,2.6,7.6,15.2,36.7,26.8,14.9,4.8,23.5
2020-06-27,37.4,16.2,12.5,0.9,12.7,8.7,2.9,24.6,3.8,2.5,8.7,15.4,35.6,23.4,14.9,5.1,22.8
2020-06-28,38.1,15.8,12.4,1.7,12.8,8.5,2.9,23.8,3.6,2.4,8.0,14.0,33.4,23.7,14.6,5.7,21.8
2020-06-29,39.6,15.0,13.1,1.9,12.3,9.1,2.9,23.9,3.3,2.4,7.0,14.0,32.5,23.1,14.0,5.7,21.3
2020-06-30,38.0,15.3,13.4,1.9,11.8,9.7,2.9,24.8,3.0,2.7,7.1,13.2,32.2,22.7,13.5,5.6,21.0
2020-07-01,38.3,17.2,14.9,1.9,11.9,9.9,2.9,23.6,3.2,2.7,7.8,13.4,30.3,22.8,13.3,5.4,20.3
2020-07-02,36.5,18.2,13.5,2.3,10.7,9.1,2.9,22.7,3.7,2.4,6.4,12.5,27.4,23.8,12.5,6.0,18.7
2020-07-03,37.7,19.3,12.7,2.1,10.1,8.9,3.1,21.5,4.2,2.1,6.3,12.1,26.4,21.9,12.2,6.0,18.2
2020-07-04,37.1,19.2,12.8,1.5,9.6,9.4,3.4,22.2,4.5,2.1,4.5,12.1,25.2,22.4,12.5,6.0,17.7
2020-07-05,37.4,20.2,13.5,0.9,9.1,9.9,3.2,21.1,5.1,1.6,4.1,11.9,24.3,23.0,12.7,6.0,17.3
2020-07-06,35.7,22.8,13.4,0.8,8.7,10.0,3.4,20.3,5.0,1.5,4.9,11.5,22.8,24.6,12.3,6.5,16.6
2020-07-07,36.4,23.0,12.7,0.8,8.7,9.8,3.4,20.0,5.2,1.2,4.2,11.9,21.1,24.5,12.3,6.8,15.9
2020-07-08,36.0,22.8,11.0,0.9,8.3,9.7,3.3,19.1,5.8,1.2,3.7,10.9,20.6,25.1,11.6,8.0,15.4
2020-07-09,37.0,25.0,13.3,0.4,8.8,10.4,3.4,19.0,5.8,1.6,4.4,11.1,21.1,24.3,11.6,9.4,15.9
2020-07-10,35.0,24.5,13.7,0.5,8.8,11.9,3.0,20.8,5.4,1.6,4.6,10.8,20.2,24.7,11.6,9.7,15.6
2020-07-11,36.3,25.3,14.3,0.7,8.9,11.8,2.6,19.5,5.9,1.6,5.3,10.1,18.6,25.3,10.9,10.5,14.8
2020-07-12,34.7,26.1,14.7,1.1,8.6,11.4,2.8,18.3,5.7,1.5,5.5,9.9,17.8,23.8,10.7,10.8,14.3
2020-07-13,34.7,26.9,15.1,1.3,8.4,10.6,2.1,17.8,6.0,1.3,5.0,9.8,17.5,20.9,11.0,10.4,14.0
2020-07-14,33.7,29.4,15.9,1.3,8.3,9.5,2.0,16.9,6.8,1.5,5.9,9.4,16.7,19.1,10.7,10.4,13.6
2020-07-15,32.3,31.5,16.6,1.5,8.4,10.1,2.4,17.1,6.6,1.4,6.4,9.6,16.2,17.8,10.3,9.3,13.3
2020-07-16,31.1,32.1,14.3,1.6,8.6,9.8,2.4,16.5,6.8,1.6,5.4,9.9,15.3,16.5,10.3,8.6,12.8
2020-07-17,31.7,34.7,12.7,2.5,8.5,9.5,2.2,14.6,7.1,2.3,4.6,10.0,15.2,16.6,9.9,7.5,12.7
2020-07-18,29.1,34.9,12.2,2.4,8.5,9.2,2.1,13.8,6.2,2.2,4.2,9.6,14.8,17.2,9.4,8.2,12.2
2020-07-19,28.7,33.3,11.5,1.7,8.3,10.6,1.9,13.7,6.8,2.4,3.9,9.9,13.4,16.2,8.8,7.5,11.6
2020-07-20,26.2,35.4,10.7,1.5,8.5,11.6,2.1,13.0,6.4,2.7,3.5,9.5,12.5,19.6,8.6,7.6,11.2
2020-07-21,23.9,36.9,11.7,1.5,8.6,12.6,2.3,12.1,6.5,2.5,2.6,10.0,12.2,20.6,8.4,7.5,11.0
2020-07-22,24.1,34.8,10.9,1.2,8.6,12.1,2.1,12.2,6.8,2.4,2.5,9.7,12.3,20.7,9.1,7.4,11.1
2020-07-23,23.5,36.4,12.6,1.1,8.5,13.3,2.1,11.9,6.9,2.1,3.0,9.4,11.9,22.2,9.1,6.8,11.0
2020-07-24,22.2,39.1,15.3,0.1,8.7,13.8,2.4,11.7,7.7,1.4,3.1,9.0,11.2,23.2,8.8,7.1,10.8
2020-07-25,21.0,40.5,16.7,0.4,9.0,15.1,2.7,11.9,9.5,1.5,2.7,9.8,10.8,21.9,9.6,5.0,10.9
2020-07-26,20.1,45.6,22.0,0.4,9.3,15.1,2.7,11.8,10.1,1.5,3.0,9.6,10.8,20.8,9.3,4.4,10.9
2020-07-27,20.9,42.5,20.9,0.8,9.3,15.1,3.0,11.7,11.7,1.4,3.8,10.0,10.7,20.3,9.1,5.2,11.0
2020-07-28,21.8,43.5,20.2,0.8,9.6,15.7,3.1,11.0,12.3,1.4,5.7,9.0,10.6,28.6,9.0,4.9,11.1
2020-07-29,21.2,45.8,21.6,1.1,9.8,16.9,3.4,10.4,12.2,1.5,5.4,9.4,10.5,29.1,8.3,5.4,11.1
2020-07-30,19.6,43.9,24.0,1.1,9.7,16.2,3.4,10.1,12.4,1.5,9.3,9.4,10.0,30.3,8.1,5.1,10.8
2020-07-31,19.5,40.6,26.6,1.3,9.6,16.6,3.4,9.1,12.5,1.5,10.5,9.2,9.5,26.9,8.0,5.0,10.5
2020-08-01,19.5,40.9,27.5,1.1,9.6,15.3,3.4,8.9,12.6,1.3,11.9,8.2,9.3,26.7,7.6,5.2,10.3
2020-08-02,19.1,37.5,24.9,1.5,9.6,14.7,3.7,8.6,12.5,1.2,13.1,7.9,9.3,27.4,8.0,5.8,10.2
2020-08-03,19.2,36.5,30.3,1.1,9.6,14.0,3.7,8.5,11.5,1.3,13.8,7.6,8.9,25.3,7.8,4.7,9.9
2020-08-04,18.3,34.1,29.7,1.1,9.4,14.1,3.6,8.7,11.7,1.2,14.6,8.2,8.6,17.2,7.8,4.7,9.6
2020-08-05,18.8,32.1,34.5,0.8,9.5,13.1,3.3,8.4,12.1,1.3,16.4,7.5,8.6,18.0,7.8,4.6,9.6
2020-08-06,19.7,32.0,32.0,0.9,9.7,13.5,3.7,8.3,12.3,1.2,15.4,7.3,8.6,15.1,7.9,4.3,9.6
2020-08-07,19.2,32.1,32.5,0.8,10.1,12.5,3.5,8.9,12.6,1.2,14.5,7.6,8.5,17.0,8.0,4.9,9.7
2020-08-08,19.9,30.4,34.5,0.8,10.1,12.6,3.4,10.8,12.1,1.6,16.8,8.4,8.4,15.6,8.4,5.5,9.8
2020-08-09,19.7,34.7,30.6,1.5,10.4,12.9,3.2,10.9,12.1,1.5,17.1,8.3,8.2,16.6,8.3,5.6,9.8
2020-08-10,19.7,37.2,38.4,1.6,10.3,13.8,3.2,10.9,12.2,1.7,19.6,8.2,8.0,16.2,8.5,6.1,10.0
2020-08-11,19.7,38.0,42.7,1.6,10.5,13.7,3.1,11.6,11.0,2.0,19.6,7.9,8.0,18.6,8.4,6.3,10.0
2020-08-12,18.0,41.0,40.1,1.6,10.0,13.7,3.3,12.4,11.1,2.1,19.0,8.1,7.6,18.2,8.7,6.5,9.9
2020-08-13,17.5,38.9,41.4,1.5,10.3,14.0,3.0,12.4,10.7,2.2,17.0,7.9,7.4,19.9,8.6,7.0,9.8
2020-08-14,17.6,38.8,40.8,1.2,10.1,13.9,3.1,11.7,10.2,2.3,20.3,7.6,7.5,19.4,8.8,6.6,9.7
2020-08-15,16.4,39.9,40.2,1.3,10.0,15.3,3.5,9.4,9.8,1.9,20.7,7.4,7.2,20.3,8.4,5.5,9.4
2020-08-16,16.2,36.3,45.7,0.5,10.0,15.3,3.4,9.3,9.7,2.0,23.9,7.7,7.1,19.0,8.8,4.9,9.5
2020-08-17,15.4,34.3,36.9,0.4,10.5,14.7,3.2,8.8,9.3,1.6,21.3,7.7,6.9,20.6,8.6,4.9,9.1
2020-08-18,15.0,32.0,36.8,0.4,10.2,15.1,3.5,8.2,9.6,1.2,23.9,7.8,6.7,18.3,8.5,5.2,9.0
2020-08-19,14.8,27.4,34.6,0.4,10.6,15.3,3.4,7.5,9.0,1.1,25.2,7.9,6.5,17.5,8.6,5.0,8.7
2020-08-20,14.1,27.8,32.6,0.5,10.9,14.6,3.4,7.4,9.3,0.9,29.0,8.4,6.5,16.3,8.4,5.3,8.7
2020-08-21,14.1,27.6,30.5,0.5,11.2,14.5,3.8,7.3,9.0,1.0,32.4,8.5,6.1,16.5,8.5,5.6,8.6
2020-08-22,13.7,26.9,29.5,0.7,11.8,14.2,3.8,7.3,8.7,1.2,34.4,8.5,6.3,16.4,8.3,7.2,8.7
2020-08-23,12.7,24.4,26.5,0.4,12.4,15.1,3.7,7.1,8.3,1.6,38.3,8.2,6.1,16.9,8.0,7.9,8.6
2020-08-24,13.1,25.0,26.1,0.5,12.9,15.6,3.6,8.2,8.4,1.7,46.1,8.3,6.1,15.5,8.3,8.6,8.9
2020-08-25,13.0,24.4,24.4,1.1,13.2,15.2,3.6,8.4,8.0,1.8,48.3,8.3,6.3,14.8,8.3,8.8,8.9
2020-08-26,13.3,24.9,22.8,1.6,13.2,15.7,3.6,8.8,8.1,1.8,50.1,8.5,6.4,14.3,8.2,10.0,9.0
2020-08-27,13.9,23.5,22.6,1.5,14.0,15.5,3.3,8.3,7.4,2.0,56.7,8.0,6.2,13.8,8.4,10.2,9.0
2020-08-28,12.6,22.6,22.4,2.0,14.0,16.0,3.0,8.5,7.7,2.0,54.0,7.8,6.2,12.2,8.6,11.6,8.9
2020-08-29,13.0,21.0,21.2,2.9,15.3,14.3,2.9,9.1,7.7,1.8,56.1,7.8,6.0,12.8,9.1,12.3,9.0
