Region,Codigo region,Comuna,Codigo comuna,Poblacion
La Araucania,9,Freire,9105,25446
La Araucania,9,Galvarino,9106,12633
La Araucania,9,Gorbea,9107,15148
La Araucania,9,Lautaro,9108,40746
La Araucania,9,Loncoche,9109,24739
La Araucania,9,Lonquimay,9205,11049
La Araucania,9,Los Sauces,9206,7517
La Araucania,9,Lumaco,9207,10050
La Araucania,9,Melipeuco,9110,6265
La Araucania,9,Nueva Imperial,9111,33777
La Araucania,9,Padre Las Casas,9112,82110
La Araucania,9,Perquenco,9113,7223
La Araucania,9,Pitrufquen,9114,26096
La Araucania,9,Pucon,9115,29782
La Araucania,9,Puren,9208,12188
La Araucania,9,Renaico,9209,10833
La Araucania,9,Saavedra,9116,12793
La Araucania,9,Temuco,9101,302931
La Araucania,9,Teodoro Schmidt,9117,15786
La Araucania,9,Tolten,9118,10055
La Araucania,9,Traiguen,9210,19314
La Araucania,9,Victoria,9211,35467
La Araucania,9,Vilcun,9119,30766
La Araucania,9,Villarrica,9120,59103
La Araucania,9,Desconocido Araucania,,
La Araucania,9,Total,,1014343
,,,,
Los Rios,14,Corral,14102,5447
Los Rios,14,Futrono,14202,15261
Los Rios,14,La Union,14201,39538
Los Rios,14,Lago Ranco,14203,10292
Los Rios,14,Lanco,14103,17652
Los Rios,14,Los Lagos,14104,20518
Los Rios,14,Mafil,14105,7389
Los Rios,14,Mariquina,14106,23250
Los Rios,14,Paillaco,14107,20798
Los Rios,14,Panguipulli,14108,35991
Los Rios,14,Rio Bueno,14204,32925
Los Rios,14,Valdivia,14101,176774
Los Rios,14,Desconocido Los Rios,,
Los Rios,14,Total,,405835
,,,,
Los Lagos,10,Ancud,10202,42458
Los Lagos,10,Calbuco,10102,36744
Los Lagos,10,Castro,10201,47607
Los Lagos,10,Chaiten,10401,5020
Los Lagos,10,Chonchi,10203,16013
Los Lagos,10,Cochamo,10103,4006
Los Lagos,10,Curaco de Velez,10204,4066
Los Lagos,10,Dalcahue,10205,15069
Los Lagos,10,Fresia,10104,12656
Los Lagos,10,Frutillar,10105,20223
Los Lagos,10,Futaleufu,10402,2806
Los Lagos,10,Hualaihue,10403,9525
Los Lagos,10,Llanquihue,10107,18621
Los Lagos,10,Los Muermos,10106,17817
Los Lagos,10,Maullin,10108,14894
Los Lagos,10,Osorno,10301,173410
Los Lagos,10,Palena,10404,1827
Los Lagos,10,Puerto Montt,10101,269398
Los Lagos,10,Puerto Octay,10302,9192
Los Lagos,10,Puerto Varas,10109,48620
Los Lagos,10,Puqueldon,10206,4201
Los Lagos,10,Purranque,10303,21080
Los Lagos,10,Puyehue,10304,11787
Los Lagos,10,Queilen,10207,5543
Los Lagos,10,Quellon,10208,29309
Los Lagos,10,Quemchi,10209,8783
Los Lagos,10,Quinchao,10210,8298
Los Lagos,10,Rio Negro,10305,14275
Los Lagos,10,San Juan de la Costa,10306,7639
Los Lagos,10,San Pablo,10307,10553
Los Lagos,10,Desconocido Los Lagos,,
Los Lagos,10,Total,,891440
,,,,
Aysen,11,Aysen,11201,25002
Aysen,11,Chile Chico,11401,5121
Aysen,11,Cisnes,11202,5828
Aysen,11,Cochrane,11301,3685
Aysen,11,Coyhaique,11101,61210
Aysen,11,Guaitecas,11203,1599
Aysen,11,Lago Verde,11102,920
Aysen,11,OHiggins,11302,661
Aysen,11,Rio Ibanez,11402,2699
Aysen,11,Tortel,11303,572
Aysen,11,Desconocido Aysen,,
Aysen,11,Total,,107297
,,,,
Magallanes y la Antartica,12,Antartica,12202,137
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983
Magallanes y la Antartica,12,Laguna Blanca,12102,264
Magallanes y la Antartica,12,Natales,12401,23782
Magallanes y la Antartica,12,Porvenir,12301,7323
Magallanes y la Antartica,12,Primavera,12302,694
Magallanes y la Antartica,12,Punta Arenas,12101,141984
Magallanes y la Antartica,12,Rio Verde,12103,211
Magallanes y la Antartica,12,San Gregorio,12104,681
Magallanes y la Antartica,12,Timaukel,12303,282
Magallanes y la Antartica,12,Torres del Paine,12402,1021
Magallanes y la Antartica,12,Desconocido Magallanes,,
Magallanes y la Antartica,12,Total,,178362
