ID,Nombre,Estado,Alcance,Fecha de Inicio,Fecha de Término,Código CUT Comuna,Detalle,Superficie en m2,Perímetro en m
34,La Pintana Norte,Histórica,Sector Específico,2020-04-30 22:00:00,2020-05-08 22:00:00,13112,Se aplica cuarentena en el sector norte de la comuna delimitado por la Avenida el Observatorio hacia el norte. . Se extiende posterior al término a una cuarentena de territorio completo,4883155.13476563,12416.9778362389
35,Antofagasta,Histórica,Área Urbana Completa,2020-05-05 22:00:00,2020-05-29 22:00:00,2101,Aplica solo hasta el límite urbano de la ciudad,43532156.4257813,134484.167871907
36,Mejillones,Histórica,Comuna completa,2020-05-05 22:00:00,2020-05-29 22:00:00,2102,Aplicada a la totalidad de la comuna,4230181342.99414,395409.359038385
39,Quilicura,Histórica,Sector Específico,2020-05-05 22:00:00,2020-05-15 22:00:00,13125,Delimitada por la linea ferroviaria que cruza la comuna hacia el poniente. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago,60071059.15625,32915.9895053343
55,Puente Alto Poniente Extendido,Histórica,Sector Específico,2020-05-08 22:00:00,2020-05-15 22:00:00,13201,Se amplia desde el límite actual (Av. Concha y Toro) hacia el oriente con límite en el Canal San Carlos. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago,89693170.625,58094.3823765891
56,San Bernardo Nororiente Extendido,Histórica,Sector Específico,2020-05-08 22:00:00,2020-05-15 22:00:00,13401,"Corresponde al sector delimitado por los limites comunales y al interior a la linea comprendida entre Camino el Mariscal y Avenida San Jose, Av. Balmaceda y Autopista Central. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago",22289080.8828125,27208.6722808201
61,Colina,Histórica,Comuna completa,2020-05-15 22:00:00,2020-07-28 05:00:00,13301,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,1388393075.82031,206066.838439161
64,Las Condes Re-ingreso Total,Histórica,Comuna completa,2020-05-15 22:00:00,2020-07-28 05:00:00,13114,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,142593822.224609,62012.7380642498
65,La Reina,Histórica,Comuna completa,2020-05-15 22:00:00,2020-07-28 05:00:00,13113,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,33764086.1796875,28525.5270919057
66,Lo Barnechea Re-ingreso total,Histórica,Comuna completa,2020-05-15 22:00:00,2020-07-28 05:00:00,13115,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,1469176023.56641,179591.206411362
67,Vitacura Re-ingreso Total,Histórica,Comuna completa,2020-05-15 22:00:00,2020-07-28 05:00:00,13132,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,40872314.0898438,31136.2480827119
69,Ñuñoa Re-ingreso Total,Histórica,Comuna completa,2020-05-15 22:00:00,2020-07-28 05:00:00,13120,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,24288323.7734375,21382.6382684562
75,Lonquimay,Histórica,Comuna completa,2020-05-22 22:00:00,2020-06-05 22:00:00,9205,Aplicada a la totalidad por criterios de capacidad sanitaria y aumento sustantivo de casos,6426178803.84766,454701.679855686
76,San Antonio,Histórica,Comuna completa,2020-06-09 22:00:00,2020-07-28 05:00:00,5601,Aplicada a la totalidad de la comuna,576482915.402344,154571.506097539
84,TilTil (Área Urbana),Histórica,Área Urbana Completa,2020-06-12 22:00:00,2020-07-28 05:00:00,13303,"Aplicable solo a la zona urbana de Til-Til, excluyendo el sector de Huertos Familiares",1906761.89257813,18048.1205770965
87,San Felipe,Histórica,Comuna completa,2020-06-19 22:00:00,2020-07-28 05:00:00,5701,Aplicada a la totalidad de la comuna,264868542.685547,115232.849294407
